,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,HXK,Unkn-01,Control1,19.36,
,A02,SYBR,HXK,Unkn-05,Salt2,19.91,
,A03,SYBR,HXK,NRT-01,C NoRT,25.21,
,A04,SYBR,GPP2,Unkn-09,Control1,23.52,
,A05,SYBR,GPP2,Unkn-13,Salt2,19.36,
,A06,SYBR,GPP2,NRT-04,C NoRT,25.29,
,A07,SYBR,ACT,Unkn-17,Control1,19.49,
,A08,SYBR,ACT,Unkn-21,Salt2,19.53,
,A09,SYBR,ACT,NRT-07,C NoRT,25.17,
,A10,SYBR,IPP1,Unkn-25,Control1,17.86,
,A11,SYBR,IPP1,Unkn-29,Salt2,18.60,
,A12,SYBR,IPP1,NRT-10,C NoRT,25.22,
,B01,SYBR,HXK,Unkn-01,Control1,19.32,
,B02,SYBR,HXK,Unkn-05,Salt2,19.67,
,B03,SYBR,HXK,NRT-01,C NoRT,25.28,
,B04,SYBR,GPP2,Unkn-09,Control1,23.63,
,B05,SYBR,GPP2,Unkn-13,Salt2,19.36,
,B06,SYBR,GPP2,NRT-04,C NoRT,25.57,
,B07,SYBR,ACT,Unkn-17,Control1,19.31,
,B08,SYBR,ACT,Unkn-21,Salt2,19.50,
,B09,SYBR,ACT,NRT-07,C NoRT,25.29,
,B10,SYBR,IPP1,Unkn-25,Control1,17.83,
,B11,SYBR,IPP1,Unkn-29,Salt2,18.57,
,B12,SYBR,IPP1,NRT-10,C NoRT,25.16,
,C01,SYBR,HXK,Unkn-02,Control2,19.33,
,C02,SYBR,HXK,Unkn-06,Salt3,19.55,
,C03,SYBR,HXK,NRT-02,S NoRT,22.60,
,C04,SYBR,GPP2,Unkn-10,Control2,23.23,
,C05,SYBR,GPP2,Unkn-14,Salt3,19.22,
,C06,SYBR,GPP2,NRT-05,S NoRT,,
,C07,SYBR,ACT,Unkn-18,Control2,19.30,
,C08,SYBR,ACT,Unkn-22,Salt3,19.39,
,C09,SYBR,ACT,NRT-08,S NoRT,22.74,
,C10,SYBR,IPP1,Unkn-26,Control2,17.68,
,C11,SYBR,IPP1,Unkn-30,Salt3,18.48,
,C12,SYBR,IPP1,NRT-11,S NoRT,22.42,
,D01,SYBR,HXK,Unkn-02,Control2,19.24,
,D02,SYBR,HXK,Unkn-06,Salt3,19.50,
,D03,SYBR,HXK,NRT-02,S NoRT,22.54,
,D04,SYBR,GPP2,Unkn-10,Control2,23.21,
,D05,SYBR,GPP2,Unkn-14,Salt3,19.22,
,D06,SYBR,GPP2,NRT-05,S NoRT,,
,D07,SYBR,ACT,Unkn-18,Control2,19.18,
,D08,SYBR,ACT,Unkn-22,Salt3,19.47,
,D09,SYBR,ACT,NRT-08,S NoRT,22.36,
,D10,SYBR,IPP1,Unkn-26,Control2,17.65,
,D11,SYBR,IPP1,Unkn-30,Salt3,18.26,
,D12,SYBR,IPP1,NRT-11,S NoRT,22.37,
,E01,SYBR,HXK,Unkn-03,Control3,19.20,
,E02,SYBR,HXK,Unkn-07,iScript C,29.15,
,E03,SYBR,HXK,NRT-03,iScript,35.75,
,E04,SYBR,GPP2,Unkn-11,Control3,22.62,
