International Communication Services SA,BTS,,,,,,
To:,"Business Telecommunications Services, Inc.",,,,,,
Contact Person:,,,,,,,
,,,,,,,
Fax:,,,,,,,
Date:,29-Jun-12,,,,,,
Currency:,EUR,,,,,,
,,,,,,,
,,,,,,,
Notes:,Please acknowledge reception of these rates by email.,,,,,,
,All rates are subject to change with an advanced 7 days notice. ,,,,,,
,Billing increment is per second unless Mexico which is 60 second increment with a minimum duration of 60 seconds (60/60 ) .,,,,,,
,,,,,,,
Rate Change:,"R=Remove, I=Increase, D=Decrease, N=New, S=Same, PRM=Premium, WHS=Wholesale, CLI=CLI",,,,,,
,,,,,,,
,,,,,,,
Destination,Code,Peak,I/D,Route,Increment,BED,EED
,,,,,,,
Gambia,220,0.29000,S,CLI,1/1,2012-06-01,
Gambia-Mobile-Africell,22020,0.28500,N,CLI,1/1,2012-07-06,
Gambia-Mobile-Africell,22021,0.28500,N,CLI,1/1,2012-07-06,
Gambia-Mobile-Africell,22022,0.28500,N,CLI,1/1,2012-07-06,
Gambia-Mobile-Africell,2207,0.28500,S,CLI,1/1,2012-06-01,
Gambia-Mobile-CDMA,2208,0.28500,S,CLI,1/1,2012-06-01,
Gambia-Mobile-Comium,2206,0.28500,S,CLI,1/1,2012-06-01,
Gambia-Mobile-Gamcel,2209,0.28500,S,CLI,1/1,2012-06-01,
Gambia-Mobile-Qcell,2203,0.28500,S,CLI,1/1,2012-06-01,
Jordan,962,0.05700,S,CLI,1/1,2012-06-01,
Jordan-Amman,9626,0.05700,S,CLI,1/1,2012-06-01,
Jordan-Mobile,9627,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Mobilcom,962772,0.07500,N,CLI,1/1,2012-07-06,
Jordan-Mobile-Mobilcom,962775,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Mobilcom,962776,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Mobilcom,962777,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Mobilcom,962779,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-MVNO,962793,0.07500,N,CLI,1/1,2012-07-06,
Jordan-Mobile-Umniah,96278,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Umniah,962785,0.07500,N,CLI,1/1,2012-07-06,
Jordan-Mobile-Umniah,962786,0.07500,N,CLI,1/1,2012-07-06,
Jordan-Mobile-Umniah,962787,0.07500,N,CLI,1/1,2012-07-06,
Jordan-Mobile-Umniah,962788,0.07500,N,CLI,1/1,2012-07-06,
Jordan-Mobile-Zain,96279,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Zain,962790,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Zain,962795,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Zain,962796,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Zain,962797,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Zain,962798,0.07500,S,CLI,1/1,2012-06-01,
Jordan-Mobile-Zain,962799,0.07500,S,CLI,1/1,2012-06-01,
Lebanon,961,0.05700,S,CLI,1/1,2012-06-26,
Lebanon-Mobile,9613,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,96170,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,96171,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,961761,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
Lebanon-Mobile,961763,0.11500,R,CLI,1/1,2012-06-26,2012-07-06
