,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16/2012,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Indiana Hub,,,Adhub,,,Nihub,,,PJM,,,PJM/Indy,,PJM/Adhub,,PJM/Nihub,,AD/Nihub,,Indy/Nihub,,
Daily,,33.00,35.00,,37.50,38.50,,35.00,37.00,,43.00,44.00,,8.00,11.00,4.50,6.50,6.00,9.00,0.50,3.50,-4.00,0.00,
Bal week,,30.00,31.50,,33.50,35.50,,30.00,33.00,,36.75,38.25,,5.25,8.25,1.25,4.75,3.75,8.25,0.50,5.50,-3.00,1.50,
Next week,,40.00,41.50,,43.00,46.00,,40.00,43.00,,49.00,50.00,,7.50,10.00,3.00,7.00,6.00,10.00,0.00,6.00,-3.00,1.50,
2nd week,,44.00,47.50,,45.00,48.00,,42.00,46.00,,54.50,55.50,,7.00,11.50,6.50,10.50,8.50,13.50,-1.00,6.00,-2.00,5.50,
Bal month,,34.00,36.00,,39.75,41.25,,34.50,37.50,,43.00,44.50,,7.00,10.50,1.75,4.75,5.50,10.00,2.25,6.75,-3.50,1.50,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
CALENDAR PEAK,,,,,,,,,,,,,PEAK SPREADS,,,,,,,,,,,
,Nat gas,Indiana Hub,,,Adhub,,,Nihub,,,PJM,,,PJM/Indy,,PJM/Adhub,,PJM/Nihub,,Ad/Nihub,,Indy/Nihub,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 2013,3.97,37.80,38.15,,42.55,43.10,,39.95,40.30,,47.95,48.15,Cal 13,10.00,10.15,5.05,5.40,7.75,8.10,2.65,2.75,-2.25,-2.05,
Cal 2014,4.23,38.15,38.65,,42.88,43.63,,39.95,40.70,,48.25,48.45,Cal 14,9.80,10.10,4.83,5.38,7.75,8.30,2.85,3.00,-2.05,-1.80,
Cal 2015,4.36,38.75,39.30,,43.48,44.28,,40.25,41.05,,48.75,49.10,Cal 15,9.80,10.00,4.83,5.28,8.05,8.50,3.10,3.35,-1.75,-1.50,
Cal 2016,4.52,39.90,40.65,,44.53,45.63,,40.90,42.00,,49.90,50.30,Cal 16,9.65,10.00,4.68,5.38,8.30,9.00,3.50,3.75,-1.35,-1.00,
,,,,,,,,,,,,,,,,,,,,,,,,
CALENDAR OFFPEAK,,,,,,,,,,,,,CAL OFFPEAK SPREADS,,,,,,,,,,,
,,Indiana Hub,,,Adhub,,,Nihub,,,PJM,,,PJM/Indy,,PJM/Adhub,,PJM/Nihub,,AD/Nihub,,Indy/nihub,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 2013,,25.65,26.00,,30.00,30.55,,25.30,25.85,,33.15,33.35,Cal 13,7.15,7.70,2.60,3.35,7.30,8.05,4.65,4.75,0.15,0.35,
Cal 2014,,26.30,26.60,,30.50,31.10,,25.60,26.20,,33.70,33.90,Cal 14,7.10,7.60,2.75,3.25,7.65,8.15,4.80,5.00,0.40,0.70,
Cal 2015,,27.40,27.90,,31.38,32.08,,26.33,26.83,,34.55,34.85,Cal 15,6.65,7.45,2.47,3.48,7.73,8.53,5.05,5.25,0.90,1.25,
Cal 2016,,28.65,29.15,,33.00,33.50,,27.45,27.95,,35.75,36.25,Cal 16,6.60,7.60,2.25,3.25,7.80,8.80,5.40,5.70,1.00,1.40,
,,,,,,,,,,,,,,,,,,,,,,,,
CAL ATC (FLAT),,,,,,,,,,,,,CAL ATC (FLAT) SPREADS,,,,,,,,,,,
,,Indiana Hub,,,Adhub,,,Nihub,,,PJM,,,PJM/Indy,,PJM/Adhub,,PJM/Nihub,,AD/Nihub,,Indy/Nihub,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 2013,,31.31,31.66,,35.85,36.40,,32.12,32.58,,40.04,40.24,Cal 13,8.48,8.84,3.74,4.30,7.51,8.07,3.72,3.82,-0.97,-0.77,
Cal 2014,,31.82,32.21,,36.26,36.93,,32.28,32.95,,40.48,40.68,Cal 14,8.36,8.76,3.72,4.24,7.70,8.22,3.89,4.07,-0.74,-0.46,
Cal 2015,,32.71,33.23,,37.03,37.78,,32.84,33.48,,41.19,41.51,Cal 15,8.12,8.64,3.57,4.32,7.88,8.51,4.14,4.36,-0.34,-0.04,
Cal 2016,,33.89,34.51,,38.37,39.15,,33.71,34.49,,42.34,42.79,Cal 16,8.02,8.72,3.38,4.24,8.03,8.89,4.52,4.79,-0.09,0.28,
,,,,,,,,,,,,,,,,,,,,,,,,
Cal 2012 PEAK,,,,,,,,,,,,,,,,,,,,,,,,
