Guide Utilisateur,,,
,,,
I) Initialisation de la matrice,,,
"I.1) Remplissage de la feuille ""Description""",,,
"La feuille ""Description"" donne une vue globale des informations contenues dans la matrice.",,,
On y trouve : ,,,
,- le nom du projet auquel est attaché cette matrice,,
,- l'identifiant/description du lot auquel est attaché cette matrice,,
,"- le socle en terme de PAN, d'EXPs, d'ASSs ou de VALs nécessaires à la bonne fabrication et installation de ce lot",,
,"- les ESIs, Fiches de Signalement, Dossiers CSN … traitées par ce lot",,
,- l'historique (états techniques) des différentes livraisons du lot,,
,,,
"Pour initialiser la matrice, il faut : ",,,
"- modifier le champ ""Projet"" en remplaçant ""<nom du Projet>"" par le projet auquel est rattaché cette matrice ",,,
,exemple :,,
,,,
"- modifier le champ ""Lot"" :",,,
,-> pour donner le numéro de lot,,
,,,
,,,
,-> pour remplacer <libellé du lot> par un libellé décrivant votre lot,,
,,,
,,,
"- modifier le champ ""Socle"" :",,,
,"Un lot s'appuie sur un socle de base, un ensemble de pré-requis : un PAN à minima plus éventuellement un ensemble d'ASSs et/ou de VALs",,
,C'est le point de départ du lot. L'installation du lot s'effectuera sur ce référentiel.,,
,Il faut donc spécifier :,,
,,,
,,,
,,,
"- initialiser la section ""Contenu du lot"" qui reprend la liste des ESIs, des Fiches de Signalement, des Dossiers CSN …  détaillée dans la feuille ""Contenu du Lot""",,,
,"Pour spécifier les ESIs associées à ce lot, cliquezsur la case listant les ESIs, les Fiches de Signalement, les Dossiers CSN. Vous etes rediriger vers la feuille ""Contenu du Lot"".",,
,"Voir ensuite le point ""I.3) Remplissage de la feuille ""Contenu du Lot"" du guide utilisateur, pour les détails de remplissage de la liste des ESIs",,
,La case apparaît en rouge si rien n'est renseignée,,
"- initialiser la section ""Historique"" en y spécifiant la date, l'auteur et l'objet de la diffusion de l'etat technique initial.",,,
,,,
,,,
,,,
"I.2) Remplissage de la feuille ""Composants du Projet""",,,
"La feuille 'Composants du Projet"" donne le périmètre du projet en terme de composants applicatifs et cadres applicatifs.",,,
Cette feuille met en avant la notion de périmètre fonctionnel cohérent.,,,
"De plus, ce périmètre permet d'identifier, à moindre coût, le détails des versions de chacun des composants nécessaires au bon fonctionnement du projet.",,,
"C'est une information qui peut-être demandé par les équipes d'intégration, de qualification et de VN.",,,
"Equimad peut fournir, à la demande (pour l'instant), cette information à partir des éléments suivant de la matrice :",,,
,- ce périmètre fonctionnel,,
,"- le socle spécifié dans la feuille ""Description"" (PAN + éventuellement ASS et VAL)",,
,"- le détail des versions ayant évoluées pour le projet, contenu dans la feuille du dernier Etat Technique ",,
,,,
Comment remplir cette feuille ?,,,
"Pour chacun des composants du projet, livrés ou non dans ce lot, il s'agit de donner :",,,
," - colonne ""Libellé"" : un libellé descriptif du composant. Donnée obligatoire. La case apparaît en rouge, si elle est vide et qu'un composant est mentionné sur la ligne",,
," - colonne ""Destination(s)"" : sa/ses destinations (par exemple CTI, CEN, CPAM, DOC). Donnée obligatoire. La case apparaît en rouge, si elle est vide et qu'un composant est mentionné sur la ligne",,
," - colonne ""Direction Opérationnelle"" : l'équipe responsable du composant. Cette information est optionnelle",,
," - colonne ""Commentaires"" : tout commentaire lié au composant. Cette information est optionnelle",,
"Vous êtes libre de rajouter dans le tableau, et avant la ligne ""Ne pas insérer de données sous cette ligne"", autant de lignes de composants que nécessaire.",,,
,,,
,,,
,,,
"I.3) Remplissage de la feuille ""Contenu du Lot""",,,
"La feuille ""Contenu du lot"" liste l'ensembles des ESIs adressées par ce lot, ainsi que les dossiers CSN et les Fiches de Signalement ClearQuest traités.",,,
"Pour chacuns des ESIs, FS ClearQuest, dossiers CSN, ou autre traités :",,,
," - colonne ""ESI"", "" FS ClearQuest"", ""Dossier CSN"", ou ""Autre (cf commentaire)"" : le numéro identifiant correspondant",,
," - colonne ""Livré dans l'Etat Technique"" : l'Etat Technique dans lequel a été traité l'élément",,
," - colonne ""Designation"" : le libellé de l'ESI, dossier CSN ou FS ClearQuest traité. Cette information est optionnelle",,
," - colonne ""Commentaires"" : tout commentaire lié. Cette information est optionnelle",,
"Les identifiants ici listées sont repris sur la feuille ""Description"" champ ""Contenu du lot""",,,
"Vous êtes libre de rajouter dans le tableau, et avant la ligne ""Ne pas insérer de données sous cette ligne"", autant de lignes que nécessaire.",,,
,,,
,,,
,,,
"I.4) Remplissage de l'état technique 01 de la matrice, feuille ""ET - 01""",,,
"La matrice des livrables non encore initialisée, livre par défault une feuille ""ET - 01"" qui correspond au 1er etat technique du lot à livrer.",,,
"L'etat technique du lot reprend l'ensemble des modules qui sont à livrer, c'est-à-dire, l'ensemble des modules qui ont évolué depuis l'initialisation du lot (cf ""I.1 remplissage de la feuille Description"").",,,
"Il s'agit donc ici, de lister et de décrire l'ensemble de ces modules.",,,
"Vous êtes libre de rajouter dans le tableau, et avant la ligne ""Ne pas insérer de données sous cette ligne"", autant de lignes de composants que nécessaire.",,,
,,,
"Pour chacun des modules, les informations à donner sont :",,,
,"- colonne ""Module"" : le code applicatif du module",,
,,,EN_A
,,,FO_AD
,,,
,"- colonne ""Label"" : le label CVS du module ou son identifiant de son dépôt Gediff, à utiliser pour le lot",,
,,,EN197000A
,,,FO022802A
,,,
,"- colonne ""Description"" : un libellé descriptif du composant. La case apparaît en rouge, si elle est vide",,
,,,Application batch
,"- colonne ""Destination(s)"" : la ou les destinations du module",,
,,,CTI
,,,CEN
,,,CTI/CEN
,,,CPAM
,,,DOC
,,,Autre (cf commentaire)
,,,
,"- colonne ""Mode de diffusion"" : indique si le module du lot est livré via ce superlabel (car refabricable via l'usine logicielle) ou hors superlabel (dans le cas de modules hors CVS par exemple et donc non refabricable)",,
,,,
,"- colonne ""Direction Opérationnelle"" : l'équipe responsable du module",,
,,,DEGC/Vitale
,,,D2I/SGBD
