Convertible Advances,,,,,,
Indications as of 01/31/2014 at 08:38 AM,,,,,,
Term,Initial FHLB Option Period,Strike Rate,Option Frequency,Advance Rate,CIA Rate,
5 Years,2 Years,None,Quarterly,0.007300,0.005500,
5 Years,2 Years,0.07,Quarterly,0.018600,0.016800,
5 Years,2 Years,0.06,Quarterly,,0.016800,
10 Years,1 Year,None,Quarterly,0.007500,0.005600,
10 Years,3 Years,None,Quarterly,0.014200,0.012300,
10 Years,5 Years,None,Quarterly,0.021900,0.020000,
10 Years,1 Year,0.07,Quarterly,0.034000,0.032100,
10 Years,1 Year,0.06,Quarterly,,0.032100,
10 Years,3 Years,0.07,Quarterly,0.034000,0.032100,
10 Years,3 Years,0.06,Quarterly,,0.032100,
10 Years,5 Years,0.07,Quarterly,0.034100,0.032200,
10 Years,5 Years,0.06,Quarterly,,0.032200,
