LIBOR Indexed Advances,,,,,,
Indications as of 01/31/2014 at 08:38 AM,,,,,,
1 Month LIBOR =  0.157%,,,,,,
3 Month LIBOR =  0.237%,,,,,,
6 Month LIBOR =  0.336%,,,,,,
Term,LIBOR Index,Spread to LIBOR,Initial Advance Rate,CIA Spread to LIBOR,Initial CIA Rate,
1 Year,1 Month,0.002100,0.003670,0.000600,0.002170,
1 Year,3 Month,0.001600,0.003970,-0.000100,0.002270,
2 Years,1 Month,0.002500,0.004070,0.001000,0.002570,
2 Years,3 Month,0.001800,0.004170,0.000300,0.002670,
3 Years,1 Month,0.002900,0.004470,0.001400,0.002970,
3 Years,3 Month,0.002200,0.004570,0.000700,0.003070,
5 Years,1 Month,0.004000,0.005570,0.002400,0.003970,
5 Years,3 Month,0.003300,0.005670,0.001700,0.004070,
7 Years,1 Month,0.005900,0.007470,0.004300,0.005870,
7 Years,3 Month,0.005200,0.007570,0.003600,0.005970,
10 Years,1 Month,0.007700,0.009270,0.006100,0.007670,
10 Years,3 Month,0.007100,0.009470,0.005500,0.007870,
