gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
Male,19027,15,Manager,57000,27000,98,144,No
Male,21328,16,Clerical,40200,18750,98,36,No
Female,10800,12,Clerical,21450,12000,98,381,No
Female,17272,8,Clerical,21900,13200,98,190,No
Male,20129,15,Clerical,45000,21000,98,138,No
Male,21419,15,Clerical,32100,13500,98,67,No
Male,20571,15,Clerical,36000,18750,98,114,No
Female,24233,12,Clerical,21900,9750,98,,No
Female,16825,15,Clerical,27900,12750,98,115,No
Female,16846,12,Clerical,24000,13500,98,244,No
Female,18301,16,Clerical,30300,16500,98,143,No
Male,24118,8,Clerical,28350,12000,98,26,Yes
Male,22114,15,Clerical,27750,14250,98,34,Yes
Female,17955,15,Clerical,35100,16800,98,137,Yes
Male,22887,12,Clerical,27300,13500,97,66,No
Male,23698,12,Clerical,40800,15000,97,24,No
Male,22845,15,Clerical,46000,14250,97,48,No
Male,20534,16,Manager,103750,27510,97,70,No
Male,22877,12,Clerical,42300,14250,97,103,No
Female,14633,12,Clerical,26250,11550,97,48,No
Female,23061,16,Clerical,38850,15000,97,17,No
Male,14878,12,Clerical,21750,12750,97,315,Yes
Female,23816,15,Clerical,24000,11100,97,75,Yes
Female,12140,12,Clerical,16950,9000,97,124,Yes
Female,15523,15,Clerical,21150,9000,97,171,Yes
Male,24419,15,Clerical,31050,12600,96,14,No
Male,19802,19,Manager,60375,27480,96,96,No
Male,23112,15,Clerical,32550,14250,96,43,No
Male,16099,19,Manager,135000,79980,96,199,No
Male,22541,15,Clerical,31200,14250,96,54,No
Male,23431,12,Clerical,36150,14250,96,83,No
Male,19752,19,Manager,110625,45000,96,120,No
Male,22358,15,Clerical,42000,15000,96,68,No
Male,17931,19,Manager,92000,39990,96,175,No
Male,22515,17,Manager,81250,30000,96,18,No
Female,23230,8,Clerical,31350,11250,96,52,No
Male,20006,12,Clerical,29100,13500,96,113,Yes
Male,22763,15,Clerical,31350,15000,96,49,Yes
Male,22089,16,Clerical,36000,15000,96,46,Yes
Female,12294,15,Clerical,19200,9000,96,23,Yes
Female,22358,12,Clerical,23550,11550,96,52,Yes
Male,22182,15,Clerical,35100,16500,95,90,No
Male,23394,12,Clerical,23250,14250,95,46,No
Male,23177,8,Clerical,29250,14250,95,50,No
Male,14094,12,Custodial,30750,13500,95,307,No
Female,14933,15,Clerical,22350,12750,95,165,No
Female,13998,12,Clerical,30000,16500,95,228,No
Male,17325,12,Custodial,30750,14100,94,240,No
Male,21444,15,Clerical,34800,16500,94,93,No
Male,21955,16,Manager,60000,23730,94,59,No
Male,22835,12,Clerical,35550,15000,94,48,No
Male,23327,15,Clerical,45150,15000,94,40,No
Male,19835,18,Manager,73750,26250,94,56,No
Male,11478,12,Clerical,25050,13500,94,444,No
Male,22092,12,Clerical,27000,15000,94,120,No
Male,22752,15,Clerical,26850,13500,94,5,No
Male,23116,15,Clerical,33900,15750,94,78,No
Female,23695,15,Clerical,26400,13500,94,3,No
Male,22408,15,Clerical,28050,14250,94,36,Yes
Male,21597,12,Clerical,30900,15000,94,102,Yes
Male,23495,8,Clerical,22500,9750,94,36,Yes
Male,22845,16,Manager,48000,21750,93,22,No
Male,22513,17,Manager,55000,26250,93,32,No
Male,23282,16,Manager,53125,21000,93,48,No
Male,23464,8,Clerical,21900,14550,93,41,No
Male,22693,19,Manager,78125,30000,93,7,No
Male,23525,16,Manager,46000,21240,93,35,No
Male,23136,16,Manager,45250,21480,93,36,No
Male,22090,16,Manager,56550,25000,93,34,No
Male,22685,15,Clerical,41100,20250,93,27,No
Male,17771,17,Manager,82500,34980,93,207,No
Female,23383,16,Clerical,54000,18000,93,11,No
Female,24877,12,Clerical,26400,10500,93,,No
Female,12172,15,Clerical,33900,19500,93,192,No
Female,23966,15,Clerical,24150,11550,93,,No
Female,24718,15,Clerical,29250,11550,93,11,No
Female,25090,12,Clerical,27600,11400,93,6,No
Female,25070,12,Clerical,22950,10500,93,10,No
Female,22669,16,Clerical,34800,14550,93,8,No
Female,22426,16,Clerical,51000,18000,93,22,No
Female,24909,12,Clerical,24300,10950,93,5,No
Female,17407,12,Clerical,24750,14250,93,193,Yes
Female,24757,12,Clerical,22950,11250,93,,Yes
Female,24543,8,Clerical,25050,10950,93,8,Yes
Male,22745,15,Clerical,25950,17100,92,42,No
Male,22518,15,Clerical,31650,15750,92,64,No
