Pilotenaktivität,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"7:00 bis 22:00, 28. Juli  2015",,,,,,,,,,,,,,,
Zahl der Piloten mit Daten:,,,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Empfangene Anrufe (gesamt),Bearbeitete Anrufe (gesamt),Abbrüche (gesamt),Abgewiesene Anrufe wegen mangelnder Ressourcen,Abgewiesene Anrufe,Umgeleitete Anrufe (gesamt),Service-Niveau,Effektivität,Durchschnittliche Gesprächsbearbeitungszeit,Durchschnittliche Klingelzeit,Durchschnittliche Wartezeit,Längste Wartezeit,IVR-Verbindungen (gesamt),
1,1_BREKOM5556,4,4,,,,,100%,100%,00:00:41,00:00:08, , ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,,,,,,,,,,,,, ,,
,Summe,4,4,,,,,,,,,,,,
,Durchschnitt,4,4,,,,,,,,,,,,
,Maximum,4,4,,,,,100%,100%,00:00:41,00:00:08, , ,,
,Minimum,4,4,,,,,100%,100%,00:00:41,00:00:08, , ,,
,,,,,,,,,,,,,,,
,Kommentare: ,,,,,,,,,,,,,,
