,,Copyright 2008 by UE Systems Inc. Patent Pending.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,State Electricity Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This data was prepared using information from ""State Electricity Profiles 2006"" (11/21/2007) by the Energy Information Administration, Office of Coal, Nuclear, Electric and Alternate Fuels, U.S. Department of Energy, Washington, DC 20585. The original data should be attributed to the Energy Information Administration and should not be construed as advocating or reflecting any policy of the Department of Energy or any other organization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Electrical Generation,Net Electrical Generation,Sulfur Dioxide,Nitrogen Oxide,Carbon Dioxide,Sulfur Dioxide,Nitrogen Oxide,Carbon Dioxide,Emission Coefficient,Emission Coefficient,Emission Coefficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MWH,1000 tonnes,1000 tonnes,1000 tonnes,lbs,lbs,lbs,SO2 Lbs/KWH,NO2 Lbs/KWH,CO2 Lbs/KWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,140895441,458,122,85116,1009700176,268959435.6,1.87646E+11,0.0072,0.0019,1.3318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,6674197,4,18,4585,8818342.152,39682539.68,10108024691,0.0013,0.0059,1.5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,104392528,45,75,53353,99206349.21,165343915.3,1.17621E+11,0.0010,0.0016,1.1267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,52168703,82,38,28494,180776014.1,83774250.44,62817460317,0.0035,0.0016,1.2041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Califiornia,216798688,27,91,59389,59523809.52,200617284,1.30928E+11,0.0003,0.0009,0.6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,50698353,59,66,41847,130070546.7,145502645.5,92255291005,0.0026,0.0029,1.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,34681736,5,9,11057,11022927.69,19841269.84,24376102293,0.0003,0.0006,0.7029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,7182179,30,11,5885,66137566.14,24250440.92,12973985891,0.0092,0.0034,1.8064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,81467,0,0,99,0,0,218253968.3,0.0000,0.0000,2.6790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,223751621,329,212,126529,725308642,467372134,2.78944E+11,0.0032,0.0021,1.2467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,138010208,685,130,89898,1510141093,286596119.9,1.98188E+11,0.0109,0.0021,1.4360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,11559174,22,29,9036,48500881.83,63932980.6,19920634921,0.0042,0.0055,1.7234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,13386085,5,2,875,11022927.69,4409171.076,1929012346,0.0008,0.0003,0.1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,192426958,309,122,99479,681216931.2,268959435.6,2.1931E+11,0.0035,0.0014,1.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,130489788,758,202,121950,1671075838,445326278.7,2.68849E+11,0.0128,0.0034,2.0603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,45483462,132,64,40577,291005291,141093474.4,89455467372,0.0064,0.0031,1.9668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
