Product Taxonomy Hierarchy Path,Node ID,Attribute ID BBY,Sequence No.,Attribute Name,Attribute Type,Controlled Value List,UOM,Min Value,Max Value,Decimal Character Set,Min Length,Max Length (Per Instance),Max Length (Total),Minimum Instance,Maximum Instances,Required File Suffix for Ingest,Publish File Type,Ingest Max Pixel Height,Ingest Max Pixel Width,Customer Display Name,Collection Description (For content authors),Customer Facing Description (BBY),Required for Publish from PCM? (Yes/No),"Default Ingestable (R=Required,O=Optional,E=Excluded)",Override Required From:,Override Optional From:,Override Excluded From:,isSearchable?,Displayable?,Facetable?,isComparable?,"Dependent Attribute",Conditional Rule,Composite Group Name,Taglist,Examples,Comments on Validation
Entertainment_Media,16010,,24002,Related_Titles,String,,,,,,1,50,500,,10,,,,,Related Titles,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media,16010,,24003,Web_References,String,,,,,,0,250,,,,,,,,Web References,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24004,Movies_and_TV_Shows:Format,String,CD;Blu-Ray;Blu-ray 3D;DVD;Digital Copy;Ultraviolet Copy;,,,,,,,,,3,,,,,Format,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24005,Movies_and_TV_Shows:Moods,String,,,,,,1,50,,,,,,,,Moods,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24006,Movies_and_TV_Shows:Aspect_Ratio,String,21:10;16:9;14:9;4:3;Other,,,,,,,,,1,,,,,Aspect Ratio,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24073,Movies_and_TV_Shows:Screen_Format,String,,,,,,1,50,,,,,,,,Screen Format,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24007,Movies_and_TV_Shows:Number_Of_Discs,Integer,,,1,50,,,,,,,,,,,Number Of Discs,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24008,Movies_and_TV_Shows:Genre,String,Action;Adventure;Anime;Animation;Biography;Classic;Comedy;Crime;Children's;Documentary;Drama;Family;Fantasy;Film-noir;Fitness;Foreign; Game show;History;Horror;Music;Musical;Mystery;News;Other;Philosophical;Political;Reality TV;Religious;Romance;Sci-fi;Thriller;War;Western; Special interest;Sports;Talk show,,,,,,,,,10,,,,,Genre,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24074,Movies_and_TV_Shows:Vendor_Genre,String,,,,,,1,50,,,,,,,,Vendor Genre,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24011,Movies_and_TV_Shows:Tones,String,Angry;Affectionate;Atmospheric;Austere;Autumnal;Biting;Bittersweet;Bleak;Bright;Campy;Cathartic;Cautionary;Cerebral;Chilly;Claustrophobic;Clever;Compassionate;Confrontational;Creepy;Cynical;Deadpan;Decadent;Deliberate;Disturbing;Downbeat;Drab;Dreamlike;Earnest;Earthy;Easygoing;Eerie;Elegant;Elegiac;Endearing;Enigmatic;Explosive;Fanciful;Flashy;Forceful;Frantic;Gentle;Gloomy;Goofy;Goth;Grim;Gritty;Grotesque;Gruesome;Hallucinatory;Harsh;Haunting;Heartwarming;Humorous;Inspiring;Intimate;Ironic;Irreverent;Lavish;Light;Literate;Lurid;Lyrical;Macabre;Madcap;Matter-of-Fact;Meditative;Melancholy;Menacing;Merry;Moody;Nocturnal;Nostalgic;Ominous;Outrageous;Paranoid;Passionate;Poignant;Quirky;Racy;Raunchy;Reflective;Reverent;Rousing;Rowdy;Satirical;Sensual;Sentimental;Sexual;Sexy;Silly;Slick;Somber;Springlike;Stirring;Stylish;Stylized;Summery;Sweeping;Sweet;Talky;Tearjerking;Tense;Understated;Upbeat;Visceral;Warm;Whimsical;Wintry;Wistful;Witty;Wry,,,,,,,,,5,,,,,Tones,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24013,Movies_and_TV_Shows:Studio,String,,,,,,1,50,,,,,,,,Studio,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24014,Movies_and_TV_Shows:Release_Date,Date,,,,,mm/dd/yyyy,,,,,,,,,,Release Date,,,Y,R,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
Entertainment_Media>Movies_and_TV_Shows,16087,,24015,Movies_and_TV_Shows:Run_Time,Decimal,,minutes,0,2000,###0.##,,,,,,,,,,Maximum Run Time,,,N,O,,,,Yes,Yes,No,Yes,No,,,Specification Attribute,,
