Solid,,,,,,,Tint,,,,,
,L,a,b,C,H,,,L,a,b,C,H
ref 1,63.27,-57.83,-7.6,58.32725692,187.4868873,,ref 1,81.19,-24.08,-3.61,24.34909649,188.5261115
sample 1,63.63,-60.62,-7.76,61.115,187.295,,sample 1,76.5,-29.3,-4.05,29.579,187.870
,,,,,,,,,,,,
_L=,-0.36,SL=,1.224769,l=,2,,_L=,4.69,SL=,1.367347,l=,2
_a=,2.79,SC=,2.747464,c=,1,,_a=,5.22,SC=,1.815789,c=,1
_b=,0.16,SH=,2.086423,,,,_b=,0.44,SH=,1.380507,,
_C=,-2.787406,T=,0.759380,_E CMC=,1.03,,_C=,-5.229485,T=,0.759633,_E CMC=,3.36
_H=,0.200172,F=,0.999918,,,,_H=,0.307382,F=,0.997308,,
,,,,,,,,,,,,
LX'=,63.450000,T=,0.940006977,_E2000=,0.82,,LX'=,78.845000,T=,0.939967539,_E2000=,4.12
C1=,58.327257,Dh',-0.191991,,,,C1=,24.349096,Dh',-0.596954,,
C2=,61.114663,DL'=,0.360000,,,,C2=,29.578582,DL'=,-4.690000,,
CX=,59.720960,DC'=,2.788976,,,,CX=,26.963839,DC'=,5.768046,,
G=,0.000562,DH'=,-0.200174,,,,G=,0.103348,DH'=,-0.307941,,
a1'=,-57.862513,SL=,1.191445,,,,a1'=,-26.568625,SL=,1.427567,,
a2'=,-60.654081,SC=,3.688929,,,,a2'=,-32.328103,SC=,2.336355,,
C1'=,58.359493,SH=,1.842537,,,,C1'=,26.812757,SH=,1.418710,,
C2'=,61.148468,TH=,0.000139,,,,C2'=,32.580803,TH=,0.000141,,
CX'=,59.753980,RC=,1.997760,,,,CX'=,29.696780,RC=,1.754352,,
h1'=,187.482728,RT=,-0.000010,,,,h1'=,187.737653,RT=,-0.000009,,
h2'=,187.290737,KL=,1.000000,,,,h2'=,187.140699,KL=,1.000000,,
HX'=,187.386732,KC=,1.000000,,,,HX'=,187.439176,KC=,1.000000,,
,,KH=,1.000000,,,,,,KH=,1.000000,,
,,,,,,,,,,,,
ref 2,91,2.2,71,71.03407633,88.22520568,,ref 2,92.96,-0.39,29.15,29.1526088,90.76651873
sample 2,88.06,0.63,71.73,71.733,89.497,,sample 2,91.67,0.15,34.01,34.010,89.747
,,,,,,,,,,,,
_L=,2.94,SL=,1.430741,l=,2,,_L=,1.29,SL=,1.442410,l=,2
_a=,1.57,SC=,2.985508,c=,1,,_a=,-0.54,SC=,1.983928,c=,1
_b=,-0.73,SH=,1.729171,,,,_b=,-4.86,SH=,1.179101,,
_C=,-0.698690,T=,0.579173,_E CMC=,1.4,,_C=,-4.857722,T=,0.593793,_E CMC=,2.53
_H=,1.584182,F=,0.999963,,,,_H=,0.560122,F=,0.998687,,
,,,,,,,,,,,,
LX'=,89.530000,T=,0.61034406,_E2000=,2.09,,LX'=,92.315000,T=,0.619494287,_E2000=,2.2
C1=,71.034076,Dh',1.271787,,,,C1=,29.152609,Dh',-1.062601,,
C2=,71.732767,DL'=,-2.940000,,,,C2=,34.010331,DL'=,-1.290000,,
CX=,71.383421,DC'=,0.698680,,,,CX=,31.581470,DC'=,4.857524,,
G=,0.000161,DH'=,1.584438,,,,G=,0.042569,DH'=,-0.583966,,
