,Categories,,,,,,,
Select,Print_Color,Print_Clarity,Missing_Print,Unwanted_Print,Substrate_Defect,,,
,Select,Select,Select,Select,Select,,,
,Registration/ Misregistration,Cell Plugging/ Drying-In,Poor Ink Transfer,Strike-through,Ink drying slow,,,
,Color Variation,Ink Piling,Snowflaking,Streaks,Ink Trapping,,,
,Density,Pin Holing/Fisheyes,Ink drying fast,Striations,Picking (Linting),,,
,Dot Gain,Slinging,Plate Wear,Ghosting,Creasing,,,
,Overall Visual,Smearing,Skip Out,Anilox Lines,Wrinkling,,,
,Color Balance,Dirty Print,Defect in substrate,Chatter/Gearing/Barring,,,,
,Bleed,Dot Bridging,Poor Rub /Scuff Resistance,Plate Bounce,,,,
,Weak Print,Filling In,Screening,Tracking,,,,
,Wrong Ink used,Halo,Hickeys/Spots,Moiré/Angle Conflict,,,,
,,Misting,,Defective Print Tool,,,,
,,Mottled Print (pudding/volcanoes),,,,,,
,,Offset (Set-Off),,,,,,
,,Over Impression,,,,,,
,,Print Clarity,,,,,,
,,Scumming/Tinting,,,,,,
,,Slur,,,,,,
,,"Ink Build Up, Feathering/Whiskering",,,,,,
,,Hickeys/Spots,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Deductions,,,,,,,,
Category,Base Deduction,Select,Low Limit Name,Mid Limit Nme,High Limit Name,L Weight,M Weight,H Weight
Select_D,,Select,Please Select a Defect Category,,,,,
Print_Color_D,-0.101,Select,Built Color different from proof,Spot Color different from proof,,1,4,
Print_Clarity_D,-0.101,Select,area < 10x10 mm OR Misregistration,10x10mm < area < 25x25 mm,area > 25x25 mm,1,2,4
Missing_Print_D,-0.268,Select,Other,Key Character,,1,4,
Unwanted_Print_D,-0.7179,Select,diameter < 3 mm,3 mm < diameter < 10 mm,diameter > 10 mm OR red shade spot > 3 mm,1,2,4
Substrate_Defect_D,-0.250,Select,Substrate Defect,,,1,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Check Points,,,Defect Locations,,,Defect Visibility,Performance Check,
Name,Category,,Zone,Weight,,Visible in finished?,Pass or Fail post-print performance check,
Bleed,Ink Quality,,Select,1,,Select,Select,
Cell Plugging/ Drying-In,Ink Quality,,Live Zone,2.33,,Yes,Pass,
Ink Piling,Ink Quality,,Non-Live Zone,0.70,,No,Fail,
Pin Holing/Fisheyes,Ink Quality,,Registration Mark,Instant Fail,,,,
Slinging,Ink Quality,,,,,,,
Smearing,Ink Quality,,,,,,,
Poor Ink Transfer,Ink Quality,,,,,,,
Snowflaking,Ink Quality,,,,,,,
Ink drying fast,Ink Quality,,,,,,,
Strike-through,Ink Quality,,,,,,,
Streaks,Ink Quality,,,,,,,
Striations,Ink Quality,,,,,,,
Ink drying slow,Ink Quality,,,,,,,
Ink Trapping,Ink Quality,,,,,,,
Picking (Linting),Ink Quality,,,,,,,
Registration/ Misregistration,Ink Transfer / Press Setup,,,,,,,
Color Variation,Ink Transfer / Press Setup,,,,,,,
Dirty Print,Ink Transfer / Press Setup,,,,,,,
Dot Bridging,Ink Transfer / Press Setup,,,,,,,
Filling In,Ink Transfer / Press Setup,,,,,,,
Halo,Ink Transfer / Press Setup,,,,,,,
Misting,Ink Transfer / Press Setup,,,,,,,
Mottled Print (pudding/volcanoes),Ink Transfer / Press Setup,,,,,,,
Offset (Set-Off),Ink Transfer / Press Setup,,,,,,,
Over Impression,Ink Transfer / Press Setup,,,,,,,
Print Clarity,Ink Transfer / Press Setup,,,,,,,
Scumming/Tinting,Ink Transfer / Press Setup,,,,,,,
Slur,Ink Transfer / Press Setup,,,,,,,
Plate Wear,Ink Transfer / Press Setup,,,,,,,
Skip Out,Ink Transfer / Press Setup,,,,,,,
Ghosting,Ink Transfer / Press Setup,,,,,,,
Anilox Lines,Ink Transfer / Press Setup,,,,,,,
Chatter/Gearing/Barring,Ink Transfer / Press Setup,,,,,,,
Plate Bounce,Ink Transfer / Press Setup,,,,,,,
Tracking,Ink Transfer / Press Setup,,,,,,,
Density,Color Match,,,,,,,
Dot Gain,Color Match,,,,,,,
Overall Visual,Color Match,,,,,,,
Color Balance,Color Match,,,,,,,
Moiré/Angle Conflict,Art Work/Digital File,,,,,,,
Defective Print Tool,Art Work/Digital File,,,,,,,
Wrong Ink used,Art Work/Digital File,,,,,,,
Defect in substrate,Substrate,,,,,,,
Creasing,Substrate,,,,,,,
Wrinkling,Substrate,,,,,,,
Weak Print,Other,,,,,,,
"Ink Build Up, Feathering/Whiskering",Other,,,,,,,
Hickeys/Spots,Other,,,,,,,
Poor Rub /Scuff Resistance,Other,,,,,,,
Screening,Other,,,,,,,
Hickeys/Spots,Other,,,,,,,
