,,,,,,,,,,,,,,,
,Procter & Gamble,,,,,,,,,,,,,,
,Chemical Assessment Questionnaire,,,,,,Inorganics,,,,,,,,
,"Procter and Gamble is either currently using, or considering purchasing a material manufactured by your company or a material made using your material.  To be eligible as an approved ",,,,,,,,,,,,,,
,supplier for this material our safety and regulatory assessment program requires the completion of the enclosed questionniare(s).  Your cooperation is highly appreciated.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Supplier confirms that they have been duly diligent in confirming that all information given with and within this document are correct and true,",,,,,,,,,,,,,,
,and will not be changed without first informing Procter and Gamble.  Any change in any of the below information will be brought to the attention of Procter and Gamble immediately.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Manufacturer Name,,,,,P&G MRMS code (if available),,,,RQ Number (Request Number),,,,,
,Material Trade Name/Material Product Code,,,,,P&G IRMS code ,,,,,,,,,
,Document Version # and Date of Completion,,,,,Manufacturer's Headquarters (Specify Country),,,,,,,,,
,"Enter supplier's name, address, location and contact who certifies this document",,,,,Phone,,,,Email,,,,,
,Is this material being manufactured in multiple sites?,,,Is the information provided in this questionniare applicable to all manufacturing sites?,,,,"If NO, please note that you will need to provide one questionnaire for each manufacturing site that provides this material to P&G",,,,,,,
,Manufacturing site address,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Specification Item,Chemical Name,,Molecular Formula,Chemical Structure (attach file or provide SMILES Notation),Insert PDF for each component if CAS# is generic with an undefined structure or a polymer where N's are undefined,Constituent Function in the context of this raw material (if drug active etc),Specify Feedstock if plant or animal derived,Lower (Specification) Level (%),Upper (Specification) Level (%),Does supplier agree to meet the specification levels indicated in the two previous columns (if indicated by P&G).  Enter Yes/No and if No Explain.,,"Identification of ""Other"" feedstock, if applicable",,
,Intentional Constituents,,,,,,Pick from drop down menu, Pick from Drop down menu,,,,,,,
,"Identify each intentional chemical consituent used/created & remaining in the final material.  This could include actives, water, emulsifiers, preservatives etc.  Insert rows if needed.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
