,,,,,,,,,,,,,,,,,,
,Procter and Gamble,,,,,,,,,,,,,,,,,
,Chemical Assessment Questionnaire,,,,,,Articles and Product Formulas,,,,,,,,,,,
,"Procter and Gamble is either currently using, or considering purchasing a material manufactured by your company or a material made using your material.  To be eligible as a approved ",,,,,,,,,,,,,,,,,
,supplier for this material our safety and regulatory assessment program requires the completion of the enclosed questionniare(s).  Your cooperation is highly appreciated.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Supplier confirms that they have been duly diligent in confirming that all information given with and within this document are correct and true and will not be changed without first informing Procter and Gamble.  Any change in any of the below information will be brought to the attention of Procter and Gamble immediately.,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Manufacturer Name,,,,,P&G MRMS code (if available),,,,,,,,,,,,
,Material Trade Name/Material Product Code,,,,,P&G IRMS code ,,,,,,,,,,,,
,Document Version # and Date of Completion,,,,,Manufacturers Headquarters (Specify Country),,,,,,,,,,,,
,"Enter supplier's name, address, location and contact who certifies this document",,,,,Phone,,,,Email,,,,,,,,
,Is this material being manufactured in multiple sites?,,,Is the information provided in this questionniare applicable to all manufacturing sites?,,,,"If NO, please note that you will need to provide one questionnaire for each manufacturing site that provides this material to P&G",,,,,,,,,,
,Manufacturing site address,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Intentional Raw materials,Tradename/Chemical Name,,Product Code (if any),CAS # and/or Regulatory Identifier (if exists),Provide manufacturers name and address of manufacture of this material,,Lower (Specification) Level (%),Upper (Specification) Level (%),Specify Feedstock,,Function provided by this raw material in the final material that you are providing P&G,Pick material class that this material belongs to from drop down menu in cell,"If this material is a substitute for another material, enter the Tradename of the material for which it substitutes",,,"P&G Identification Number (GCAS#, PA#, PN#)",
,Identify each intentionally added raw material (Insert rows if needed).,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Unintentional constituents from raw materials,Chemical Name,,CAS # (if exists),Other Regulatory identification Numbers (if any),Specify Region/Country for other regulatory identification number,,Max level Expected or measured,Units of Max level (% or ppm),Identify the source of this constituent from the above list of raw materials.  ,,,,,,,,
,"Please include all technically expected or measured in addition to those listed in the next column.  Insert rows if needed.  Please include catalyst/s (need to specify), processing aids and unreacted starting materials that may remain in the raw material.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Additional information,"Yes/No.  Please include details or insert pdf document as appropriate.  If P&G expectations have been listed in this column, please state if you can meet them or not and if no, please explain.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Polymeric Constituents,"Yes/No.  Please include details or insert pdf document as appropriate.  If P&G expectations have been listed in this column, please state if you can meet them or not and if no, please explain.",,,,,,,,,,,,,,,,
,Chemical Name,,,,,,,,,,,,,,,,,
,CAS # of polymeric constituent,,,,,,,,,,,,,,,,,
,Are there any toxicological studies (human or environmental)that have been conducted on this material?,,,,,,,,,,,,,,,,,
,"If this raw material is or contains a particulate, please provide the particle size distribution.",,,,,,,,,,,,,,,,,
,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals?  If yes, identify the constituent and the date of test.",,,,,,,,,,,,,,,,,
,What is the average molecular weight of the constituent,,,,,,,,,,,,,,,,,
,What is the molecular weight range of the polymer.,,,,,,,,,,,,,,,,,
,If there are portions below 1000 Daltons what is the percentage of the polymer with molecular weight <1000 daltons?,,,,,,,,,,,,,,,,,
,Number of repeating units if not specified in the chemical structure PDF file,,,,,,,,,,,,,,,,,
,"Is the polymer expected to hydrolyze, degrade, decompose, depolymerize, or otherwise break down during use or upon disposal?",,,,,,,,,,,,,,,,,
,"Is the polymer expected to carry an anionic or cationic charge following synthesis, during use, or upon disposal?",,,,,,,,,,,,,,,,,
,Are there any functional groups present which are expected to be reactive at Standard Temperature and Pressure (not under high pressure/high temperature conditions or at extreme pH)?,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
