tblPageTypes,Note: WorksheetType entry must match name of existing worksheet to be copied; Blank EmbeddedWorksheet if not used,,,,,tblImpurities,,,,tblAdditionalQuestions,Note: Order column must contain an integer; start at 1 and do not skip any numbers,,
Type,WorksheetType,EmbeddedWorkbook,RegInfo,Description,,PageType,Impurity,CAS,,PageType,Text,Order, 
"Amines, Amides, DEA, etc",Formulated,,FALSE,, ,"Amines, Amides, DEA, etc",Nitrosamine,,,"Amines, Amides, DEA, etc",Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
Betaines,Formulated,,FALSE,, ,"Amines, Amides, DEA, etc",Secondary amine(s),,,"Amines, Amides, DEA, etc","Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",2, 
Dyes and Colorants,Formulated,,TRUE,, ,"Amines, Amides, DEA, etc",Secondary amines and residual quaternizing agent (specify with name and CAS#),,,"Amines, Amides, DEA, etc","If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
Enzymes,Formulated,,FALSE,, ,"Amines, Amides, DEA, etc",Diethanolamine,,,Betaines,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
"Ethoxylate, Surf(PEG, SLES etc)",Formulated,,FALSE,, ,Betaines,Heavy Metals,,,Betaines,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",2, 
Fatty materials,Formulated,,FALSE,, ,Betaines,Residual Catalyst (Specify name and CAS#),,,Betaines,"If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
Inorganics,Formulated,,FALSE,Choose Inorganics if your product is an inorganic molecule that does not contain silicone., ,Betaines,Amidoamine,,,Dyes and Colorants,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
"Naturals, Botanicals",Formulated,BotanicalWorkbook,FALSE,, ,Betaines,Monochloroacetate (MCA),,,Dyes and Colorants,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and thetype and date of test.",2, 
Organics,Formulated,,FALSE,Choose Organics if your product does not belong to one of the other classes of organic molecules., ,Betaines,Dichloroacetate (DCA),,,Dyes and Colorants,"If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
Peptides,Formulated,,FALSE,, ,Betaines,Dimethylaminopropylamine (DMAPA),,,Dyes and Colorants,What is the molecular weight of the colorant,4, 
Preservatives,Formulated,,FALSE,, ,Dyes and Colorants,Heavy Metal Impurities,,,Enzymes,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
Silicones,Formulated,,FALSE,Choose Silicones if your product contains silicone., ,Dyes and Colorants,Antimony,,,Enzymes,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",2, 
,Assembled,,FALSE,, ,Dyes and Colorants,Arsenic,,,Enzymes,"If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
,,,,,,Dyes and Colorants,Cadmium,,,Fatty materials,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
,,,,,,Dyes and Colorants,Chromium,,,Fatty materials,"If this raw material is or contains a particulate, please provide the particle size distribution.",2, 
,,,,,,Dyes and Colorants,Cobalt,,,Fatty materials,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",3, 
,,,,,,Dyes and Colorants,Copper,,,Inorganics,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
,,,,,,Dyes and Colorants,Lead,,,Inorganics,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",2, 
,,,,,,Dyes and Colorants,Mercury,,,Inorganics,"If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
,,,,,,Dyes and Colorants,Nickel,,,Inorganics,"If the material is Mica or Talc, please attach crystalline free certification in next column",4, 
,,,,,,Dyes and Colorants,Zinc,,,Inorganics,"If the material is Talc, please attach asbestos free certification in next column",5, 
,,,,,,Dyes and Colorants,Nitrosamine (if applicable),,,"Naturals, Botanicals",Genus/Species and plant part,1, 
,,,,,,Dyes and Colorants,O-toluidine (if applicable),,,"Naturals, Botanicals","If you have measured protein level, by any method, please attach the results report(s).",2, 
,,,,,,Dyes and Colorants,Cyanide ions (if applicable),,,"Naturals, Botanicals",Manufacturing and Extraction process. Please complete process schematic in flow cahrt file inserted in next column,3, 
,,,,,,Dyes and Colorants,Chromate ions (if applicable),,,"Naturals, Botanicals","Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",4, 
,,,,,,Dyes and Colorants,Polychlorinated Biphenyls (Specify via name and CAS#),,,"Naturals, Botanicals",Are there any toxicological studies (human or environmental)that have been conducted on this material?,5, 
,,,,,,"Ethoxylate, Surf(PEG, SLES etc)",Heavy Metals,,,"Naturals, Botanicals","If this raw material is or contains a particulate, please provide the particle size distribution.",6, 
,,,,,,"Ethoxylate, Surf(PEG, SLES etc)",Residual Catalyst (Specify name and CAS#),, ,Organics,Are there any toxicological studies (human or environmental)that have been conducted on this material?,1, 
,,,,,,"Ethoxylate, Surf(PEG, SLES etc)","1,4-dioxane",,,Organics,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",2, 
,,,,,,"Ethoxylate, Surf(PEG, SLES etc)",Ethylene oxide,,,Organics,"If this raw material is or contains a particulate, please provide the particle size distribution.",3, 
,,,,,,Fatty materials,H2O,,,Peptides,What is the amino acid sequence,1, 
,,,,,,Fatty materials,Residual Catalyst/s (Specify via name and CAS#),,,Peptides,If the material is a peptide what is the amount of protein greater than 2kDa or 20 amino acids,2, 
,,,,,,Fatty materials,"1,4-dioxane",,,Peptides,"Has testing of any of the constituents listed in the intentional constituent section above been performed on animals? If yes, identify the constituent in the next column and the date of test.",3, 
