,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,SP Targets,,,,,,,,,,,,,,,,,,,,,,,
,,,E00 - Europe,,,,,,,,,,View SP Investment & Loans,,,,,,,,,,,,,,,
,,,,,,,,,,,,,View Strategic Plan,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,Sales Objectives,,Saldi originari,,Var. %,Indexed,Adj.,Preview,Last Saved,,Var. %,Indexed,Adj.,Preview,Last Saved,,Var. %,Indexed,Adj.,Preview,Last Saved,,TOTAL PLAN,,,,
,,,Gross Revenues,"100,654,051",,25%,"125,817,564","15,000","125,832,564","125,832,564",,10%,"138,415,820",,"138,415,820","138,415,820",,5%,"145,336,611",,"145,336,611","145,336,611",,"409,584,996",,,,
,,,Costo del venduto,"50,794,915",,2%,"51,556,839","7,000","51,563,839","51,563,839",,2%,"52,595,115",,"52,595,115","52,595,115",,1%,"53,121,067",,"53,121,067","53,121,067",,"157,280,021",,,,
,,,Primo Margine,"49,859,136",,49%,"74,260,725","8,000","74,268,725","74,268,725",,16%,"85,820,705",0,"85,820,705","85,820,705",,4%,"92,215,545",0,"92,215,545","92,215,545",,"252,304,975",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,,,2012 Actual,,2013 Plan,,,,,,2014 Plan,,,,,,2015 Plan,,,,,,,,,,
,,Operating Objectives,,Saldi originari,,Var. %,Indexed,Adj.,Preview,Last Saved,,Var. %,Indexed,Adj.,Preview,Last Saved,,Var. %,Indexed,Adj.,Preview,Last Saved,,TOTAL PLAN,,,,
,,,Sconto,"7,371,418",,5%,"7,739,989",,"7,739,989","7,739,989",,4%,"8,049,588",,"8,049,588","8,049,588",,5%,"8,452,068",,"8,452,068","8,452,068",,"24,241,644",,,,
,,,Costi di promozione/pubblicità,"1,375,300",,5%,"1,444,065",,"1,444,065","1,444,065",,2%,"1,472,946",,"1,472,946","1,472,946",,3%,"1,517,135",,"1,517,135","1,517,135",,"4,434,146",,,,
,,,Assicurazioni,"1,502,142",,10%,"1,652,357",,"1,652,357","1,652,357",,3%,"1,701,927",,"1,701,927","1,701,927",,2%,"1,735,966",,"1,735,966","1,735,966",,"5,090,250",,,,
,,,Energia elettrica,"10,974,444",,4%,"11,413,422",,"11,413,422","11,413,422",,3%,"11,755,825",,"11,755,825","11,755,825",,3%,"12,108,500",,"12,108,500","12,108,500",,"35,277,747",,,,
,,,Ammortamenti immobilizzazioni immateriali,"75,865",,2%,"77,383",,"77,383","77,384",,2%,"78,930",,"78,930","78,930",,2%,"80,509",,"80,509","80,512",,"236,821",,,,
,,,Ammortamenti immobilizzazioni materiali,"243,492",,3%,"250,796",,"250,796","250,986",,1%,"253,304",,"253,304","253,531",,4%,"263,436",,"263,436","263,440",,"767,537",,,,
,,,Accantonamenti a fondi,"32,337",,2%,"32,984",,"32,984","32,984",,4%,"34,303",,"34,303","34,303",,2%,"34,989",,"34,989","34,989",,"102,276",,,,
,,,Altri costi generali e commerciali,"337,358",,1%,"340,732",,"340,732","340,732",,2%,"347,547",,"347,547","347,547",,1%,"351,022",,"351,022","351,022",,"1,039,301",,,,
,,,Costi Information Tecnology,"4,855",,1%,"4,903",,"4,903","4,903",,1%,"4,953",,"4,953","4,953",,1%,"5,002",,"5,002","5,002",,"14,858",,,,
