,,(iii) AVERAGE TAX RATES ON ANNUAL EARNINGS IN % TERMS*,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FULL RATE PRSI,,SINGLE,,,,,,,,,,,,,,,,,
€,£,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,,,,,,,
"6,000","4,726",6.2%,3.9%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,,,,,,,,,,,,
"15,000","9,451",23.0%,20.8%,18.0%,13.9%,9.5%,7.7%,6.8%,5.2%,3.2%,0.0%,0.0%,,,,,,,
"20,000","15,751",28.5%,25.8%,23.5%,19.1%,15.2%,13.8%,13.1%,11.9%,8.4%,7.1%,5.1%,,,,,,,
"25,000","19,689",33.7%,31.2%,29.3%,24.0%,17.3%,16.2%,15.7%,14.7%,13.5%,12.5%,10.9%,,,,,,,
"30,000","23,627",37.1%,34.8%,33.2%,28.4%,22.2%,19.3%,18.9%,18.1%,16.0%,14.7%,13.4%,,,,,,,
"40,000","31,503",40.6%,38.4%,37.3%,33.3%,28.3%,26.4%,26.1%,25.5%,24.0%,21.9%,19.7%,,,,,,,
"60,000","47,254",43.9%,41.8%,41.0%,37.7%,33.6%,32.4%,32.3%,32.0%,31.1%,29.8%,28.1%,,,,,,,
"100,000",,46.5%,44.4%,43.9%,41.1%,37.9%,37.1%,37.0%,36.9%,36.3%,35.6%,34.2%,,,,,,,
"120,000",,47.1%,45.1%,44.6%,41.9%,38.9%,38.3%,38.2%,38.1%,37.6%,37.0%,35.7%,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FULL RATE PRSI,,MARRIED ONE INCOME 2  CHILDREN,,,,,,,,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,,,,,,,
"6,000",,5.3%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,,,,,,,,,,,,
"15,000",,15.0%,14.0%,9.4%,2.5%,2.2%,2.2%,2.2%,2.2%,2.2%,0.0%,0.0%,,,,,,,
"20,000",,20.7%,18.5%,14.7%,8.3%,4.7%,4.7%,4.7%,4.7%,2.7%,2.7%,2.7%,,,,,,,
"25,000",,23.1%,20.9%,17.9%,12.3%,8.7%,7.1%,6.5%,5.5%,4.9%,4.9%,4.9%,,,,,,,
"30,000",,24.6%,22.6%,20.0%,15.0%,11.6%,10.2%,9.8%,9.0%,7.8%,6.7%,5.1%,,,,,,,
"40,000",,29.2%,26.8%,24.3%,20.2%,16.6%,15.7%,15.5%,14.9%,13.2%,11.5%,10.2%,,,,,,,
"60,000",,36.3%,34.1%,32.3%,29.0%,25.9%,25.3%,25.1%,24.8%,23.9%,22.5%,20.8%,,,,,,,
"100,000",,42.0%,39.8%,38.7%,35.9%,33.2%,32.8%,32.8%,32.6%,32.0%,31.2%,29.7%,,,,,,,
"120,000",,43.3%,41.2%,40.2%,37.6%,35.0%,34.7%,34.6%,34.5%,34.0%,33.3%,32.0%,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
FULL RATE PRSI,,MARRIED 2 INCOMES** 2 CHILDREN,,,,,,,,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,,,,,,,
"6,000",,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,,,,,,
€,,1997,1998,1999,2000,2001,2002,,,,,,,,,,,,
"15,000",,11.1%,8.5%,3.4%,0.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,
"20,000",,15.9%,13.5%,9.7%,6.1%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,,,,,,
"25,000",,20.3%,18.0%,14.7%,11.0%,6.3%,4.1%,3.0%,1.5%,1.5%,1.5%,0.0%,,,,,,,
"30,000",,22.2%,20.0%,17.3%,14.6%,10.3%,8.5%,7.6%,6.0%,2.7%,1.7%,1.7%,,,,,,,
"40,000",,28.5%,25.8%,22.8%,17.5%,13.7%,12.3%,11.6%,10.4%,9.0%,7.6%,5.6%,,,,,,,
"60,000",,36.6%,34.2%,32.8%,28.0%,22.0%,19.3%,18.9%,18.1%,16.0%,14.0%,12.7%,,,,,,,
"100,000",,42.6%,40.4%,39.5%,35.9%,31.4%,29.9%,29.6%,29.2%,28.8%,26.5%,24.6%,,,,,,,
"120,000",,43.9%,41.8%,41.0%,37.7%,33.6%,32.4%,32.2%,31.9%,31.0%,29.7%,27.9%,,,,,,,
" *  Average Tax Rates:  Total of Income Tax, Levies and PRSI as a proportion of gross income. This measure includes only the standard ",,,,,,,,,,,,,,,,,,,
 employee and personal income tax credits. It does not include the impact of any other allowances or reliefs.,,,,,,,,,,,,,,,,,,,
** The Married two-Incomes figures assume that the joint income is divided 65% and 35% between spouses.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
