Country, Region,Dairy,Produce,Grain,Beverage,Total Sales,,,,,,,,,
Finland,North,"$32,726","$38,483","$33,016","$19,474","$123,699",,,,,,,,,
Finland,South,"$34,733","$37,971","$32,236","$16,734","$121,674",,,,,,,,,
Spain,North,"$31,062","$73,611","$61,085","$45,120","$210,878",,,,,,,,,
Spain,South,"$45,389","$22,189","$22,040","$60,116","$149,734",,,,,,,,,
France,East,"$63,539","$50,602","$25,347","$21,991","$161,479",,,,,,,,,
France,West,"$49,382","$39,100","$55,406","$31,810","$175,698",,,,,,,,,
Norway,North,"$21,842","$62,310","$42,256","$19,191","$145,599",,,,,,,,,
Norway,South,"$15,566","$28,321","$21,355","$47,141","$112,383",,,,,,,,,
Denmark,East,"$63,332","$70,239","$61,149","$56,706","$251,426",,,,,,,,,
Denmark,West,"$21,386","$29,939","$63,308","$47,036","$161,669",,,,,,,,,
Italy,Mid,"$10,471","$15,781","$44,755","$64,064","$135,071",,,,,,,,,
Italy,South,"$40,282","$36,045","$35,135","$32,748","$144,210",,,,,,,,,
Germany,East,"$60,161","$32,055","$24,207","$26,952","$143,375",,,,,,,,,
Germany,West,"$70,606","$58,763","$65,356","$15,132","$209,857",,,,,,,,,
UK,North,"$13,522","$36,363","$24,925","$56,741","$131,551",,,,,,,,,
UK,South,"$50,055","$28,828","$28,333","$49,805","$157,021",,,,,,,,,
Belgium,North,"$57,008","$65,101","$73,444","$29,043","$224,596",,,,,,,,,
Belgium,Mid,"$52,202","$60,639","$38,777","$52,787","$204,405",,,,,,,,,
Sweden,Mid,"$65,925","$10,865","$41,532","$10,731","$129,053",,,,,,,,,
Sweden,South,"$61,525","$22,930","$10,785","$60,148","$155,388",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
