,Sheet Comment:,DGET tests,,,database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,name,age,size,headgear,glasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Formula,Expected Result,Comment,,Huey,6,45,cap~,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dewey,7,fourty-six,cap?,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
numeric and boolean comparisions,,,,,Louie,8,47,cap*,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huey,Huey,smaller found,,Donald,32,70,sailor's hat,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,smaller not found,,Scrooge,62,65,top hat,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Louie,Louie,equals found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,equals not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scrooge,Scrooge,larger found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,larger not found,,age,age,age,age,age,age,age,age,age,age,age,glasses,glasses,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huey,Huey,smaller equals found,,<7,<6,=8,=15,>40,>100,<=6,<=5,>=62,>=100,<10,TRUE,=TRUE,<47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,smaller equals not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scrooge,Scrooge,larger equals found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,larger equals not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NUM!,#NUM!,more than one result,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scrooge,Scrooge,boolean search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scrooge,Scrooge,textual search for boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huey,Huey,mixed text/number columns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
string comparisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donald,Donald,equals found,,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,headgear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,equals not found,,=sailor's hat,=fedora,top,fed,=to? hat,=po? hat,=to?p hat,=t?hat,=t???hat,=t?p?h?t,=to*p hat,=t*p hat,=toph*,=t*t,*p hat,=sailo*,=*p h*t,=t?p h*,=cap~~,=cap~?,=cap~*,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scrooge,Scrooge,starts with found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,starts with not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,questionmark found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,questionmark not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,questionmark does not stand for empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,questionmark does not stand for more than one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,more than one questionmark in a row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,more than one questionmark spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,star can be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,star can stand for a single letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,star search failing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,star can stand for multiple letters (middle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,star can stand for multiple letters (beginning),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Donald,Donald,star can stand for multiple letters (end),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,multiple stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,mixing stars and questionmarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,tilde escaping tilde is broken (Excel bug),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Dewey,Dewey,tilde excaping questionmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Louie,Louie,tilde escaping star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
formula comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,#VALUE!,#VALUE!,referencing database header cell,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Dewey,Dewey,using references,,Formula,Formula,Formula,Formula,Formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Scrooge,Scrooge,using database header names (boolean comparision),,FALSE,FALSE,#NAME?,#NAME?,#NAME?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Huey,Huey,integer comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<skip>,Donald,Donald,integer calculation and comparison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND/OR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Louie,Louie,and,,age,age,,age,glasses,,age,,age,,age,,age,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NUM!,#NUM!,and (more than one result),,<30,>7,,<=8,FALSE,,=6,,=50,,<7,,=62,=60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huey,Huey,or (first condition hits),,,,,,,,=50,,=6,,<10,,=32,=70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Huey,Huey,or (second condition hits),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#NUM!,#NUM!,or (more than one result),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donald,Donald,or + and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corner cases matching via values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,"Equality Sign, unescaped matching =",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#VALUE!,#VALUE!,"Equality Sign, escaped matching =",,Index,Value,,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value,,Index,Value
,a,a,"Equality Sign, double, escaped matching =",,a,=,Equality Sign,,a,=,,a,=,,a,==,,b,,,b, ,,c,,,d, ,,d,,,e, ,,e,,,f,#VALUE!,,f,,,g,#NUM!,,g,#VALUE!,,g,
,b,b,Empty Cell matching Empty Cell,,b,,Empty Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
