,Sheet Comment:,D* tests,,,database,,,
,,,,,name,age,size,
,Formula,Expected Result,Comment,,Huey,8,45,
,,,,,Dewey,7,fourty-six,
DMIN,,,,,Louie,6,47,
,6,6,integerresults,,Donald,32,70,
,0,0,no match,,Scrooge,62,65,
,0,0,non integer column,,,,,
,45,45,mixed column,,,,,
<end>,,,,,,,,
,,,,,age,age,size,size
,,,,,<10,>100,<50,<50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
