,Sheet Comment:,Simple tests of MATCH using basic argument values,,,,,,,
,,,,,,,lookup table,Match type,
,Formula,Expected Result,Comment,Value lookup,Match Type,,Albert,1,Largest value
Simple wildcards Exact value,,,,,Exact value,,Charles,0,Exact value
,3,3,,ed*,0,,Ed,-1,Smallest value
,4,4,,??eg,0,,Greg,,
,4,4,,G?eg,0,,Ian,,
,4,4,,G*?eg,0,,Cedric,,
,5,5,,*Ian*,0,,,,
,5,5,,Ian*,0,,,,
,,,,,,,,,
Complex Wildcards Exact value,,,,,,,,,
,3,3,,ed,0,,,,
,4,4,,eg,0,,,,
,4,4,,eg,0,,,,
,4,4,,eg,0,,,,
,5,5,,Ian,0,,,,
,5,5,,Ian,0,,,,
,4,4,,Ian,0,,,,
,,,,,,,,,
Simple wildcards Smallest value,,,,,Smallest value,,,,
<skip>,#N/A,#N/A,,ed*,-1,,,,
<skip>,6,6,,??eg,-1,,,,
<skip>,#N/A,#N/A,,G?eg,-1,,,,
<skip>,#N/A,#N/A,,G*?eg,-1,,,,
<skip>,6,6,,*Ian*,-1,,,,
<skip>,#N/A,#N/A,,Ian*,-1,,,,
,,,,,,,,,
Complex Wildcards Smallest value,,,,,,,,,
<skip>,#N/A,#N/A,,ed,-1,,,,
<skip>,6,6,,eg,-1,,,,
<skip>,#N/A,#N/A,,eg,-1,,,,
<skip>,#N/A,#N/A,,eg,-1,,,,
<skip>,6,6,,Ian,-1,,,,
<skip>,#N/A,#N/A,,Ian,-1,,,,
<skip>,#N/A,#N/A,,Ian,-1,,,,
,,,,,,,,,
Simple wildcards Largest value,,,,,Largest value,,,,
<skip>,3,3,,ed*,1,,,,
<skip>,#N/A,#N/A,,??eg,1,,,,
<skip>,3,3,,G?eg,1,,,,
<skip>,3,3,,G*?eg,1,,,,
<skip>,#N/A,#N/A,,*Ian*,1,,,,
<skip>,6,6,,Ian*,1,,,,
,,,,,,,,,
Complex Wildcards Largest value,,,,,,,,,
<skip>,3,3,,ed,1,,,,
<skip>,#N/A,#N/A,,eg,1,,,,
<skip>,3,3,,eg,1,,,,
<skip>,3,3,,eg,1,,,,
<skip>,#N/A,#N/A,,Ian,1,,,,
<skip>,6,6,,Ian,1,,,,
<skip>,6,6,,Ian,1,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
<end>,,,,,,,,,
