Result (expected),Format,Value,Categories
#VALUE!,"|#,e-#|",123456.789,Exponents
#VALUE!,"|#e-#,|",123456.789,Exponents
#VALUE!,|#%e-#|,123456.789,Exponents
#VALUE!,|#e-#%|,123456.789,Exponents
#VALUE!,|#|e-|#|,123456.789,Exponents
#VALUE!,|#.#|e-|#|,123456.789,Exponents
#VALUE!,|####.####|e-|#|,123456.789,Exponents
#VALUE!,|#######.####|e-|#|,123456.789,Exponents
#VALUE!,"|#,######.####|e-|#|",123456.789,Exponents
#VALUE!,|0|e-|0|,123456.789,Exponents
#VALUE!,|0.0|e-|0|,123456.789,Exponents
#VALUE!,|0000.0000|e-|0|,123456.789,Exponents
#VALUE!,|0000000.0000|e-|0|,123456.789,Exponents
#VALUE!,"|0,000000.0000|e-|0|",123456.789,Exponents
#VALUE!,|?|e-|?|,123456.789,Exponents
#VALUE!,|?.?|e-|?|,123456.789,Exponents
#VALUE!,|????.????|e-|?|,123456.789,Exponents
#VALUE!,|???????.????|e-|?|,123456.789,Exponents
#VALUE!,"|?,??????.????|e-|?|",123456.789,Exponents
#VALUE!,"|#,e+#|",123456.789,Exponents
#VALUE!,"|#e+#,|",123456.789,Exponents
#VALUE!,|#%e+#|,123456.789,Exponents
#VALUE!,|#e+#%|,123456.789,Exponents
#VALUE!,|#|e+|#|,123456.789,Exponents
#VALUE!,|#.#|e+|#|,123456.789,Exponents
#VALUE!,|####.####|e+|#|,123456.789,Exponents
#VALUE!,|#######.####|e+|#|,123456.789,Exponents
#VALUE!,"|#,######.####|e+|#|",123456.789,Exponents
#VALUE!,|0|e+|0|,123456.789,Exponents
#VALUE!,|0.0|e+|0|,123456.789,Exponents
#VALUE!,|0000.0000|e+|0|,123456.789,Exponents
#VALUE!,|0000000.0000|e+|0|,123456.789,Exponents
#VALUE!,"|0,000000.0000|e+|0|",123456.789,Exponents
#VALUE!,|?|e+|?|,123456.789,Exponents
#VALUE!,|?.?|e+|?|,123456.789,Exponents
#VALUE!,|????.????|e+|?|,123456.789,Exponents
#VALUE!,|???????.????|e+|?|,123456.789,Exponents
#VALUE!,"|?,??????.????|e+|?|",123456.789,Exponents
|1.2|E|5|,|#.#|E-|#|,123456.789,Exponents
|1.2|E|+5|,|#.#|E+|#|,123456.789,Exponents
#VALUE!,"|#,e-#|",1.23456789E-05,"Exponents, Debug"
#VALUE!,"|#e-#,|",1.23456789E-05,Exponents
#VALUE!,|#%e-#|,1.23456789E-05,Exponents
#VALUE!,|#e-#%|,1.23456789E-05,Exponents
#VALUE!,|#|e-|#|,1.23456789E-05,Exponents
#VALUE!,|#.#|e-|#|,1.23456789E-05,Exponents
#VALUE!,|####.####|e-|#|,1.23456789E-05,Exponents
#VALUE!,|#######.####|e-|#|,1.23456789E-05,Exponents
#VALUE!,"|#,######.####|e-|#|",1.23456789E-05,Exponents
#VALUE!,|0|e-|0|,1.23456789E-05,Exponents
#VALUE!,|0.0|e-|0|,1.23456789E-05,Exponents
#VALUE!,|0000.0000|e-|0|,1.23456789E-05,Exponents
#VALUE!,|0000000.0000|e-|0|,1.23456789E-05,Exponents
#VALUE!,"|0,000000.0000|e-|0|",1.23456789E-05,Exponents
#VALUE!,|?|e-|?|,1.23456789E-05,Exponents
#VALUE!,|?.?|e-|?|,1.23456789E-05,Exponents
#VALUE!,|????.????|e-|?|,1.23456789E-05,Exponents
#VALUE!,|???????.????|e-|?|,1.23456789E-05,Exponents
#VALUE!,"|?,??????.????|e-|?|",1.23456789E-05,Exponents
#VALUE!,"|#,e+#|",1.23456789E-05,Exponents
#VALUE!,"|#e+#,|",1.23456789E-05,Exponents
#VALUE!,|#%e+#|,1.23456789E-05,Exponents
#VALUE!,|#e+#%|,1.23456789E-05,Exponents
#VALUE!,|#|e+|#|,1.23456789E-05,Exponents
#VALUE!,|#.#|e+|#|,1.23456789E-05,Exponents
#VALUE!,|#.####|e+|#|,1.23456789E-04,Exponents
#VALUE!,|##.####|e+|#|,1.23456789E-04,Exponents
#VALUE!,|###.####|e+|#|,1.23456789E-04,Exponents
#VALUE!,|####.####|e+|#|,1.23456789E-04,Exponents
#VALUE!,|#####.####|e+|#|,1.23456789E-04,Exponents
#VALUE!,|#######.####|e+|#|,1.23456789E-04,Exponents
#VALUE!,|#.####|e+|#|,1.23456789E-05,Exponents
#VALUE!,|##.####|e+|#|,1.23456789E-05,Exponents
#VALUE!,|###.####|e+|#|,1.23456789E-05,Exponents
#VALUE!,|####.####|e+|#|,1.23456789E-05,Exponents
#VALUE!,|#####.####|e+|#|,1.23456789E-05,Exponents
#VALUE!,|#######.####|e+|#|,1.23456789E-05,Exponents
#VALUE!,|#.####|e+|#|,1.23456789E-06,Exponents
#VALUE!,|##.####|e+|#|,1.23456789E-06,Exponents
#VALUE!,|###.####|e+|#|,1.23456789E-06,Exponents
#VALUE!,|####.####|e+|#|,1.23456789E-06,Exponents
#VALUE!,|#####.####|e+|#|,1.23456789E-06,Exponents
#VALUE!,|#######.####|e+|#|,1.23456789E-06,Exponents
#VALUE!,"|#,######.####|e+|#|",1.23456789E-06,Exponents
#VALUE!,|0|e+|0|,1.23456789E-05,Exponents
#VALUE!,|0.0|e+|0|,1.23456789E-05,Exponents
#VALUE!,|0000.0000|e+|0|,1.23456789E-05,Exponents
#VALUE!,|0000000.0000|e+|0|,1.23456789E-05,Exponents
#VALUE!,"|0,000000.0000|e+|0|",1.23456789E-05,Exponents
#VALUE!,|?|e+|?|,1.23456789E-05,Exponents
#VALUE!,|?.?|e+|?|,1.23456789E-05,Exponents
#VALUE!,|????.????|e+|?|,1.23456789E-05,Exponents
#VALUE!,|???????.????|e+|?|,1.23456789E-05,Exponents
#VALUE!,"|?,??????.????|e+|?|",1.23456789E-05,Exponents
|1.2|E|-5|,|#.#|E-|#|,1.23456789E-05,Exponents
|1.2|E|-5|,|#.#|E+|#|,1.23456789E-05,Exponents
#VALUE!,"|#,e-#|",0,Exponents
#VALUE!,"|#e-#,|",0,Exponents
#VALUE!,|#%e-#|,0,Exponents
#VALUE!,|#e-#%|,0,Exponents
#VALUE!,|#|e-|#|,0,Exponents
#VALUE!,|#.#|e-|#|,0,Exponents
#VALUE!,|####.####|e-|#|,0,Exponents
#VALUE!,|#######.####|e-|#|,0,Exponents
#VALUE!,"|#,######.####|e-|#|",0,Exponents
#VALUE!,|0|e-|0|,0,Exponents
#VALUE!,|0.0|e-|0|,0,Exponents
#VALUE!,|0000.0000|e-|0|,0,Exponents
#VALUE!,|0000000.0000|e-|0|,0,Exponents
#VALUE!,"|0,000000.0000|e-|0|",0,Exponents
#VALUE!,|?|e-|?|,0,Exponents
#VALUE!,|?.?|e-|?|,0,Exponents
#VALUE!,|????.????|e-|?|,0,Exponents
#VALUE!,|???????.????|e-|?|,0,Exponents
#VALUE!,"|?,??????.????|e-|?|",0,Exponents
#VALUE!,"|#,e+#|",0,Exponents
#VALUE!,"|#e+#,|",0,Exponents
#VALUE!,|#%e+#|,0,Exponents
#VALUE!,|#e+#%|,0,Exponents
#VALUE!,|#|e+|#|,0,Exponents
#VALUE!,|#.#|e+|#|,0,Exponents
#VALUE!,|####.####|e+|#|,0,Exponents
#VALUE!,|#######.####|e+|#|,0,Exponents
#VALUE!,"|#,######.####|e+|#|",0,Exponents
#VALUE!,|0|e+|0|,0,Exponents
#VALUE!,|0.0|e+|0|,0,Exponents
#VALUE!,|0000.0000|e+|0|,0,Exponents
#VALUE!,|0000000.0000|e+|0|,0,Exponents
#VALUE!,"|0,000000.0000|e+|0|",0,Exponents
#VALUE!,|?|e+|?|,0,Exponents
#VALUE!,|?.?|e+|?|,0,Exponents
#VALUE!,|????.????|e+|?|,0,Exponents
#VALUE!,|???????.????|e+|?|,0,Exponents
#VALUE!,"|?,??????.????|e+|?|",0,Exponents
|0.|E|0|,|#.#|E-|#|,0,Exponents
|0.|E|+0|,|#.#|E+|#|,0,Exponents
#VALUE!,"|#,e-#|",-123456.789,Exponents
#VALUE!,"|#e-#,|",-123456.789,Exponents
#VALUE!,|#%e-#|,-123456.789,Exponents
#VALUE!,|#e-#%|,-123456.789,Exponents
#VALUE!,|#|e-|#|,-123456.789,Exponents
#VALUE!,|#.#|e-|#|,-123456.789,Exponents
#VALUE!,|####.####|e-|#|,-123456.789,Exponents
#VALUE!,|#######.####|e-|#|,-123456.789,Exponents
#VALUE!,"|#,######.####|e-|#|",-123456.789,Exponents
#VALUE!,|0|e-|0|,-123456.789,Exponents
#VALUE!,|0.0|e-|0|,-123456.789,Exponents
#VALUE!,|0000.0000|e-|0|,-123456.789,Exponents
#VALUE!,|0000000.0000|e-|0|,-123456.789,Exponents
#VALUE!,"|0,000000.0000|e-|0|",-123456.789,Exponents
#VALUE!,|?|e-|?|,-123456.789,Exponents
#VALUE!,|?.?|e-|?|,-123456.789,Exponents
#VALUE!,|????.????|e-|?|,-123456.789,Exponents
#VALUE!,|???????.????|e-|?|,-123456.789,Exponents
#VALUE!,"|?,??????.????|e-|?|",-123456.789,Exponents
#VALUE!,"|#,e+#|",-123456.789,Exponents
#VALUE!,"|#e+#,|",-123456.789,Exponents
#VALUE!,|#%e+#|,-123456.789,Exponents
#VALUE!,|#e+#%|,-123456.789,Exponents
#VALUE!,|#|e+|#|,-123456.789,Exponents
#VALUE!,|#.#|e+|#|,-123456.789,Exponents
#VALUE!,|####.####|e+|#|,-123456.789,Exponents
#VALUE!,|#######.####|e+|#|,-123456.789,Exponents
#VALUE!,"|#,######.####|e+|#|",-123456.789,Exponents
#VALUE!,|0|e+|0|,-123456.789,Exponents
#VALUE!,|0.0|e+|0|,-123456.789,Exponents
#VALUE!,|0000.0000|e+|0|,-123456.789,Exponents
#VALUE!,|0000000.0000|e+|0|,-123456.789,Exponents
#VALUE!,"|0,000000.0000|e+|0|",-123456.789,Exponents
#VALUE!,|?|e+|?|,-123456.789,Exponents
#VALUE!,|?.?|e+|?|,-123456.789,Exponents
#VALUE!,|????.????|e+|?|,-123456.789,Exponents
#VALUE!,|???????.????|e+|?|,-123456.789,Exponents
#VALUE!,"|?,??????.????|e+|?|",-123456.789,Exponents
-|1.2|E|5|,|#.#|E-|#|,-123456.789,Exponents
-|1.2|E|+5|,|#.#|E+|#|,-123456.789,Exponents
#VALUE!,"|#,e-#|",-1.23456789E-05,Exponents
#VALUE!,"|#e-#,|",-1.23456789E-05,Exponents
#VALUE!,|#%e-#|,-1.23456789E-05,Exponents
#VALUE!,|#e-#%|,-1.23456789E-05,Exponents
#VALUE!,|#|e-|#|,-1.23456789E-05,Exponents
#VALUE!,|#.#|e-|#|,-1.23456789E-05,Exponents
#VALUE!,|####.####|e-|#|,-1.23456789E-05,Exponents
#VALUE!,|#######.####|e-|#|,-1.23456789E-05,Exponents
#VALUE!,"|#,######.####|e-|#|",-1.23456789E-05,Exponents
#VALUE!,|0|e-|0|,-1.23456789E-05,Exponents
#VALUE!,|0.0|e-|0|,-1.23456789E-05,Exponents
#VALUE!,|0000.0000|e-|0|,-1.23456789E-05,Exponents
#VALUE!,|0000000.0000|e-|0|,-1.23456789E-05,Exponents
#VALUE!,"|0,000000.0000|e-|0|",-1.23456789E-05,Exponents
#VALUE!,|?|e-|?|,-1.23456789E-05,Exponents
#VALUE!,|?.?|e-|?|,-1.23456789E-05,Exponents
#VALUE!,|????.????|e-|?|,-1.23456789E-05,Exponents
#VALUE!,|???????.????|e-|?|,-1.23456789E-05,Exponents
#VALUE!,"|?,??????.????|e-|?|",-1.23456789E-05,Exponents
#VALUE!,"|#,e+#|",-1.23456789E-05,Exponents
#VALUE!,"|#e+#,|",-1.23456789E-05,Exponents
#VALUE!,|#%e+#|,-1.23456789E-05,Exponents
#VALUE!,|#e+#%|,-1.23456789E-05,Exponents
#VALUE!,|#|e+|#|,-1.23456789E-05,Exponents
#VALUE!,|#.#|e+|#|,-1.23456789E-05,Exponents
#VALUE!,|####.####|e+|#|,-1.23456789E-05,Exponents
#VALUE!,|#######.####|e+|#|,-1.23456789E-05,Exponents
#VALUE!,"|#,######.####|e+|#|",-1.23456789E-05,Exponents
#VALUE!,|0|e+|0|,-1.23456789E-05,Exponents
#VALUE!,|0.0|e+|0|,-1.23456789E-05,Exponents
#VALUE!,|0000.0000|e+|0|,-1.23456789E-05,Exponents
#VALUE!,|0000000.0000|e+|0|,-1.23456789E-05,Exponents
#VALUE!,"|0,000000.0000|e+|0|",-1.23456789E-05,Exponents
#VALUE!,|?|e+|?|,-1.23456789E-05,Exponents
#VALUE!,|?.?|e+|?|,-1.23456789E-05,Exponents
#VALUE!,|????.????|e+|?|,-1.23456789E-05,Exponents
#VALUE!,|???????.????|e+|?|,-1.23456789E-05,Exponents
#VALUE!,"|?,??????.????|e+|?|",-1.23456789E-05,Exponents
-|1.2|E|-5|,|#.#|E-|#|,-1.23456789E-05,Exponents
-|1.2|E|-5|,|#.#|E+|#|,-1.23456789E-05,Exponents
#VALUE!,|#.#|e+|#|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|#####|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|0|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|000|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|0000|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|00000|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|?|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|???|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|????|,1.23456780E+142,Exponents
#VALUE!,|#.#|e+|?????|,1.23456780E+142,Exponents
