,Sheet Comment:,Simple tests of Roman using basic argument values,,,
,,,,,
,Formula,Expected Result,Comment,,
,,,,,
,CDXCIX,CDXCIX,Classic roman numeral style for 499 (CDXCIX),,
,LDVLIV,LDVLIV,More concise version for 499 (LDVLIV),,
,XDIX,XDIX,More concise version for 499 (XDIX),,
,VDIV,VDIV,More concise version for 499 (VDIV),,
,ID,ID,More concise version for 499 (ID),,
,MMXIII,MMXIII,Classic roman numeral style for 2013 (MMXIII),,
,#VALUE!,#VALUE!,Not a number,,
<skip>,,,,,
,#VALUE!,#VALUE!,"If number is negative, the #VALUE! error value is returned.",,
,MMMCMXCIX,MMMCMXCIX,,,
,#VALUE!,#VALUE!,"If number is greater than 3999, the #VALUE! error value is returned.",,
,C,C,double number get rounded,,
,,,,,
,Concise testing with 1,,,,
,VL,VL,value 45,,
,VC,VC,value 95,,
,LD,LD,value 450,,
,LM,LM,value 950,,
,LMVL,LMVL,value 995,,
,,,,,
,LDXL,LDXL,value 490,,
,LDVL,LDVL,value 495,,
,LMXL,LMXL,value 990,,
,VCIV,VCIV,value 99,,
,VLIV,VLIV,value 49,,
,,,,,
,Concise testing with 2,,,,
,IL,IL,value 49,,
,IC,IC,value 99,,
,XD,XD,value 490,,
,XDV,XDV,value 495,,
,XDIX,XDIX,value 499,,
,XMV,XMV,value 995,,
,XMIX,XMIX,value 999,,
,XM,XM,value 990,,
,,,,,
,Concise testing with 3,,,,
,VD,VD,value 495,,
,VDIV,VDIV,value 499,,
,VM,VM,value 995,,
,VMIV,VMIV,value 999,,
,,,,,
,Concise testing with 4,,,,
,ID,ID,value 499,,
,IM,IM,value 999,,
,,,,,
<end>,,,,,
