,,,,,,,,,,,,,,,
SELECT Something,,,,,,,,,,,,,,,
All States,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
All States Summary by year,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,A total,some factor,part of it,factor ratio,another total,another factor,total 3,factor 3,total 4,total 5,% of something,% * something,,% GIP,
2000,"40,876,726",51.6,"2,110,765",0.16,"331,257",0.32,"674,818",32.2,"21,717,896","59,339",2.9%,"1,722.9",366,2.90%,2.90%
2001,"40,022,329",55.1,"2,205,052",0.22,"476,598",0.31,"687,857",44.7,"30,713,422","84,146",2.3%,"1,975.6",365,2.35%,2.35%
2002,"35,752,745",55.8,"1,993,705",0.27,"535,098",0.38,"766,140",42.6,"32,641,676","89,429",2.9%,"2,577.3",365,2.88%,2.88%
2003,"45,744,604",33.7,"1,542,806",0.27,"415,539",0.50,"778,870",53.9,"41,994,938","115,055",3.2%,"3,689.4",365,3.21%,3.21%
2004,"46,097,753",33.5,"1,544,314",0.37,"566,534",0.63,"969,406",60.1,"58,245,687","159,141",1.9%,"3,070.0",366,1.93%,1.93%
2005,"37,477,964",48.7,"1,825,401",0.29,"536,022",0.47,"863,362",62.6,"54,031,836","148,032",2.6%,"3,913.9",365,2.64%,2.64%
2006,"44,177,733",50.0,"2,210,730",0.25,"541,965",0.53,"1,170,329",64.0,"74,919,167","205,258",2.3%,"4,692.0",365,2.29%,2.29%
2007,"47,006,743",40.1,"1,883,253",0.33,"629,655",0.58,"1,088,566",70.5,"76,703,158","210,146",1.9%,"3,911.6",365,1.86%,1.86%
2008,"49,839,764",41.7,"2,079,330",0.28,"589,416",0.50,"1,041,356",68.5,"71,297,324","194,801",2.2%,"4,283.9",366,2.20%,2.20%
2009,"41,571,659",48.9,"2,030,961",0.31,"619,868",0.52,"1,064,317",65.9,"70,156,683","192,210",2.3%,"4,335.6",365,2.26%,2.26%
2010,"55,810,488",34.2,"1,910,462",0.37,"712,531",0.58,"1,103,778",70.4,"77,693,716","212,859",2.1%,"4,551.0",365,2.14%,2.14%
2011,"59,439,084",28.9,"1,718,368",0.42,"728,177",0.85,"1,453,282",70.2,"101,970,529","279,371",1.5%,"4,080.6",365,1.46%,1.46%
2012,"57,538,344",34.7,"1,997,964",0.38,"764,127",0.60,"1,204,304",82.7,"99,630,668","272,215",1.7%,"4,528.1",366,1.66%,1.66%
2013,"57,464,576",38.8,"2,226,922",0.41,"922,888",0.70,"1,564,735",65.8,"102,935,667","282,016",1.4%,"4,043.7",365,1.43%,1.43%
,,,,,,,,,,,,,,,
,Category 1,,,,,,,,,,,,,,
2000,"40,876,726.0",,,,,,,,,,,,,,
2001,"40,022,329.0",,,,,,,,,,,,,,
2002,"35,752,745.0",,,,,,,,,,,,,,
2003,"45,744,604.0",,,,,,,,,,,,,,
2004,"46,097,753.0",,,,,,,,,,,,,,
2005,"37,477,964.0",,,,,,,,,,,,,,
2006,"44,177,733.0",,,,,,,,,,,,,,
2007,"47,006,743.0",,,,,,,,,,,,,,
2008,"49,839,764.0",,,,,,,,,,,,,,
2009,"41,571,659.0",,,,,,,,,,,,,,
2010,"55,810,488.0",,,,,,,,,,,,,,
2011,"59,439,084.0",,,,,,,,,,,,,,
2012,"57,538,344.0",,,,,,,,,,,,,,
2013,"57,464,576.0",,,,,,,,,,,,,,
