0,data_year,valueA,name_number,total1,total2,total3
1,2013,Alabama,name1 - 101,3210,214546,331
2,2013,Alabama,name2 - 102,1258,118407,384
3,2013,Alabama,name3 - 103,1158,68371,662
4,2013,Alabama,name4 - 104,1026,93742,348
5,2013,Alabama,name5 - 105,938,87954,457
6,2013,Alabama,name6 - 106,876,79029,122
7,2013,Alabama,name7 - 107,847,75187,146
8,2013,Alabama,name8 - 108,777,71245,85
9,2013,Alabama,name9 - 109,680,50217,306
10,2013,Alabama,name10 - 110,647,26794,2788
11,2013,Alabama,name11 - 111,610,52031,141
12,2013,Alabama,name12 - 112,563,59311,222
13,2013,Alabama,name13 - 113,557,33461,898
14,2013,Alabama,name14 - 114,523,30501,1785
15,2013,Alabama,name15 - 115,485,31650,628
16,2013,Alabama,name16 - 116,457,33998,260
17,2013,Alabama,name17 - 117,439,28991,145
18,2013,Alabama,name18 - 118,429,39634,84
19,2013,Alabama,name19 - 119,400,22219,364
20,2013,Alabama,name20 - 120,380,41018,221
21,2013,Alabama,name21 - 121,374,24208,183
22,2013,Alabama,name22 - 122,370,31200,177
23,2013,Alabama,name23 - 123,359,22561,53
24,2013,Alabama,name24 - 124,345,27440,33
25,2013,Alabama,name25 - 125,341,24374,48
26,2013,Alabama,name26 - 126,333,21708,145
27,2013,Alabama,name27 - 127,323,26247,180
28,2013,Alabama,name28 - 128,322,24006,34
29,2013,Alabama,name29 - 129,321,25985,8
30,2013,Alabama,name30 - 130,316,21239,247
31,2013,Alabama,name31 - 131,302,25745,96
32,2013,Alabama,name32 - 132,289,26016,283
33,2013,Alabama,name33 - 133,280,18257,182
34,2013,Alabama,name34 - 134,263,20940,113
35,2013,Alabama,name35 - 135,251,22470,53
36,2013,Alabama,name36 - 136,250,18695,173
37,2013,Alabama,name37 - 137,249,26007,23
38,2013,Alabama,name38 - 138,243,22646,73
39,2013,Alabama,name39 - 139,242,26152,235
40,2013,Alabama,name40 - 140,236,15949,169
41,2013,Alabama,name41 - 141,231,16819,230
42,2013,Alabama,name42 - 142,230,15179,24
43,2013,Alabama,name43 - 143,224,26717,58
44,2013,Alabama,name44 - 144,223,18831,41
45,2013,Alabama,name45 - 145,220,18424,26
46,2013,Alabama,name46 - 146,214,23250,562
47,2013,Alabama,name47 - 147,211,18959,30
