,,Category,,,,
Year,Data,Books,Electronics,mMovies,MMusic,Grand Total
2005,Sum of Cost,889017,13114909,768187,583350,15355463
,Sum of Revenue,1140362.5,15883893,823227.875,626592.1875,18474075.56
2006,Sum of Cost,1025796,15910763,961323,695300,18593182
,Sum of Revenue,1320585.375,19299870,1032390.813,748966,22401812.19
2007,Sum of Cost,1218726,19524378,1241525,875455,22860084
,Sum of Revenue,1563287.125,23654030,1333126.375,940136.1875,27490579.69
Total Sum of Cost,,3133539,48550050,2971035,2154105,56808729
Total Sum of Revenue,,4024235,58837793,3188745.063,2315694.375,68366467.44
