Bundespräsidentenwahl  25. April 2010,,,,,,, Stand: , 30/04/10 18:40:45,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Nr.,Name,Wahlbe-, abgegeb. , Wahlbet. , ungültige ,, gültige ,,Dr. Fischer,,Dr. Gehring,, Rosenkranz ,, P 4 ,, P 5 ,, P 6 ,, erste Eingabe ,, letzte Eingabe ,
,,rechtigte, Stimmen , in % , Stimmen , in % , Stimmen , in % , Stimmen , Ant. % , Stimmen , Ant. % , Stimmen , Ant. % , Stimmen , Ant. % , Stimmen , Ant. % , Stimmen , Ant. % , Datum , Zeit , Datum , Zeit 
40000,Land Oberösterreich,"1,092,760"," 618,531 ", 56.60 ," 43,745 ", 7.07 ," 574,786 ", 92.93 ," 455,852 ", 79.31 ," 32,879 ", 5.72 ," 86,055 ", 14.97 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:42:32,30/04/2010,18:40:45
40099,Wahlkarten Oberösterreich,0,,,,,,,,,,,,,,,,,,,    ,    ,    ,    
4A000,Wahlkreis Linz und Umgebung,"245,906"," 134,905 ", 54.86 ," 7,866 ", 5.83 ," 127,039 ", 94.17 ," 103,369 ", 81.37 ," 5,065 ", 3.99 ," 18,605 ", 14.65 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:39:31,30/04/2010,18:40:45
4A099,Wahlkarten Linz und Umgebung,0,,,,,,,,,,,,,,,,,,,    ,    ,    ,    
4B000,Wahlkreis Innviertel,"165,652"," 83,512 ", 50.41 ," 5,907 ", 7.07 ," 77,605 ", 92.93 ," 57,904 ", 74.61 ," 5,170 ", 6.66 ," 14,531 ", 18.72 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:05:05,30/04/2010,15:58:30
4B099,Wahlkarten Innviertel,0,,,,,,,,,,,,,,,,,,,    ,    ,    ,    
4C000,Wahlkreis Hausruckviertel,"268,052"," 151,243 ", 56.42 ," 11,612 ", 7.68 ," 139,631 ", 92.32 ," 108,208 ", 77.50 ," 8,121 ", 5.82 ," 23,302 ", 16.69 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:42:32,30/04/2010,17:51:09
4C099,Wahlkarten Hausruckviertel,0,,,,,,,,,,,,,,,,,,,    ,    ,    ,    
4D000,Wahlkreis Traunviertel,"197,916"," 115,329 ", 58.27 ," 8,152 ", 7.07 ," 107,177 ", 92.93 ," 85,213 ", 79.51 ," 6,584 ", 6.14 ," 15,380 ", 14.35 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:28:02,30/04/2010,17:40:27
4D099,Wahlkarten Traunviertel,0,,,,,,,,,,,,,,,,,,,    ,    ,    ,    
4E000,Wahlkreis Mühlviertel,"215,234"," 133,542 ", 62.05 ," 10,208 ", 7.64 ," 123,334 ", 92.36 ," 101,158 ", 82.02 ," 7,939 ", 6.44 ," 14,237 ", 11.54 , 0 , 0 , 0 , 0 , 0 , 0 ,25/04/2010,17:19:42,30/04/2010,17:30:30
