GEMNR,GEMNAME,WBGES,ABGST,PRABG,UNGST,PRUNG,GST,PRG,P1,PRP1,P2,PRP2,P3,PRP3,P4,PRP4,P5,PRP5,P6,PRP6,P7,PRP7,P8,PRP8,ZEITE,ZEITL
40000,Oberösterreich,1092760,618531,56.6,43745,7.07,574786,92.93,455852,79.31,32879,5.72,86055,14.97,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40099,Wahlkarten Oberösterreich,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
49010,Linz und Umgebung,245906,134905,54.86,7866,5.83,127039,94.17,103369,81.37,5065,3.99,18605,14.65,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
49019,Wahlkarten Linz und Umgebung,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
49020,Innviertel,165652,83512,50.41,5907,7.07,77605,92.93,57904,74.61,5170,6.66,14531,18.72,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
49029,Wahlkarten Innviertel,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
49030,Hausruckviertel,268052,151243,56.42,11612,7.68,139631,92.32,108208,77.5,8121,5.82,23302,16.69,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
49039,Wahlkarten Hausruckviertel,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
49040,Traunviertel,197916,115329,58.27,8152,7.07,107177,92.93,85213,79.51,6584,6.14,15380,14.35,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
49049,Wahlkarten Traunviertel,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
49050,Mühlviertel,215234,133542,62.05,10208,7.64,123334,92.36,101158,82.02,7939,6.44,14237,11.54,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
49059,Wahlkarten Mühlviertel,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,
40100,Linz,141479,73689,52.08,3834,5.2,69855,94.8,57666,82.55,2520,3.61,9669,13.84,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40101,Linz,141479,65294,46.15,3430,5.25,61864,94.75,50761,82.05,2220,3.59,8883,14.36,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40199,Wahlkarten Linz,0,8395,0,404,4.81,7991,95.19,6905,86.41,300,3.75,786,9.84,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40200,Steyr,28805,15549,53.98,870,5.6,14679,94.4,11804,80.41,577,3.93,2298,15.66,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40201,Steyr,28805,14369,49.88,819,5.7,13550,94.3,10839,79.99,520,3.84,2191,16.17,0,0,0,0,0,0,0,0,0,0,4/25/10,4/25/10
40299,Wahlkarten Steyr,0,1180,0,51,4.32,1129,95.68,965,85.47,57,5.05,107,9.48,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40300,Wels,40872,20742,50.75,1137,5.48,19605,94.52,15291,78,818,4.17,3496,17.83,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
40301,Wels,40872,18928,46.31,1049,5.54,17879,94.46,13857,77.5,751,4.2,3271,18.3,0,0,0,0,0,0,0,0,0,0,4/25/10,4/27/10
40399,Wahlkarten Wels,0,1814,0,88,4.85,1726,95.15,1434,83.08,67,3.88,225,13.04,0,0,0,0,0,0,0,0,0,0,4/30/10,4/30/10
40400,Braunau am Inn,75019,36919,49.21,2478,6.71,34441,93.29,25795,74.9,2166,6.29,6480,18.81,0,0,0,0,0,0,0,0,0,0,4/25/10,4/30/10
