________,,,,,zayavka@aida-tour.com,
!______ ________ ______ ____!,,,,,_/_: 044 583 55 30,
,,,,," __.___________ 56, __.2",
_____,,,,,,
_ _/_,_____,,_________,___ ______,,_______
1,ANANTARA DHIGU RESORT & SPA,,5* DELUXE,Sunrise Beach Front Villa,,BB
2,ANANTARA VELI RESORT & SPA MALDIVES,,5* DELUXE,Over Water Bungalow,,BB
3,BANYAN TREE VABBINFARU MALDIVES,,5* DELUXE,Ocean View Villa,,FB
4,COCO PALM BODU HITHI,,5* DELUXE,Island Villa,,BB
5,CONRAD MALDIVES RANGALI ISLAND,,5* DELUXE,Beach Villa,,BB
6,FOUR SEASONS RESORT MALDIVES AT KUDA HURAA,,5* DELUXE,Beach Pavillion With Pool Room,,BB
7,FOUR SEASONS RESORT MALDIVES AT LANDAA GIRAAVARU,,5* DELUXE,Beach Bungalow With Pool,,BB
8,KANUHURA MALDIVES,,5* DELUXE,Beach Villa,,BB
9,NALADHU MALDIVES,,5* DELUXE,Ocean House,,BB
10,ONE & ONLY MALDIVES AT REETHI RAH,,5* DELUXE,Beach Villa,,BB
11,SHANGRI_LA'S VILLINGILI RESORT & SPA,,5* DELUXE,Pool Villa with Private Pool (133 Sqm),,__
12,SONEVA FUSHI BY SIX SENSES,,5* DELUXE,Rehendi Room,,BB
13,SONEVA GILI BY SIX SENSES,,5* DELUXE,SG Villa Suite,,BB
14,TAJ EXOTICA RESORT & SPA,,5* DELUXE,Lagoon Villa,,BB
15,W RETREAT & SPA MALDIVES,,5* DELUXE,Beach Oasis Room,,BB
,,,,,,
,,,,,,
