_______ _____   ** ________   **   _____ DELUXE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
e-mail: zayavka@aida-tour.com,,,,,,,,,,,,,,,,
___./____: 044 583 55 30,,,,,,,,,,,,,,,,
"04071 ____, __. ___________ 56/60, __. 2",,,,,,,,,,,,,,,,
,!______ ________ ______ ____!,,,,,,,,,,,,,,,
01.08.11-31.10.11,,,,,,,,,,,,,,,,
____ _______ __ _____ _ USD,,,,,,,,,,,,,,,,
_ _________ ______:,,,,,_____________ ____________:,,,,,,,,,,,
_________ __________ _____ __________,,,,,_____________ ___________,,,,,,,,,,,
_________ _______,,,,,________,,,,,,,,,,,
___________ _________,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,________ ___________,,,,,,,,,,,,,,,
 DBL          2-_ _______ _____,,,,,RO,___ _______,,,,,,,,,,
   SNGL       1-__ _______ _____,,,,,BB,_______ ________,,,,,,,,,,
  TRPL        3-_ _______ _____,,,,,HB,_______ _______-____,,,,,,,,,,
                       ,,,,,FB,_______ _______-____-____,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: SHANGRI_LA'S VILLINGILI RESORT & SPA,5*",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5, 14=10 + BB=HB ___ 2 ___. _ ______. _______ __ __________ ____ 12 usd/_____/___. __________ ________ ___ _____. _____________ _ 01/08/11 __ 15/10/11.",,,,,,,,,
POLL VILLA WITH PRIVATE POOL (133 Sqm),,,,,,,,,,,,,,,,
  01.08.11-15.10.11,1, BB ,930,915,1280,960,,,,,,,,,,
  15.10.11-31.10.11,1, BB ,1345,1335,1697,1360,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ + _____ 410/___, 277/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: NALADHU MALDIVES,5*",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"______ 30% __ ___ _________ _______._____________ _ 01.08.2011 __ 30.09.2011",,,,,,,,,
Ocean House,,,,,,,,,,,,,,,,
  01.08.11-15.10.11,1, BB ,1420,1420,-,1550,,,,,,,,,,
  15.10.11-31.10.11,1, BB ,1335,1335,-,1465,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 275/___, 138/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: ANANTARA DHIGU RESORT & SPA,5*",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5, 12=9, 14=10. __ _____ __________ _____ _______ 12 usd/_____/___. _____________ _ 01/08/11 __ 31/10/11.",,,,,,,,,
SUNRISE BEACH FRONT VILLA,,,,,,,,,,,,,,,,
  01.08.11-31.08.11,1, BB ,798,798,955,815,,,,,,,,,,
  01.09.11-31.10.11,1, BB ,611,559,624,624,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 185/___, 95/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: ANANTARA VELI RESORT & SPA MALDIVES,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=5, 12=9, 14=10. __ _____ __________ _____ _______ 12 usd/_____/___. _____________ _ 01/08/11 __ 31/10/11.",,,,,,,,,
OVER WATER BUNGALOW,,,,,,,,,,,,,,,,
  01.08.11-31.08.11,1, BB ,755,755,727,775,,,,,,,,,,
  01.09.11-31.10.11,1, BB ,563,550,910,586,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 185/___, 95/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"_____: BANYAN TREE VABBINFARU MALDIVES,5* ",,,,,,,,,,,,,,,,
 __________,_____,____ ___,DBL,SNGL,TRPL,DBL + CHLD (2-12),"__________ ____: 7=6, 10=8, 14=12. __ _____ __________ _____ _______ 12 usd/_____/___. _____________ _ 01/08/11 __ 31/10/11.",,,,,,,,,
OCEAN VIEW VILLA,,,,,,,,,,,,,,,,
  01.08.11-30.09.11,1, FB ,768,745,1025,1013,,,,,,,,,,
  01.10.11-31.10.11,1, FB ,960,950,1215,1195,,,,,,,,,,
"_________ ________ __ ________ _ USD  _ - _ - _ _____ 130/___, 130/___",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
