Code PITD,Libellé PITD,Code de la station  météo rattachée au PITD,Code GRD,Nombre de postes de livraison Transport/Distribution rattachés au PITD,Niveau Tarifaire Régional (NTR),Zone de sortie,Zone d'Equilibrage,Type De gaz,Statut,PiT - Code  Distributeur de rang 2 de la commune
AA0001,AIRE-SUR-L'ADOUR,64549001,ASAD,3,0,ADOUR,TIGF,H,ALIMENTEE,INCO
AV0001,SAINT-AVOLD,57039001,SAVD,2,2,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
BV0001,BONNEVILLE,74042003,BNVL,1,7,RHONE NORD,ZONE SUD,H,ALIMENTEE,INCO
BX0001,BORDEAUX,33281001,GDBX,8,3,GUYENNE,TIGF,H,ALIMENTEE,INCO
BZ0001,BAZAS,33281001,BAZS,2,1,GUYENNE,TIGF,H,ALIMENTEE,INCO
CR0001,COLMAR,68066004,CLMR,1,3,NORD EST,ZONE EST,H,ALIMENTEE,INCO
CX0001,CARMAUX,31069001,CRMX,1,8,TOULOUSE,TIGF,H,ALIMENTEE,INCO
DX0001,DREUX,28070001,DREU,2,2,BEAUCE,ZONE NORD,H,ALIMENTEE,INCO
GD0001,WISSEMBOURG,68297001,GDFD,1,5,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0002,SELTZ,68297001,GDFD,2,6,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0003,SOUFFLENHEIM,68297001,GDFD,3,4,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0004,BISCHWILLER,68297001,GDFD,2,6,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0005,HAGUENAU,68297001,GDFD,2,5,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0006,MERTZWILLER,68297001,GDFD,2,6,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0007,REICHSHOFFEN,68297001,GDFD,1,4,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0008,INGWILLER,68297001,GDFD,3,2,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0009,BOUXWILLER,68297001,GDFD,2,8,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0010,DETTWILLER,68297001,GDFD,1,5,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0011,HOCHFELDEN,68297001,GDFD,1,7,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0013,RHINAU,68297001,GDFD,1,10,REGION OBERGAILBACH,ZONE EST,H,ALIMENTEE,INCO
GD0014,MARCKOLSHEIM,68297001,GDFD,1,2,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0015,SAINTE-CROIX-AUX-MINES,68297001,GDFD,13,5,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0016,FESSENHEIM,68297001,GDFD,6,3,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0017,SAINTE-MARIE-AUX-MINES,68297001,GDFD,2,8,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0018,RIBEAUVILLE,68297001,GDFD,1,10,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0019,SAINT-HIPPOLYTE,68297001,GDFD,2,8,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0020,EBERSHEIM,68297001,GDFD,1,2,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0021,ANDOLSHEIM,68297001,GDFD,2,5,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0022,WIHR-AU-VAL,68297001,GDFD,2,8,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0023,MUNSTER,68297001,GDFD,1,9,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0024,ROUFFACH,68297001,GDFD,1,5,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0025,MULHOUSE,68297001,GDFD,1,4,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0026,HOMBOURG,68297001,GDFD,6,3,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0027,ALTKIRCH,68297001,GDFD,1,9,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0028,DANNEMARIE,68297001,GDFD,1,7,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0029,BELFORT,70473001,GDFD,1,4,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0030,BOUROGNE,70473001,GDFD,8,6,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0031,DELLE,70473001,GDFD,1,8,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0032,PONT-DE-ROIDE,70473001,GDFD,2,14,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0033,CHAGEY,70473001,GDFD,1,0,HAUTE SAONE,ZONE EST,H,ALIMENTEE,INCO
GD0034,BAUME-LES-DAMES,70473001,GDFD,1,16,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0035,VILLERSEXEL,70473001,GDFD,1,5,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0036,LURE,70473001,GDFD,1,10,NORD EST,ZONE EST,H,ALIMENTEE,INCO
GD0037,VESOUL,70473001,GDFD,1,4,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0038,PORT-SUR-SAONE,70473001,GDFD,2,6,LANGRES,ZONE EST,H,ALIMENTEE,INCO
GD0039,POLIGNY,25056001,GDFD,1,15,BOURGOGNE,ZONE SUD,H,ALIMENTEE,INCO
GD0040,FOUGEROLLES,70473001,GDFD,4,9,NORD EST,ZONE EST,H,ALIMENTEE,INCO
