 FY 2006-07 Florida Charter School Revenue Data ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 School Info. ,,,,,,,,,, Federal Revenues ,,,,,,,,,,,,,,,,,,,,, State Revenues ,,,,,,,,,,,,,,,,,,,,,,,,,,,, For State and Local Calculation Purposes Only ,,,,,,,,,,,,, Indeterminate Revenues ,,,,,,,,,,,,, Local Revenues ,,,,,,,,, Other Revenues ,,,,,,,,,,,,,,,,,,, Total Revenues , Total PPR ,,
, District , Sch , MSID , School , Type , Year , PreK , Total Enrollment , Audit , Medicaid , Federal Start-up Grant , IDEA , Title I , Dissemination Grant , National School Lunch/Breakfast/Commodities , FEMA , Federal Sources , ERATE , Safe & Drug Free Schools , GEAR-UP , Operating Grants , National Science Foundation , Other , Implementation Grant , Supplemental Instruction , Adult-Ed , Federal Total , A+ Funds , Transportation , FLSchool Recognition Award , Discretionary Lottery Funds , SAI Category , CSP - Instructional Materials , Class Reduction , State Recognition Program , Teacher Lead , Other State Revenue , Capital Outlay , Early Childhood Ed. , Excellent Teaching Program , Advanced Placement , Learn and Serve Grant , Teacher Training , Reading First Grant , VPK State Funded (Pre-K Program) , Early Readiness , Reading Coach/Math Coach , Library Media Materials/Science Lab , Adults w Disabilities , Workforce Development , A+ Bonus , National Board , Micro Society , Community coordinated care , State After-school , Food services , State FEFP revenues , State Revenue Total , FEFP , Sparsity Supplement (lab schools only) , Lab school discretionary contribution , Declining Enrollment Supplement , Discretionary Tax Equal Allocation/Compression , Safe Schools , Reading Program , Supp. Acad. Instrc. , ESE Guar. Allocation , Merit Program (STAR) , Other FEFP (WFTE Share) , Total FEFP Only ," ""State Sources"", District funding, not defined or FTE "," Federal, State, and Local Revenue "," ""special revenue fund"" ", Other State appropriations , Grants and program Income , Local Sources ," ""Contributions and Other"" / Operating grants ", Grants , Capital funds other than grants , Summer Program , Withheld Admin Fee , PreK , Preschool , Total Indeterminate Revenue , Discretionary Millage , Local FEFP revenues for schools showing discretionary mils , Local FEFP revenues for schools w/ no itemized discretionary mils ," Approximate Local Revenues from combined ""state"" or ""district"" total. ", County Impact Fees , Urban teacher grant , District school taxes , Voted Operating Millage , Total Local Revenue , Contributions / Contributions & Other , In-House Transportation , Interest Income / Investment Earnings , Facility Rental , Before & After Care Fees , Student Fees / Special Programs Revenue , Other , Sponsorship fee , Fundraising , Miscellaneous , Food Service ," In-Kind Contributions (Rent, Services etc.) ", Bad Debt Recovery , Sale of Equipment , Summer School fees , Private Grants , Charges for Services , PreK Tuition , Total Other Revenues ,,,,
 01 , Alachua , 0950 , 010950 , THE ONE ROOM SCHOOL HOUSE PROJ , 1.00 , 06-07 ,, 102.00 , Yes ,,,," $33,699 ",,,,,,,,,,,,,," $33,699 ",,,,,,,,,," $3,818 "," $69,408 ",,,,,,,,,,,,,,,,,,," $384,735 "," $457,961 ",,,,,,,,,,,, $-   ," $570,022 ",,,,,,,,,,,,, $-   ,,,," $185,287 ",,,,," $185,287 "," $117,814 ",," $11,027 ",," $72,707 ",," $15,274 ",,,,," $51,691 ",,,,,,," $268,513 "," $945,460 "," $9,269 ",,
 01 , Alachua , 0951 , 010951 , MICANOPY AREA COOPERATIVE SCHL , 1.00 , 06-07 ,, 120.00 , Yes ,,,," $20,116 ",," $32,229 ",,,,,,,,,,,," $52,345 ",,,,,,,,,," $1,581 "," $128,197 ",,,,,,,,,,,,,,,,,,," $451,587 "," $581,365 ",,,,,,,,,,,, $-   ," $669,070 ",,,,," $21,328 ",,,,,,,," $21,328 ",,,," $217,483 ",,,,," $217,483 "," $6,738 ",,,,,,,,,,,,,,,," $8,630 ",," $15,368 "," $887,889 "," $7,399 ",,
 01 , Alachua , 0953 , 010953 , CARING & SHARING LEARNING SCH , 1.00 , 06-07 ,, 107.48 , Yes ,,,," $86,297 ",,,,,,,,,,,,,," $86,297 ",,,,,,,,,," $85,154 "," $108,913 ",,,,,,,,,,,,,,,,,,," $401,607 "," $595,674 ",,,,,,,,,,,, $-   ," $595,020 ",,,,,,,,,,,,, $-   ,,,," $193,413 ",,,,," $193,413 ",,,,,,," $16,330 ",,,,,,,,,,,," $16,330 "," $891,714 "," $8,297 ",,
 01 , Alachua , 0954 , 010954 , LOVE TO LEARN EDUCATIONAL CENT , 1.00 , 06-07 ,, 67.50 , Yes ,,,," $56,243 ",,,,,,,,,,,,,," $56,243 ",,,,,,,,,,," $102,152 ",,,,,,,,,,,,,,,,,,," $263,712 "," $365,864 ",,,,,,,,,,,, $-   ," $390,715 ",,,,,,,,,,,,, $-   ,,,," $127,003 ",,,,," $127,003 ",,, $963 ,,,,,,," $10,288 ",,,,,,,,," $11,251 "," $560,361 "," $8,302 ",,
 01 , Alachua , 0955 , 010955 , EINSTEIN MONTESSORI SCHOOL , 4.00 , 06-07 ,, 102.04 , Yes ,,,," $17,687 ",,,,,, $465 ,,,,,,,," $18,152 ",,,,,,,,,," $1,581 "," $73,912 ",,,,,,,,,,,,,,,,,,," $583,232 "," $658,725 ",,,,,,,,,,,, $-   ," $864,116 ",,,,,,,,,,,,, $-   ,,,," $280,884 ",,,,," $280,884 ",,," $26,289 "," $5,782 "," $29,663 ", $545 ," $4,911 ",," $21,510 ",,,,,,,,,," $88,700 "," $1,046,461 "," $10,255 ",,
 01 , Alachua , 0956 , 010956 , EXPRESSIONS LEARNING ARTS ACAD , 1.00 , 06-07 ,, 82.00 , Yes ,,,," $17,596 ",,,,,,,,,,,,,," $17,596 ",,,,,,,,,," $2,345 "," $56,479 ",,,,,,,,,,,,,,,,,,," $311,334 "," $370,158 ",,,,,,,,,,,, $-   ," $461,272 ",,,,,,,,,,,,, $-   ,,,," $149,938 ",,,,," $149,938 ",,," $2,283 ",,,,,," $43,986 ",,,,,,,,,," $46,269 "," $583,961 "," $7,121 ",,
 01 , Alachua , 0957 , 010957 , ALACHUA LEARNING CENTER , 4.00 , 06-07 ,, 133.50 , Yes ,,,," $44,585 "," $8,000 "," $44,556 ",,," $48,695 ",,,,,,,,," $145,836 ",,,,,,,," $10,750 ",," $4,141 "," $95,633 ",,,,,,,,,,,,,,,,,,," $516,203 "," $626,727 ",,,,,,,,,,,, $-   ," $764,805 ",,,,,,,,,,,,, $-   ,,,," $248,602 ",,,,," $248,602 ",,,,,,," $12,601 ",,,," $11,042 ",,,,,,,," $23,643 "," $1,044,808 "," $7,826 ",,
 01 , Alachua , 0958 , 010958 , GENESIS PREPARATORY SCHOOL of Ganinesville , 1.00 , 06-07 ,, 70.47 , Yes ,,,," $39,348 ",,,,,,,,,,,,,," $39,348 ",,,,,,,,,," $2,054 "," $48,313 ",,,,,,,,,,,,,,,,,,," $263,872 "," $314,239 ",,,,,,,,,,,, $-   ," $390,953 ",,,,,,,,,,,,, $-   ,,,," $127,081 ",,,,," $127,081 ",,," $8,652 ",," $19,506 ",," $2,643 ",,,," $4,314 ",,,,,,,," $35,115 "," $515,783 "," $7,319 ",,
 01 , Alachua , 0961 , 010961 ," MICANOPY MIDDLE SCHOOL, INC. ", 2.00 , 06-07 ,, 67.00 , Yes ,,,," $18,811 ",,,,,,,,,,,,,," $18,811 ",,,,,,,,,,," $50,628 ",,,,,,,,,,,,,,,,,,," $250,799 "," $301,427 ",,,,,,,,,,,, $-   ," $371,584 ",,,,,,,,,,,,, $-   ,,,," $120,785 ",,,,," $120,785 "," $6,579 ",, $32 ,,,,,,,,,,,,,," $9,696 ",," $16,307 "," $457,330 "," $6,826 ",,
 01 , Alachua , 0962 , 010962 , MARTIN LUTHER KING ACADEMY , 1.00 , 06-07 ,, 45.50 , Yes ,,,," $19,530 ",,,,,,,,,,,,,," $19,530 ",,,,,,,,,," $1,191 "," $31,301 ",,,,,,,,,,,,,,,,,,," $171,013 "," $203,505 ",,,,,,,,,,,, $-   ," $253,372 ",,,,,,,,,,,,, $-   ,,,," $82,359 ",,,,," $82,359 "," $9,394 ",,,,,,,,,,,,,,,,,," $9,394 "," $314,788 "," $6,918 ",,
 01 , Alachua , 0971 , 010971 , HOGGETOWNE MIDDLE SCHOOL , 2.00 , 06-07 ,, 116.00 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,," $6,707 "," $88,143 ",,,,,,,,,,,,,,,,,,," $443,896 "," $538,746 ",,,,,,,,,,,, $-   ," $657,675 ",,,,,," $7,432 ",,,,,,," $7,432 ",,,," $213,779 ",,,,," $213,779 ",,,,," $14,221 ",," $14,329 ",,,,,,,,,,,," $28,550 "," $788,507 "," $6,797 ",,
 01 , Alachua , 0981 , 010981 , HEALTHY LEARNING ACADEMY CHART , 1.00 , 06-07 ,, 23.50 , Yes ,,,,,,,,,,,,,,,,,, $-   ,,,,,,,,,, $527 ,,,,,,,,,,,,,,,,,,,," $85,323 "," $85,850 ",,,,,,,,,,,, $-   ," $126,415 ",,,,,,,,,,,,, $-   ,,,," $41,092 ",,,,," $41,092 ",,,,,,," $9,881 ",,,,,,,,,,,," $9,881 "," $136,823 "," $5,822 ",,
