"Statewide District Revenues - Includes General Fund, Special Revenue Funds, Debt Service and Capital Projects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Federal Revenues , Total Federal Revenues ,Federal Impact,ROTC,Misc. Fed Direct,Medicaid,National Forest Funds,Fed through Local,Misc Fed through State,Community Action Programs,Vocational Education,Workforce Investment,Eisenhower math & science,Drug Free Schools,IDEA,Title I,Vocational Rehab,All federal food programs,Title V, Federal through Local ,Cuban and Haitian Refugee,Emergency Immigrant Ed Program,Misc. Federal through State,Federal Indirect Cost Rate,,,,,,,,,,,
," $2,559,057,339.52 "," $11,942,820.84 "," $17,625,573.99 "," $139,153,237.93 "," $58,875,724.24 "," $1,125,611.86 "," $2,144,061.61 "," $14,609,561.61 "," $125,482.45 "," $41,225,873.16 "," $3,401,672.76 "," $105,010,760.51 "," $11,937,024.87 "," $564,232,738.64 "," $670,614,922.82 "," $19,677.05 "," $586,639,863.82 "," $11,833,377.43 "," $67,162,653.50 "," $4,663,370.91 "," $28,702,647.95 "," $172,034,936.09 "," $45,975,745.48 ",,,,,,,,,,,
 Federal Charter revenues Deductions ," $30,162,161.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Statewide district Federal revenues ," $2,528,895,178.52 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 State Revenues , Total State Revenues , FEFP , Workforce Development , CO&DS Admin Withheld , Teacher's Lead , Diagnostic & Learning Centers , Instructional Materials , Racing Commission Funds , State Forest Funds , State License Tax , District Disc Lottery Funds , Pupil Transportation , Class Size Reduction , School recognition Funds , Excellent Teaching Program , Voluntary PreK , Preschool Projects , Reading Programs , Full Service Schools , Misc. State Revenue , School breakfast  & Lunch Supplement , Other Misc. State Revenue , Debt Service , Co&DS Distributed , Interest on Undistributed Co&DS , PECO (Capital Outlay) , Classrooms First , Class Size Reduction Capital Funds , Charter School Capital Outlay ,,, Debt service , capital ,
," $11,551,329,828.30 "," $6,264,740,513.56 "," $417,634,122.00 "," $1,571,613.16 "," $44,943,863.00 "," $362,285.00 "," $263,186,389.00 "," $14,201,681.40 "," $653,491.05 "," $9,503,358.48 "," $105,376,953.00 "," $483,034,399.00 "," $2,094,892,835.00 "," $157,141,248.00 "," $64,675,331.87 "," $74,733,740.65 "," $5,995,707.15 "," $314,860.99 "," $1,579,412.34 "," $107,502,815.15 "," $16,502,878.17 "," $25,226,071.29 "," $86,822,166.92 "," $17,393,938.37 "," $2,561,245.30 "," $443,430,275.45 "," $1,046,546.00 "," $835,969,050.00 "," $10,333,037.00 ",,," $6,680,079.27 "," $1,319,740,524.00 ",
 PreK Deductions ," $80,729,447.80 ",,,,,,,,,,,,,,,,,,,,,,,,, $175.68 ,,,,,, $2.65 , $522.87 , $525.52 
 State Charter Revenue deductions ," $397,524,128.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total Statewide District State Revenues ," $11,073,076,251.63 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
