User Inputs for Plan Parameters,,,,,,,,,,,,
Use Integrated Medical and Drug Deductible?,,HSA/HRA Options,,,Narrow Network Options,,,,,,,
Apply Inpatient Copay per Day?,,,HSA/HRA Employer Contribution?,,,Blended Network/POS Plan?,,,,,,
Apply Skilled Nursing Facility Copay per Day?,,Annual Contribution Amount:,,,1st Tier Utilization:,,,,,,,
Use Separate OOP Maximum for Medical and Drug Spending?,,,,,2nd Tier Utilization:,,,,,,,
Grandfathered Plan?,,,,,,,,,,,,
,,,,,,,,,Platinum,,,
,Tier 1 Plan Benefit Design,,,,Tier 2 Plan Benefit Design,,,,Gold,,,
,Medical,Drug,Combined,,Medical,Drug,Combined,,Silver,,,
Deductible ($),,,,,,,,,Bronze,,,
"Coinsurance (%, Insurer's Cost Share)",,,,,,,,,1,,,
OOP Maximum ($),,,,,,,,,,,,
OOP Maximum if Separate ($),,,,,,,,,,,,
,,,,,,,,,,,,
Click Here for Important Instructions,Tier 1,,,,Tier 2,,,,,Service Not Covered?,,
Type of Benefit,Subject to Deductible?,Subject to Coinsurance?,"Coinsurance, if different","Copay, if separate",Subject to Deductible?,Subject to Coinsurance?,"Coinsurance, if different","Copay, if separate",,Tier 1,Tier 2,
Medical,,,,,,,,,,,,
Emergency Room Services,,,,,,,,,,,,
All Inpatient Hospital Services (inc. MHSA),,,,,,,,,,,,
"Primary Care Visit to Treat an Injury or Illness (exc. Well Baby, Preventive, and X-rays)",,,,,,,,,,,,
Specialist Visit,,,,,,,,,,,,
Mental/Behavioral Health and Substance Abuse Disorder Outpatient Services,,,,,,,,,,,,
,,,,,,,,,,,,
"Imaging (CT/PET Scans, MRIs)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Rehabilitative Speech Therapy,,,,,,,,,,,,
Rehabilitative Occupational and Rehabilitative Physical Therapy,,,,,,,,,,,,
Rehabilitative Occupational and Rehabilitative Physical Therapy,,,,,,,,,,,,
Non-Preventive Well Baby Visits and Care,,,,,,,,,,,,
Preventive Care/Screening/Immunization,,,100%,$0.00,,,100%,$0.00,,,,
Laboratory Outpatient and Professional Services,,,,,,,,,,,,
X-rays and Diagnostic Imaging,,,,,,,,,,,,
Skilled Nursing Facility,,,,,,,,,,,,
"Outpatient Facility Fee (e.g.,  Ambulatory Surgery Center)",,,,,,,,,,,,
Outpatient Surgery Physician/Surgical Services,,,,,,,,,,,,
Drugs,,,,,,,,,,,,
Generics,,,,,,,,,,,,
Preferred Brand Drugs,,,,,,,,,,,,
Non-Preferred Brand Drugs,,,,,,,,,,,,
Specialty High-Cost Drugs,,,,,,,,,,,,
Chronic Maintenance Drugs,,,,,,,,,,,,
Options for Additional Benefit Design Limits:,,,,,,,,,,,,
Do Not Allow Copays to Exceed Service Unit Cost?,,,,,,,,,,,,
Set a Maximum on Specialty Rx Coinsurance Payments?,,,,,,,,,,,,
Specialty Rx Coinsurance Maximum:,,,,,,,,,,,,
Set a Maximum Number of Days for Charging an IP Copay?,,,,,,,,,,,,
# Days (1-10):,,,,,,,,,,,,
Begin Primary Care Cost-Sharing After a Set Number of Visits?,,,,,,,,,,,,
# Visits (1-10):,,,,,,,,,,,,
Begin Primary Care Deductible/Coinsurance After a Set Number of Copays?,,,,,,,,,,,,
# Copays (1-10):,,,,,,,,,,,,
Output,,,,,,,,,,,,
,,,,,,,,,,,,
Status/Error Messages:,,,,,,,,,,,,
Minimum Value:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
