"All Employer-Insured Plans, Medical Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Abuse,Mental Health and Sub. Abuse Freq.,-,-,Imaging,Avg. Imaging Freq,-,-,-,-,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,-,-,Well Baby (Combined),Avg. Well Baby Freq (Combined),-,-,-,-,Well Baby (Unclass.),Avg. Well Baby Freq (Unclass.),Preventive (Combined),Avg. Prev. Freq (Combined),-,-,-,-,-,-,Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Sub. Abuse - OP Facility,Avg. Sub. Abuse - OP Facility Freq,Sub. Abuse - OP Prof.,Avg. Sub. Abuse - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,-,-,-,-,-,-,-,-,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,-,-,-,-,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,Unclassified - OP Prof,Avg. Unclass. - OP Prof Freq,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.
$0,"163,810",$0.00,$0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.00,$0.00,0,$0.00,0.000,0.000,0,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00
$100,"34,332",$86.44,$70.35,$0.01,0.000,$0.00,0.000,$5.72,0.109,$2.43,0.061,$0.00,0.000,.,0.00,$0.07,0.001,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$2.93,0.055,.,0.00,.,0.00,.,0.00,$0.14,0.011,$0.14,0.004,$0.07,0.001,$0.01,0.000,$0.05,0.00,$0.00,0,$0.06,0.002,0.000,0,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.07,0.001,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.10,0.003,$0.00,0.000,$0.03,0.001,$0.00,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$0.06,0.01,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00
$200,"67,893",$168.50,$151.01,$0.11,0.001,$0.00,0.000,$20.20,0.314,$9.87,0.155,$0.02,0.000,.,0.00,$0.21,0.003,.,0.00,.,0.00,$0.00,0.000,$0.01,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$14.92,0.165,.,0.00,.,0.00,.,0.00,$0.49,0.034,$0.97,0.013,$0.53,0.006,$0.32,0.002,$0.12,0.00,$0.00,0,$0.26,0.004,0.000,0,$0.01,0.000,$0.00,0.000,.,0.00,.,0.00,$0.20,0.002,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.33,0.008,$0.00,0.000,$0.11,0.002,$0.01,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$1.90,0.06,$0.10,0.01,$0.02,0.01,$0.01,0.01,$0.01,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00
$300,"65,588",$245.28,$249.44,$0.25,0.002,$0.00,0.000,$33.15,0.515,$17.11,0.246,$0.04,0.000,.,0.00,$0.65,0.006,.,0.00,.,0.00,$0.00,0.000,$0.02,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$32.26,0.297,.,0.00,.,0.00,.,0.00,$1.05,0.069,$2.36,0.024,$1.33,0.011,$0.80,0.005,$0.23,0.01,$0.00,0,$0.55,0.006,0.000,0,$0.02,0.000,$0.00,0.000,.,0.00,.,0.00,$0.62,0.006,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.01,0.000,$0.00,0.000,.,0.00,.,0.00,$0.76,0.014,$0.00,0.000,$0.27,0.003,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$6.37,0.15,$1.08,0.04,$0.13,0.01,$0.03,0.01,$0.02,0.01,$0.01,0.00,$0.01,0.00,$0.01,0.00,$0.01,0.00,$0.00,0.00
$400,"60,988",$317.05,$349.03,$0.45,0.003,$0.00,0.000,$45.66,0.700,$24.59,0.338,$0.06,0.001,.,0.00,$1.28,0.012,.,0.00,.,0.00,$0.00,0.000,$0.05,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$50.14,0.420,.,0.00,.,0.00,.,0.00,$1.82,0.106,$3.78,0.035,$2.20,0.017,$1.22,0.007,$0.35,0.01,$0.00,0,$0.92,0.009,0.000,0,$0.03,0.000,$0.00,0.000,.,0.00,.,0.00,$1.23,0.011,$0.01,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.03,0.000,$0.00,0.000,.,0.00,.,0.00,$1.34,0.021,$0.00,0.000,$0.48,0.004,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$11.93,0.27,$3.20,0.08,$0.66,0.03,$0.13,0.01,$0.05,0.01,$0.03,0.01,$0.02,0.00,$0.01,0.00,$0.01,0.00,$0.01,0.00
$500,"54,735",$384.26,$449.22,$0.70,0.004,$0.00,0.000,$57.26,0.861,$32.18,0.426,$0.08,0.001,.,0.00,$2.11,0.018,.,0.00,.,0.00,$0.00,0.000,$0.07,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$67.00,0.528,.,0.00,.,0.00,.,0.00,$2.69,0.141,$5.11,0.045,$2.99,0.022,$1.62,0.010,$0.49,0.01,$0.00,0,$1.36,0.012,0.000,0,$0.04,0.000,$0.00,0.000,.,0.00,.,0.00,$2.02,0.017,$0.01,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.04,0.000,$0.00,0.000,.,0.00,.,0.00,$2.05,0.028,$0.01,0.000,$0.78,0.006,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$17.70,0.38,$6.08,0.14,$1.73,0.05,$0.43,0.02,$0.12,0.01,$0.06,0.01,$0.04,0.01,$0.03,0.00,$0.02,0.00,$0.01,0.00
$600,"49,721",$447.32,$549.01,$1.01,0.005,$0.00,0.000,$67.88,1.003,$40.46,0.518,$0.11,0.001,.,0.00,$3.20,0.025,.,0.00,.,0.00,$0.01,0.000,$0.09,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$82.54,0.624,.,0.00,.,0.00,.,0.00,$3.65,0.173,$6.46,0.055,$3.83,0.027,$1.99,0.011,$0.64,0.02,$0.00,0,$1.87,0.016,0.000,0,$0.04,0.000,$0.00,0.000,.,0.00,.,0.00,$3.06,0.025,$0.02,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.01,0.000,$0.00,0.000,$0.05,0.000,$0.00,0.000,.,0.00,.,0.00,$2.80,0.035,$0.01,0.000,$1.13,0.008,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$23.35,0.48,$9.33,0.21,$3.21,0.08,$0.98,0.03,$0.30,0.02,$0.12,0.01,$0.07,0.01,$0.05,0.01,$0.04,0.00,$0.02,0.00
$700,"44,528",$506.63,$648.96,$1.45,0.007,$0.00,0.000,$77.71,1.131,$48.73,0.605,$0.14,0.001,.,0.00,$4.41,0.033,.,0.00,.,0.00,$0.01,0.000,$0.13,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$96.78,0.709,.,0.00,.,0.00,.,0.00,$4.65,0.204,$7.81,0.066,$4.68,0.032,$2.35,0.013,$0.79,0.02,$0.00,0,$2.49,0.019,0.000,0,$0.07,0.001,$0.01,0.000,.,0.00,.,0.00,$4.23,0.032,$0.02,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.01,0.000,$0.00,0.000,$0.07,0.001,$0.00,0.000,.,0.00,.,0.00,$3.61,0.042,$0.01,0.000,$1.57,0.010,$0.03,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$28.81,0.58,$12.82,0.27,$5.08,0.12,$1.82,0.05,$0.64,0.03,$0.25,0.02,$0.13,0.01,$0.08,0.01,$0.06,0.01,$0.04,0.00
$800,"40,026",$562.56,$749.04,$1.92,0.009,$0.00,0.000,$86.81,1.244,$57.43,0.691,$0.18,0.002,.,0.00,$5.76,0.041,.,0.00,.,0.00,$0.02,0.000,$0.18,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$109.33,0.784,.,0.00,.,0.00,.,0.00,$5.74,0.232,$9.12,0.075,$5.51,0.037,$2.67,0.015,$0.93,0.02,$0.00,0,$3.19,0.023,0.000,0,$0.08,0.001,$0.01,0.000,.,0.00,.,0.00,$5.55,0.040,$0.03,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.02,0.000,$0.00,0.000,$0.11,0.001,$0.00,0.000,.,0.00,.,0.00,$4.49,0.049,$0.02,0.000,$2.05,0.012,$0.04,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$33.98,0.67,$16.28,0.33,$7.09,0.16,$2.84,0.07,$1.10,0.04,$0.45,0.02,$0.22,0.01,$0.13,0.01,$0.09,0.01,$0.06,0.00
$900,"34,861",$615.49,$848.84,$2.51,0.011,$0.01,0.000,$94.91,1.340,$66.15,0.774,$0.21,0.002,.,0.00,$7.09,0.049,.,0.00,.,0.00,$0.03,0.000,$0.24,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$120.21,0.848,.,0.00,.,0.00,.,0.00,$6.83,0.256,$10.35,0.084,$6.32,0.041,$2.97,0.016,$1.07,0.03,$0.00,0,$3.89,0.027,0.000,0,$0.09,0.001,$0.01,0.000,.,0.00,.,0.00,$6.84,0.048,$0.03,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.03,0.000,$0.00,0.000,$0.15,0.001,$0.00,0.000,.,0.00,.,0.00,$5.36,0.055,$0.02,0.000,$2.54,0.015,$0.04,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$38.67,0.75,$19.55,0.39,$9.10,0.19,$3.95,0.10,$1.65,0.05,$0.71,0.03,$0.33,0.02,$0.18,0.01,$0.12,0.01,$0.08,0.01
