"All Employer-Insured Plans, Drug Claims Only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance Prescriptions,Unclassified,Avg. Unclassified Prescriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$0,"296,284 ",$0.00,$0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.000,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$100,"230,448 ",$65.13,$39.26,$14.47,0.98,$1.73,0.04,$0.59,0.01,$0.00,0.00,$4.26,0.346,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$200,"104,001 ",$118.59,$146.12,$26.05,1.47,$8.41,0.11,$3.02,0.03,$0.02,0.00,$11.42,0.717,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$300,"67,121 ",$165.38,$246.86,$35.79,1.83,$15.15,0.18,$5.95,0.06,$0.07,0.00,$19.58,1.032,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$400,"51,003 ",$207.56,$348.13,$45.00,2.14,$21.86,0.24,$9.09,0.08,$0.13,0.00,$28.86,1.320,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$500,"41,319 ",$246.09,$448.57,$53.87,2.41,$28.43,0.30,$12.37,0.11,$0.23,0.00,$38.36,1.572,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$600,"32,593 ",$281.67,$548.01,$61.16,2.63,$34.88,0.35,$15.75,0.13,$0.35,0.00,$47.18,1.775,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$700,"27,517 ",$314.88,$648.71,$67.44,2.81,$41.64,0.41,$19.26,0.15,$0.51,0.00,$56.12,1.954,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$800,"24,200 ",$346.03,$748.64,$73.19,2.97,$48.51,0.46,$22.93,0.17,$0.75,0.00,$65.43,2.117,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
$900,"22,485 ",$375.33,$849.41,$78.51,3.11,$55.82,0.52,$27.01,0.20,$1.00,0.00,$75.02,2.267,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,000","20,460 ",$402.94,$949.50,$83.49,3.24,$63.09,0.58,$31.27,0.22,$1.33,0.00,$85.16,2.409,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,100","18,687 ",$428.98,"$1,048.71",$88.12,3.36,$70.56,0.63,$35.52,0.25,$1.61,0.00,$95.56,2.546,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,200","16,416 ",$453.64,"$1,148.79",$92.46,3.46,$77.51,0.69,$39.63,0.27,$1.90,0.01,$106.01,2.675,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,300","15,148 ",$477.05,"$1,248.89",$96.63,3.56,$84.24,0.73,$43.83,0.29,$2.24,0.01,$116.22,2.795,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,400","13,916 ",$499.33,"$1,349.29",$100.36,3.65,$91.04,0.78,$48.12,0.31,$2.59,0.01,$126.26,2.907,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,500","12,542 ",$520.57,"$1,449.57",$103.93,3.73,$97.63,0.82,$52.19,0.33,$3.01,0.01,$136.24,3.013,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,600","11,699 ",$540.85,"$1,549.29",$107.48,3.82,$104.07,0.86,$56.18,0.35,$3.47,0.01,$145.98,3.113,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,700","10,887 ",$560.25,"$1,649.09",$110.87,3.89,$110.26,0.90,$60.20,0.37,$3.89,0.01,$155.51,3.209,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,800","10,617 ",$578.81,"$1,750.00",$114.26,3.96,$116.60,0.94,$64.37,0.38,$4.36,0.01,$165.16,3.301,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$1,900","9,818 ",$596.56,"$1,849.12",$117.48,4.03,$122.54,0.97,$68.63,0.40,$4.82,0.01,$174.64,3.390,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,000","9,127 ",$613.59,"$1,949.37",$120.55,4.10,$128.48,1.01,$72.69,0.42,$5.30,0.01,$184.15,3.477,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,100","8,860 ",$629.90,"$2,049.54",$123.74,4.17,$134.60,1.04,$76.70,0.43,$5.82,0.01,$193.26,3.560,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,200","8,088 ",$645.56,"$2,149.32",$126.59,4.23,$140.58,1.08,$80.39,0.45,$6.35,0.01,$202.28,3.639,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,300","7,556 ",$660.61,"$2,249.10",$129.37,4.29,$146.11,1.11,$84.14,0.46,$6.84,0.01,$210.70,3.714,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"$2,400","7,247 ",$675.09,"$2,349.68",$132.20,4.34,$151.58,1.14,$87.84,0.48,$7.47,0.02,$218.91,3.786,216682668%,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
