"All Employer-Insured Plans, All Claims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marketscan Continuance Table, 2009 Continuously Enrolled Beneficiaries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Up To,Number of Enrollees,Avg. Cost per Enrollee (Max'd),Avg. Cost per Enrollee (Bucket),ER,Avg. ER Freq,IP,Avg. IP Freq,Primary Care,Avg. Primary Care Freq,Specialist,Avg. Specialist Freq,Mental Health and Sub. Abuse,Mental Health and Sub. Abuse Freq.,-,-,Imaging,Avg. Imaging Freq,-,-,-,-,Speech Therapy,Avg. Speech Therapy Freq,Occ. + Physical Therapy,Occ. + Physical Therapy Freq,-,-,Well Baby (Combined),Avg. Well Baby Freq (Combined),-,-,-,-,Well Baby (Unclass.),Avg. Well Baby Freq (Unclass.),Preventive (Combined),Avg. Prev. Freq (Combined),-,-,-,-,-,-,Laboratory,Avg. Laboratory Freq,X-rays (Combined),Avg. X-ray Freq (Combined),X-rays (Specialist),Avg. X-rays Freq (Specialist),X-rays (Primary),Avg. X-rays Freq (Primary),X-rays (Unclass.),Avg. X-rays Freq (Unclass.),SNF,Avg. SNF Freq.,Unclassified,Avg. Unclassified Freq,Avg. IP Days,Avg. SNF Days,Generics,Avg. Generics Prescriptions,Preferred Brand,Avg. Pref. Brand Prescriptions,Non-Preferred Brand,Avg. Non-Pref. Brand Prescriptions,Specialty High-Cost,Avg. Spec. Prescriptions,Chronic Maintenance,Avg. Chronic Maintenance,Unclassified,Avg. Unclassified Prescriptions,Mental Health - OP Facility,Avg. Mental Health - OP Facility Freq,Mental Health - OP Prof.,Avg. Mental Health - OP Prof. Freq,Sub. Abuse - OP Facility,Avg. Sub. Abuse - OP Facility Freq,Sub. Abuse - OP Prof.,Avg. Sub. Abuse - OP Prof. Freq,Imaging - OP Facility,Avg. Imaging - OP Facility Freq,Imaging - OP Prof.,Avg. Imaging - OP Prof. Freq,-,-,-,-,-,-,-,-,Speech Therapy - OP Facility,Avg. Speech Therapy - OP Facility Freq,Speech Therapy - OP Prof.,Avg. Speech Therapy - OP Prof. Freq,Occupational Therapy - OP Facility,Avg. Occ. Therapy - OP Facility Freq,Occupational Therapy - OP Prof.,Avg. Occ. Therapy - OP Prof. Freq,-,-,-,-,Laboratory - OP Facility,Avg. Lab - OP Facility Freq,Laboratory - OP Prof.,Avg. Lab - OP Prof. Freq,Unclassified - OP Facility,Avg. Unclass. - OP Facility Freq,Unclassified - OP Prof,Avg. Unclass. - OP Prof Freq,IP Max Days - 1,IP Max Days - 2,IP Max Days - 3,IP Max Days - 4,IP Max Days - 5,IP Max Days - 6,IP Max Days - 7,IP Max Days - 8,IP Max Days - 9,IP Max Days - 10,Primary Care >1 Visit,Primary Care >1 Visit Freq.,Primary Care >2 Visits,Primary Care >2 Visits Freq.,Primary Care >3 Visits,Primary Care >3 Visits Freq.,Primary Care >4 Visits,Primary Care >4 Visits Freq.,Primary Care >5 Visits,Primary Care >5 Visits Freq.,Primary Care >6 Visits,Primary Care >6 Visits Freq.,Primary Care >7 Visits,Primary Care >7 Visits Freq.,Primary Care >8 Visits,Primary Care >8 Visits Freq.,Primary Care >9 Visits,Primary Care >9 Visits Freq.,Primary Care >10 Visits,Primary Care >10 Visits Freq.,,,,,,,,,,
$0,"120,841",$0.00,$0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,0%,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.00,$0.00,0,$0.00,0.000,0.000,0,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,,,,,,,,,,
$100,"35,742",$89.05,$48.90,$0.01,0.000,$0.00,0.000,$2.87,0.066,$1.45,0.042,$0.00,0.000,0%,0.00,$0.05,0.001,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$2.01,0.038,.,0.00,.,0.00,.,0.00,$0.08,0.006,$0.10,0.003,$0.06,0.001,$0.01,0.000,$0.04,0.00,$0.00,0,$0.03,0.001,0.000,0,$3.39,0.268,$0.43,0.009,$0.14,0.002,$0.00,0.000,$0.00,0.000,.,0.00,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.05,0.001,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.05,0.002,$0.00,0.000,$0.02,0.000,$0.00,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$0.04,0.01,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,,,,,,,,,,
$200,"48,887",$174.91,$150.57,$0.07,0.001,$0.00,0.000,$13.30,0.228,$6.86,0.112,$0.01,0.000,0%,0.00,$0.14,0.002,.,0.00,.,0.00,$0.00,0.000,$0.01,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$12.04,0.126,.,0.00,.,0.00,.,0.00,$0.31,0.020,$0.78,0.010,$0.45,0.005,$0.23,0.002,$0.10,0.00,$0.00,0,$0.16,0.002,0.000,0,$6.88,0.438,$2.00,0.027,$0.75,0.008,$0.01,0.000,$0.00,0.000,.,0.00,$0.01,0.000,$0.00,0.000,.,0.00,.,0.00,$0.14,0.002,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.00,0.000,$0.00,0.000,.,0.00,.,0.00,$0.21,0.005,$0.00,0.000,$0.08,0.001,$0.01,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$0.83,0.03,$0.04,0.01,$0.01,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,,,,,,,,,,
$300,"46,926",$256.98,$249.16,$0.19,0.001,$0.00,0.000,$23.29,0.386,$12.52,0.182,$0.03,0.000,0%,0.00,$0.45,0.004,.,0.00,.,0.00,$0.00,0.000,$0.02,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$25.83,0.225,.,0.00,.,0.00,.,0.00,$0.67,0.042,$1.92,0.019,$1.16,0.010,$0.58,0.004,$0.18,0.01,$0.00,0,$0.39,0.005,0.000,0,$10.55,0.595,$4.07,0.048,$1.58,0.015,$0.02,0.000,$0.00,0.000,.,0.00,$0.02,0.000,$0.00,0.000,.,0.00,.,0.00,$0.43,0.004,$0.00,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.01,0.000,$0.00,0.000,.,0.00,.,0.00,$0.49,0.009,$0.00,0.000,$0.19,0.002,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$3.40,0.09,$0.44,0.02,$0.04,0.01,$0.01,0.00,$0.01,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,,,,,,,,,,
$400,"43,529",$335.49,$349.52,$0.36,0.002,$0.00,0.000,$32.96,0.532,$18.15,0.249,$0.04,0.000,0%,0.00,$0.86,0.008,.,0.00,.,0.00,$0.00,0.000,$0.05,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$40.18,0.317,.,0.00,.,0.00,.,0.00,$1.18,0.065,$3.14,0.028,$1.91,0.014,$0.95,0.006,$0.29,0.01,$0.00,0,$0.67,0.007,0.000,0,$14.23,0.742,$6.48,0.072,$2.64,0.024,$0.04,0.000,$0.00,0.000,.,0.00,$0.02,0.000,$0.00,0.000,.,0.00,.,0.00,$0.83,0.007,$0.01,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.02,0.000,$0.00,0.000,.,0.00,.,0.00,$0.87,0.014,$0.00,0.000,$0.38,0.003,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$6.98,0.17,$1.48,0.05,$0.24,0.01,$0.04,0.01,$0.01,0.00,$0.01,0.00,$0.01,0.00,$0.00,0.00,$0.00,0.00,$0.00,0.00,,,,,,,,,,
$500,"40,374",$410.68,$449.13,$0.59,0.003,$0.00,0.000,$42.26,0.665,$23.94,0.315,$0.05,0.000,0%,0.00,$1.41,0.012,.,0.00,.,0.00,$0.00,0.000,$0.06,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$54.01,0.399,.,0.00,.,0.00,.,0.00,$1.83,0.089,$4.26,0.037,$2.61,0.019,$1.25,0.007,$0.40,0.01,$0.00,0,$1.04,0.009,0.000,0,$18.07,0.887,$9.00,0.095,$3.86,0.033,$0.06,0.000,$0.00,0.000,.,0.00,$0.03,0.000,$0.00,0.000,.,0.00,.,0.00,$1.35,0.011,$0.01,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.00,0.000,$0.00,0.000,$0.04,0.000,$0.00,0.000,.,0.00,.,0.00,$1.38,0.020,$0.00,0.000,$0.64,0.005,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$11.03,0.25,$3.09,0.08,$0.69,0.02,$0.13,0.01,$0.03,0.01,$0.02,0.00,$0.01,0.00,$0.01,0.00,$0.01,0.00,$0.00,0.00,,,,,,,,,,
$600,"37,137",$482.80,$549.18,$0.87,0.005,$0.00,0.000,$50.95,0.784,$30.15,0.383,$0.06,0.001,0%,0.00,$2.08,0.016,.,0.00,.,0.00,$0.01,0.000,$0.08,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$66.92,0.474,.,0.00,.,0.00,.,0.00,$2.50,0.112,$5.40,0.046,$3.31,0.023,$1.56,0.009,$0.53,0.01,$0.00,0,$1.41,0.012,0.000,0,$21.98,1.026,$11.69,0.119,$5.11,0.042,$0.11,0.000,$0.00,0.000,.,0.00,$0.03,0.000,$0.00,0.000,.,0.00,.,0.00,$1.97,0.016,$0.01,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.01,0.000,$0.00,0.000,$0.05,0.000,$0.00,0.000,.,0.00,.,0.00,$1.91,0.025,$0.01,0.000,$0.91,0.006,$0.02,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$15.19,0.33,$5.09,0.12,$1.43,0.04,$0.34,0.01,$0.09,0.01,$0.03,0.00,$0.02,0.00,$0.01,0.00,$0.01,0.00,$0.01,0.00,,,,,,,,,,
$700,"34,514",$552.06,$649.41,$1.26,0.006,$0.00,0.000,$59.24,0.894,$36.40,0.449,$0.09,0.001,0%,0.00,$2.85,0.021,.,0.00,.,0.00,$0.01,0.000,$0.12,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$78.91,0.542,.,0.00,.,0.00,.,0.00,$3.19,0.133,$6.53,0.054,$4.00,0.027,$1.87,0.011,$0.66,0.02,$0.00,0,$1.91,0.014,0.000,0,$25.92,1.159,$14.53,0.144,$6.52,0.051,$0.16,0.001,$0.00,0.000,.,0.00,$0.05,0.000,$0.00,0.000,.,0.00,.,0.00,$2.72,0.020,$0.02,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.01,0.000,$0.00,0.000,$0.07,0.000,$0.00,0.000,.,0.00,.,0.00,$2.46,0.030,$0.01,0.000,$1.27,0.008,$0.03,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$19.42,0.41,$7.44,0.17,$2.49,0.06,$0.73,0.02,$0.21,0.01,$0.07,0.01,$0.04,0.00,$0.03,0.00,$0.02,0.00,$0.01,0.00,,,,,,,,,,
$800,"31,445",$618.71,$749.44,$1.66,0.008,$0.00,0.000,$66.72,0.990,$42.90,0.513,$0.10,0.001,0%,0.00,$3.76,0.026,.,0.00,.,0.00,$0.02,0.000,$0.15,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$89.60,0.604,.,0.00,.,0.00,.,0.00,$3.95,0.155,$7.60,0.062,$4.68,0.031,$2.12,0.012,$0.79,0.02,$0.00,0,$2.37,0.017,0.000,0,$29.80,1.287,$17.54,0.171,$7.98,0.061,$0.22,0.001,$0.00,0.000,.,0.00,$0.05,0.000,$0.00,0.000,.,0.00,.,0.00,$3.59,0.025,$0.02,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.02,0.000,$0.00,0.000,$0.09,0.001,$0.00,0.000,.,0.00,.,0.00,$3.06,0.035,$0.02,0.000,$1.59,0.010,$0.03,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$23.38,0.48,$9.82,0.21,$3.69,0.09,$1.23,0.04,$0.40,0.02,$0.14,0.01,$0.06,0.01,$0.04,0.00,$0.03,0.00,$0.02,0.00,,,,,,,,,,
$900,"29,375",$682.92,$849.31,$2.24,0.009,$0.01,0.000,$73.60,1.075,$49.66,0.578,$0.12,0.001,0%,0.00,$4.63,0.032,.,0.00,.,0.00,$0.03,0.000,$0.21,0.000,.,0.00,$0.00,0.000,.,0.00,.,0.00,$0.00,0.000,$99.29,0.659,.,0.00,.,0.00,.,0.00,$4.74,0.175,$8.63,0.070,$5.34,0.035,$2.39,0.013,$0.90,0.02,$0.00,0,$2.92,0.020,0.000,0,$33.71,1.412,$20.81,0.199,$9.60,0.072,$0.31,0.001,$0.00,0.000,.,0.00,$0.07,0.000,$0.01,0.000,.,0.00,.,0.00,$4.45,0.031,$0.03,0.000,.,0.00,.,0.00,.,0.00,.,0.00,$0.03,0.000,$0.00,0.000,$0.13,0.001,$0.00,0.000,.,0.00,.,0.00,$3.70,0.040,$0.02,0.000,$2.01,0.011,$0.04,0.000,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,$27.10,0.55,$12.15,0.25,$4.94,0.11,$1.83,0.05,$0.64,0.02,$0.23,0.01,$0.10,0.01,$0.05,0.00,$0.04,0.00,$0.03,0.00,,,,,,,,,,
