"Table C-13--Lemons: Utilization of production, by State, 1977/78 to date",,,,,,,,,
Season,,California,,,Arizona,,,United States 2/,
1/,,Fresh,Processed,,Fresh,Processed,,Fresh,Processed
,,"--1,000 short tons--",,,,,,,
,,,,,,,,,
1977/78,,376      ,395      ,,87      ,133      ,,464      ,528      
1978/79,,348      ,187      ,,106      ,103      ,,455      ,290      
1979/80,,347      ,326      ,,60      ,56      ,,407      ,382      
1980/81,,348      ,576      ,,85      ,181      ,,433      ,757      
1981/82,,303      ,400      ,,98      ,141      ,,401      ,542      
,,,,,,,,,
1982/83,,352      ,420      ,,84      ,94      ,,436      ,514      
1983/84,,351      ,304      ,,77      ,56      ,,428      ,360      
1984/85,,355      ,397      ,,86      ,129      ,,441      ,526      
1985/86,,361      ,213      ,,72      ,46      ,,433      ,259      
1986/87,,380      ,437      ,,89      ,181      ,,469      ,618      
,,,,,,,,,
1987/88,,384      ,262      ,,75      ,64      ,,458      ,326      
1988/89,,391      ,224      ,,75      ,69      ,,467      ,293      
1989/90,,399      ,201      ,,67      ,39      ,,466      ,240      
1990/91,,357      ,206      ,,92      ,64      ,,448      ,270      
1991/92,,345      ,228      ,,112      ,81      ,,457      ,309      
,,,,,,,,,
1992/93,,376      ,399      ,,99      ,68      ,,475      ,467      
1993/94,,361      ,426      ,,112      ,85      ,,473      ,511      
1994/95,,414      ,346      ,,92      ,45      ,,506      ,391      
1995/96,,410      ,388      ,,105      ,89      ,,516      ,476      
1996/97,,439      ,420      ,,59      ,44      ,,498      ,464      
,,,,,,,,,
1997/98,,377      ,421      ,,54      ,44      ,,431      ,466      
1998/99,,372      ,244      ,,89      ,42      ,,461      ,286      
1999/2000,,441      ,281      ,,77      ,41      ,,518      ,322      
2000/01,,439      ,424      ,,72      ,65      ,,511      ,489      
 1/ Season beginning August.  2/ Some figures may not add due to rounding.,,,,,,,,,
"Sources: National Agricultural Statistics Service and Economic Research Service, USDA.",,,,,,,,,
