Table 10 -- Examination Coverage:  Recommended and Average Recommended Additional Tax After,,,,,,,,,,,,,
"Examination, by Type and Size of Return  ",,,,,,,,,,,,,
"[Money amounts are in thousands of dollars, except as indicated]",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,Percentage of,,,,
,,Returns examined,,,,,,,non-CEP returns,,,,
,,,,,,,,,examined with no change,,,,
Type and size of return,Returns filed,,,Revenue agent,,,,,,,,,
,in Calendar,,Percentage,,Non-,Tax,Tax,Compliance,Revenue,Tax,Compliance,,
,"Year 2000 [1,2]",Total,covered,CEP [3],"CEP [3,4]","auditor [3,4]",examiner [3],center [3],agent,"auditor [3,4]",center [3],,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),,
,,,,,,,,,,,,,
"United States, total [2]","168,184,400  ","815,057  ",0.48  ,"6,373  ","144,992  ","119,962  ","8,784  ","534,946  ",[5]  ,[5]  ,[5]  ,,
,,,,,,,,,,,,,
"Income, estate, and gift tax, total: [6]","138,465,300  ","789,319  ",0.57  ,"3,344  ","126,733  ","115,939  ","8,626  ","534,677  ",19  ,17  ,19  ,,
    Taxable returns,,,,,,,,,,,,,
"      Individual income tax returns, total","127,097,400  ","731,756  ",0.58  ,151  ,"77,835  ","115,935  ","8,594  ","529,241  ",14  ,17  ,19  ,,
         Nonbusiness returns:,,,,,,,,,,,,,
"            Forms 1040A with TPI under $25,000 [7,8]","41,716,800  ","357,954  ",0.86  ,3  ,"8,866  ","21,818  ","1,826  ","325,441  ",17  ,15  ,15  ,,
            All other returns by size of TPI: [8],,,,,,,,,,,,,
"               Under $25,000","13,948,800  ","55,624  ",0.40  ,1  ,"4,767  ","9,540  ",727  ,"40,589  ",13  ,12  ,22  ,,
"               $25,000 under $50,000 ","30,108,900  ","67,109  ",0.22  ,2  ,"8,449  ","23,805  ","1,308  ","33,545  ",16  ,16  ,27  ,,
"               $50,000 under $100,000","23,377,600  ","53,433  ",0.23  , --  ,"9,846  ","18,665  ","1,584  ","23,338  ",16  ,17  ,33  ,,
"               $100,000 or more   ","9,326,300  ","64,259  ",0.69  ,118  ,"19,978  ","13,853  ","1,224  ","29,086  ",12  ,31  ,36  ,,
         Business returns:,,,,,,,,,,,,,
            Schedule C returns by size of TGR: [9],,,,,,,,,,,,,
