,Start,,,End,,,,Calculated Values,,,,
basis,y,m,d,y,m,d,,Start,End,Actual,,Expected
,,,,,,,,,,,,
1,1999,4,4,1999,4,5,,4/4/99,4/5/99,0.002739726,,0.002739726
,,,,,,,,,,,,
1,2005,2,1,2005,2,2,,2/1/05,2/2/05,0.002739726,,0.002739726
1,2004,12,31,2005,1,1,,12/31/04,1/1/05,0.002739726,,0.002739726
1,2005,1,1,2004,12,31,,1/1/05,12/31/04,0.002739726,,0.002739726
,,,,,,,,,,,,
1,2003,12,30,2003,12,31,,12/30/03,12/31/03,0.002739726,,0.002739726
1,2004,1,1,2004,1,2,,1/1/04,1/2/04,0.00273224,,0.00273224
1,2004,12,30,2004,12,31,,12/30/04,12/31/04,0.00273224,,0.00273224
1,2005,1,1,2005,1,2,,1/1/05,1/2/05,0.002739726,,0.002739726
,,,,,,,,,,,,
1,2003,12,30,2003,12,31,,12/30/03,12/31/03,0.002739726,,0.002739726
1,2004,12,30,2004,12,31,,12/30/04,12/31/04,0.00273224,,0.00273224
1,2005,12,30,2005,12,31,,12/30/05,12/31/05,0.002739726,,0.002739726
1,2006,12,30,2006,12,31,,12/30/06,12/31/06,0.002739726,,0.002739726
1,2007,12,30,2007,12,31,,12/30/07,12/31/07,0.002739726,,0.002739726
,,,,,,,,,,,,
1,2003,12,30,2004,12,31,,12/30/03,12/31/04,1.004103967,,1.004103967
1,2004,12,30,2005,12,31,,12/30/04,12/31/05,1.001367989,,1.001367989
1,2005,12,30,2006,12,31,,12/30/05,12/31/06,1.002739726,,1.002739726
1,2006,12,30,2007,12,31,,12/30/06,12/31/07,1.002739726,,1.002739726
1,2007,12,30,2008,12,31,,12/30/07,12/31/08,1.004103967,,1.004103967
,,,,,,,,,,,,
1,2004,12,30,2006,12,31,,12/30/04,12/31/06,2.000912409,,2.000912409
1,2005,12,30,2007,12,31,,12/30/05,12/31/07,2.002739726,,2.002739726
1,2006,12,30,2008,12,31,,12/30/06,12/31/08,2.003649635,,2.003649635
1,2007,12,30,2009,12,31,,12/30/07,12/31/09,2.003649635,,2.003649635
1,2008,12,30,2010,12,31,,12/30/08,12/31/10,2.000912409,,2.000912409
,,,,,,,,,,,,
1,2004,12,30,2007,12,31,,12/30/04,12/31/07,3.000684463,,3.000684463
1,2005,12,30,2008,12,31,,12/30/05,12/31/08,3.003422313,,3.003422313
1,2006,12,30,2009,12,31,,12/30/06,12/31/09,3.003422313,,3.003422313
1,2007,12,30,2010,12,31,,12/30/07,12/31/10,3.003422313,,3.003422313
1,2008,12,30,2011,12,31,,12/30/08,12/31/11,3.000684463,,3.000684463
,,,,,,,,,,,,
1,2004,12,30,2008,12,31,,12/30/04,12/31/08,4.001094691,,4.001094691
1,2005,12,30,2009,12,31,,12/30/05,12/31/09,4.003285871,,4.003285871
1,2006,12,30,2010,12,31,,12/30/06,12/31/10,4.003285871,,4.003285871
1,2007,12,30,2011,12,31,,12/30/07,12/31/11,4.003285871,,4.003285871
1,2008,12,30,2012,12,31,,12/30/08,12/31/12,4.001094691,,4.001094691
