,,,Dim5,Dim6,,,,,,,,,,,,,
,,,P,,P Total,Q,,Q Total,Grand Total,,,,,,,,
Dim1,Dim2,Data,Y,Z,,Y,Z,,,,GETPIVOTDATA,,,,,,
A,F,Sum of Val1,92,96,188,100,104,204,392,,92,96,188,100,104,204,392
,,Sum of Val2,488,492,980,496,500,996,1976,,,,,,,,
,G,Sum of Val1,28,32,60,36,40,76,136,,,,,,,,
,,Sum of Val2,424,428,852,432,436,868,1720,,,,,,,,
A Sum of Val1,,,120,128,248,136,144,280,528,,,,,,,,
A Sum of Val2,,,912,920,1832,928,936,1864,3696,,,,,,,,
B,F,Sum of Val1,220,224,444,228,232,460,904,,,,,,,,
,,Sum of Val2,616,620,1236,624,628,1252,2488,,,,,,,,
,G,Sum of Val1,156,160,316,164,168,332,648,,,,,,,,
,,Sum of Val2,552,556,1108,560,564,1124,2232,,,,,,,,
B Sum of Val1,,,376,384,760,392,400,792,1552,,,,,,,,
B Sum of Val2,,,1168,1176,2344,1184,1192,2376,4720,,,,,,,,
Total Sum of Val1,,,496,512,1008,528,544,1072,2080,,,,,,,,
Total Sum of Val2,,,2080,2096,4176,2112,2128,4240,8416,,,,,,,,
