Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Val1,Val2
A,G,K,T,P,Y,1,100
A,G,K,T,P,Z,2,101
A,G,K,T,Q,Y,3,102
A,G,K,T,Q,Z,4,103
A,G,K,S,P,Y,5,104
A,G,K,S,P,Z,6,105
A,G,K,S,Q,Y,7,106
A,G,K,S,Q,Z,8,107
A,G,L,T,P,Y,9,108
A,G,L,T,P,Z,10,109
A,G,L,T,Q,Y,11,110
A,G,L,T,Q,Z,12,111
A,G,L,S,P,Y,13,112
A,G,L,S,P,Z,14,113
A,G,L,S,Q,Y,15,114
A,G,L,S,Q,Z,16,115
A,F,K,T,P,Y,17,116
A,F,K,T,P,Z,18,117
A,F,K,T,Q,Y,19,118
A,F,K,T,Q,Z,20,119
A,F,K,S,P,Y,21,120
A,F,K,S,P,Z,22,121
A,F,K,S,Q,Y,23,122
A,F,K,S,Q,Z,24,123
A,F,L,T,P,Y,25,124
A,F,L,T,P,Z,26,125
A,F,L,T,Q,Y,27,126
A,F,L,T,Q,Z,28,127
A,F,L,S,P,Y,29,128
A,F,L,S,P,Z,30,129
A,F,L,S,Q,Y,31,130
A,F,L,S,Q,Z,32,131
B,G,K,T,P,Y,33,132
B,G,K,T,P,Z,34,133
B,G,K,T,Q,Y,35,134
B,G,K,T,Q,Z,36,135
B,G,K,S,P,Y,37,136
B,G,K,S,P,Z,38,137
B,G,K,S,Q,Y,39,138
B,G,K,S,Q,Z,40,139
B,G,L,T,P,Y,41,140
B,G,L,T,P,Z,42,141
B,G,L,T,Q,Y,43,142
B,G,L,T,Q,Z,44,143
B,G,L,S,P,Y,45,144
B,G,L,S,P,Z,46,145
B,G,L,S,Q,Y,47,146
B,G,L,S,Q,Z,48,147
B,F,K,T,P,Y,49,148
B,F,K,T,P,Z,50,149
B,F,K,T,Q,Y,51,150
B,F,K,T,Q,Z,52,151
B,F,K,S,P,Y,53,152
B,F,K,S,P,Z,54,153
B,F,K,S,Q,Y,55,154
B,F,K,S,Q,Z,56,155
B,F,L,T,P,Y,57,156
B,F,L,T,P,Z,58,157
B,F,L,T,Q,Y,59,158
B,F,L,T,Q,Z,60,159
B,F,L,S,P,Y,61,160
B,F,L,S,P,Z,62,161
B,F,L,S,Q,Y,63,162
B,F,L,S,Q,Z,64,163
