Count of F21,,,,,,,,,,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,,,,,,,,,,,
,,,,,,,,,,S,,,,,,,,,S Total,T,,,,,,,,,T Total,Grand Total
,,,,,,,,,,S,,,,,,,,S Total,,T,,,,,,,,T Total,,
,,,,,,,,,,S,,,,,,,S Total,,,T,,,,,,,T Total,,,
,,,,,,,,,,S,,,,,,S Total,,,,T,,,,,,T Total,,,,
,,,,,,,,,,S,,,,,S Total,,,,,T,,,,,T Total,,,,,
,,,,,,,,,,S,,,,S Total,,,,,,T,,,,T Total,,,,,,
,,,,,,,,,,S,,,S Total,,,,,,,T,,,T Total,,,,,,,
,,,,,,,,,,S,,S Total,,,,,,,,T,,T Total,,,,,,,,
,,,,,,,,,,S,S Total,,,,,,,,,T,T Total,,,,,,,,,
F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,S,,,,,,,,,,T,,,,,,,,,,
A,C,E,G,I,K,M,O,Q,S,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,,,,,,,Q Total,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,,,,,,O Total,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,,,,,M Total,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,,,,K Total,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,,,I Total,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,,G Total,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,,E Total,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
,C Total,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
A Total,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1
B,D,F,H,J,L,N,P,R,T,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,R Total,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,P Total,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,,,N Total,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,,L Total,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,,J Total,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,,H Total,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,,F Total,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
,D Total,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
B Total,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1
Grand Total,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
