Floor space (x1),Offices (x2),Entrances (x3),Age (x4),Assessed value (y)
2310,2,2,20,142000
2333,2,2,12,144000
2356,3,1.5,33,151000
2379,3,2,43,150000
2402,2,3,53,139000
2425,4,2,23,169000
2448,2,1.5,99,126000
2471,2,2,34,142900
2494,3,3,23,163000
2517,4,4,55,169000
2540,2,3,22,149000
,,,,
Formula,,,,
-234.2371645,2553.21066,12529.76817,27.64138737,52317.83051
13.26801148,530.6691519,400.0668382,5.429374042,12237.3616
0.996747993,970.5784629,#N/A,#N/A,#N/A
459.7536742,6,#N/A,#N/A,#N/A
1732393319,5652135.316,#N/A,#N/A,#N/A
,,,,
Excel XP,,,,
-234.2371645,2553.21066,12529.76817,27.64138737,52317.83051
13.26801148,530.6691519,400.0668382,5.429374042,12237.3616
0.996747993,970.5784629,#N/A,#N/A,#N/A
459.7536742,6,#N/A,#N/A,#N/A
1732393319,5652135.316,#N/A,#N/A,#N/A
,,,,
Calc 3.2.1,,,,
-234.2371645,2553.21066,12529.76817,27.64138737,52317.83051
13.26801148,530.6691519,400.0668382,5.429374042,12237.3616
0.996747993,970.5784629,#N/A,#N/A,#N/A
459.7536742,6,#N/A,#N/A,#N/A
1732393319,5652135.316,#N/A,#N/A,#N/A
