Name,Category,Value
A479,A,0.023989445
B68,B,0.260951328
A399,A,0.78502202
B96,B,0.287806902
A219,A,0.030016709
B828,B,0.182759185
A33,A,0.804625538
B187,B,0.767991483
A936,A,0.051755331
B728,B,0.050973404
A843,A,0.386258617
B897,B,0.938099405
A346,A,0.943475654
B362,B,0.486182632
A453,A,0.873244887
B574,B,0.326038563
A599,A,0.407076266
B537,B,0.482969295
A839,A,0.473961087
B252,B,0.866148446
A613,A,0.552010531
B355,B,0.987028905
A929,A,0.869359685
B53,B,0.355302869
A256,A,0.505926584
B756,B,0.044912217
A666,A,0.075742499
B908,B,0.816930726
A327,A,0.036096411
B525,B,0.972747077
A388,A,0.344203801
B886,B,0.22295988
A949,A,0.076661646
B486,B,0.198284059
A602,A,0.338817119
B274,B,0.076729151
A307,A,0.282835585
B564,B,0.879912439
A919,A,0.886810349
B794,B,0.594063338
A5,A,0.210599913
B788,B,0.590911337
A923,A,0.321281607
B15,B,0.431572656
A468,A,0.704224778
B146,B,0.301207487
A313,A,0.215200153
B961,B,0.781626245
A580,A,0.442245466
B279,B,0.585096485
A727,A,0.105335991
B648,B,0.425599294
A169,A,0.445493979
B809,B,0.592511438
A803,A,0.752909306
B787,B,0.014405869
A237,A,0.570937895
B83,B,0.727564727
A414,A,0.207605373
B847,B,0.999472836
A437,A,0.617958664
B221,B,0.828932297
A938,A,0.227612141
B478,B,0.429551664
A303,A,0.593481639
B350,B,0.18074717
A792,A,0.975995813
B229,B,0.572443055
A733,A,0.916244126
B842,B,0.927928228
A938,A,0.819546843
B610,B,0.575371455
A906,A,0.939345944
B459,B,0.033203004
A815,A,0.05776602
B423,B,0.213896449
A418,A,0.908931375
B720,B,0.968642465
A985,A,0.340250502
B390,B,0.87769332
A25,A,0.792484518
B351,B,0.646180733
A605,A,0.309510498
B757,B,0.909981777
A877,A,0.424391149
B986,B,0.65734483
A77,A,0.133196838
B674,B,0.588960306
A232,A,0.732917843
B127,B,0.952640914
A347,A,0.04878696
B943,B,0.132947772
A291,A,0.94329605
B596,B,0.7819839
A836,A,0.787210848
B404,B,0.834193553
A913,A,0.50224989
B103,B,0.233654313
A302,A,0.035062396
B410,B,0.059122146
A227,A,0.617199914
B283,B,0.238454749
A490,A,0.54804826
B702,B,0.631181858
A953,A,0.748814593
B836,B,0.256961058
A170,A,0.665273577
B718,B,0.935723724
A907,A,0.789235974
B981,B,0.998349971
A233,A,0.91143813
B411,B,0.541547714
A371,A,0.234440054
B703,B,0.585532856
A561,A,0.085283889
B453,B,0.287035096
A221,A,0.100844481
B209,B,0.562649253
A963,A,0.284962803
B454,B,0.463494729
A310,A,0.95232959
B494,B,0.434696691
A68,A,0.385728666
B739,B,0.735302184
A834,A,0.077094709
B783,B,0.13035253
A34,A,0.739438841
B799,B,0.360521121
A207,A,0.777222098
B855,B,0.366325048
A373,A,0.409880526
B912,B,0.550817638
A402,A,0.506021887
B994,B,0.442553595
A975,A,0.028777999
B654,B,0.730666501
A954,A,0.704248286
B35,B,0.7876389
A903,A,0.662344194
B834,B,0.436117932
A851,A,0.881697037
B234,B,0.468323757
A389,A,0.757315674
B686,B,0.549227519
A430,A,0.779835335
B105,B,0.763504133
A455,A,0.177252481
B90,B,0.411133359
A72,A,0.708556073
B272,B,0.936950543
A355,A,0.403772102
B789,B,0.074506795
A546,A,0.650709741
B523,B,0.732532252
A90,A,0.259445086
B678,B,0.100647713
A117,A,0.54786384
B766,B,0.873060904
A695,A,0.658212793
B162,B,0.533665597
A978,A,0.426036646
B380,B,0.48339086
A197,A,0.322767132
B803,B,0.304990063
A247,A,0.73571146
B386,B,0.661159724
A164,A,0.837887504
B190,B,0.174391323
A499,A,0.971625498
B892,B,0.075315869
A409,A,0.385216247
B966,B,0.975868639
A387,A,0.360926441
B508,B,0.429871184
A419,A,0.523417576
B802,B,0.09856072
A473,A,0.559901039
B303,B,0.821480563
A907,A,0.355749206
B436,B,0.751111173
A740,A,0.475759335
B519,B,0.719679424
A558,A,0.331801481
B309,B,0.316634284
A109,A,0.021718228
B744,B,0.69576802
A879,A,0.248828403
B608,B,0.869032972
A653,A,0.867750101
B623,B,0.267785927
A445,A,0.862621257
B924,B,0.585496808
A567,A,0.636710854
B164,B,0.370852216
A513,A,0.592537535
B92,B,0.984223158
A564,A,0.765620322
B978,B,0.493670549
A425,A,0.541423858
B852,B,0.348875546
A622,A,0.82468516
B554,B,0.357653035
A685,A,0.263247999
B920,B,0.571374829
A617,A,0.490245611
B626,B,0.000962531
A225,A,0.553346732
B483,B,0.728047073
A921,A,0.954985607
B343,B,0.371617263
A873,A,0.423186627
B508,B,0.538096389
A872,A,0.045658645
B645,B,0.139062379
A616,A,0.186797914
B351,B,0.441174535
A796,A,0.068851492
B569,B,0.636525796
A608,A,0.061929524
B374,B,0.736623121
A17,A,0.099531862
B618,B,0.707312216
A257,A,0.016886235
B68,B,0.053964298
A781,A,0.516874495
B806,B,0.58302332
A698,A,0.263781128
B164,B,0.275855873
A948,A,0.033065031
B567,B,0.355869255
A810,A,0.419559598
B182,B,0.015650579
A897,A,0.414799637
B298,B,0.322900395
A263,A,0.020461199
B55,B,0.649417775
A856,A,0.454767263
B916,B,0.577761584
A168,A,0.029769613
B363,B,0.303789694
A843,A,0.386939068
B641,B,0.708848907
A366,A,0.192608974
B929,B,0.300976241
A136,A,0.693276772
B963,B,0.996338592
A718,A,0.730785662
B640,B,0.610194926
A205,A,0.777494597
B435,B,0.14620544
A25,A,0.512992562
B697,B,0.331188411
A635,A,0.450935678
B32,B,0.979322966
A239,A,0.781709287
B376,B,0.923714671
A975,A,0.838652447
B599,B,0.344739803
A782,A,0.776914581
B674,B,0.519574201
A242,A,0.715081659
B207,B,0.264345506
A441,A,0.750136434
B346,B,0.246351405
A742,A,0.527614863
B296,B,0.437944437
A582,A,0.643241192
B642,B,0.94346558
A403,A,0.206768492
B867,B,0.255760829
A224,A,0.391616482
B900,B,0.555416721
A390,A,0.993029179
B948,B,0.662266788
A988,A,0.735402516
B62,B,0.302939127
A758,A,0.404525968
B332,B,0.974509514
A329,A,0.380826072
B360,B,0.161409796
A153,A,0.050978028
B967,B,0.195772486
A818,A,0.576715416
B623,B,0.060723154
A965,A,0.386112917
B409,B,0.853938795
A918,A,0.146363373
B284,B,0.351876402
A35,A,0.826738605
B618,B,0.65826677
A211,A,0.800927749
B649,B,0.759257497
A590,A,0.2053955
B596,B,0.106088771
A262,A,0.223415545
B243,B,0.223144149
A30,A,0.190925289
B217,B,0.668129098
A321,A,0.171528788
B393,B,0.062957542
A279,A,0.918535266
B509,B,0.62658216
A890,A,0.282203696
B910,B,0.946257606
A609,A,0.529903666
B23,B,0.773953688
A107,A,0.96246746
B374,B,0.385000335
A839,A,0.694073257
B322,B,0.469609408
A786,A,0.564355372
B417,B,0.004924303
A969,A,0.127447941
B348,B,0.145283021
A337,A,0.009528151
B447,B,0.445234245
A327,A,0.065557193
B100,B,0.542840811
A71,A,0.303618884
B155,B,0.564816821
A276,A,0.630790552
B365,B,0.90698174
A62,A,0.837874281
B227,B,0.053573632
A837,A,0.142082974
B662,B,0.676554546
A566,A,0.462884034
B320,B,0.675467037
A146,A,0.649527492
B859,B,0.159241598
A901,A,0.523157825
B128,B,0.824182462
A171,A,0.89225504
B336,B,0.882704455
A42,A,0.497837008
B916,B,0.598802057
A56,A,0.978832536
B73,B,0.780700456
A695,A,0.066333429
B438,B,0.577070216
A318,A,0.84151811
B221,B,0.562144962
A429,A,0.04432749
B666,B,0.420130098
A99,A,0.888233494
B28,B,0.091571641
A209,A,0.62582771
B509,B,0.838597943
A607,A,0.686301584
B749,B,0.772891197
A325,A,0.692383961
B97,B,0.038605477
A166,A,0.52614075
B122,B,0.744055711
