,,,,,,,,
Month,persons,cars,bags,currency,,Web Query Result,,
March,2,3,4,5,,Information for professionals,,
March Total,,,,5,,,,
April,21,31,41,51,,Healthcare,,
April Total,,,,51,,,,
June,22,32,42,52,,Database Query Result,,
June Total,,,,52,,,,
July,23,33,43,53,,BOR02a,1,"Borges, Malte; Schumacher, J_g"
July Total,,,,53,,,,
Grand Total,,,,161,,,,
,,,,,,STA99,1,"Staas, Dieter"
a,b,c,d,e,,ESS99A,1,"Esser, Heinz-Christian; Meseke, Bodo; Rottenberger, Dirk"
-454,5633,553,753,35,,BOR98,1,"Borges, Malte; M_ler, Carsten"
12,33,45,66,44,,SEE98B,1,"Seeboerger-Weichselbaum, Michael"
22,3,64,943,464,,BOR99B,1,"Borges, Malte; Elser, Eike; Schumacher. J_g"
333,5,326,669,4232,,STA98,1,"Staas, Dieter"
,,,,,,DAN1999,1,"Dangel, David"
a,b,c,d,e,,BOR99C,1,"Borges, Malte; Elser, Eike; Schumacher. J_g"
>3,,,66,,,ESS99B,1,"Esser, Heinz-Christian; M_ler, Carsten; Meseke, Bodo"
,,,,,,MEA99,1,"Meadhra, Michael"
a,b,c,d,e,,SPA00,1,"Spanik, Christian; Fette, Joachim"
12,33,45,66,44,,MIC00,1,"de Micheli, Fulvio"
,,,,,,GIE00,1,"Giersig, Jutta"
,,,,,,WEL99,1,"Wells, Nicholas; Taylor, R. Dean"
,,,,,,KOC99,1,"Koch, Michael; Murray, Sarah; Roth, Werner"
,,,,,,PRO99A,1,"Proffitt, Brian"
,,,,,,ART00,1,"Artymiak, Jacek; Wrightson, Kate; Merlino, Joe"
,,,,,,MEA99A,1,"Meadhra, Michael"
,,,,,,PRO99B,1,"Proffitt, Brian"
,,,,,,PRO99C,1,"Proffitt, Brian"
,,,,,,BUS00,1,"Busch, David D."
,,,,,,BOR02b,1,"Borges, Malte; Schumacher, J_g"
,,,,,,BUS00,1,"Busch, David D.; Olsen, J.W."
,,,,,,DAN00,1,"Dandenell, Malin; Ek, Jesper"
,,,,,,FAC01,1,"Facundo Arena, Hector"
,,,,,,GAE02,1,"G_ler, Rene"
,,,,,,HAB00,1,"Habraken, Joe"
,,,,,,JON00,1,"Jones, Floyd; Haugland, Solveig"
,,,,,,MOL02,1,"Molla, Ricard"
,,,,,,RAP00,1,"Rapion, Anne"
,,,,,,RIN01,1,"Rinne , Karin"
,,,,,,WAR01a,1,"Warner, Nancy D."
,,,,,,WAR01b,1,"Warner, Nancy D."
