Identifier,Type,Address,Annote,Author,Booktitle,Chapter,Edition,Editor,Howpublish,Institutn,Journal,Month,Note,Number,Organizat,Pages,Publisher,School,Series,Title,RepType,Volume,Year,URL,Custom1,Custom2,Custom3,Custom4,Custom5,ISBN
BOR02a,1,,,"Borges, Malte; Schumacher, J_g",,,,,,,,,,,,900,Markt & Technik Verlag,,,StarOffice 6.0 Kompendium,,,2002,,,,,,,3827262763
SEE98A,1,Kaarst-B_tgen,,"Seeboerger-Weichselbaum, Michael",,,,,,,,,,,,446,BHV,,,Das Einsteiger-Seminar. StarOffice 5.0,,,1998,,,,,,,3-8287-1012-3
BOR99A,1,M_chen,,"Borges, Malte; Elser, Eike; Schuhmacher, J_g",,,,,,,,,,,,532,Heyne,,,"Markt & Technik bei Heyne, Bd.40, StarOffice 5.0",,,1999,,,,,,,3-4531-4974-2
STA99,1,M_chen,,"Staas, Dieter",,,,,,,,,,,,480,Carl Hanser,,,StarBasic Programmierung,,,1999,,,,,,,3-4461-9585-8
ESS99A,1,D_seldorf,,"Esser, Heinz-Christian; Meseke, Bodo; Rottenberger, Dirk",,,,,,,,,,,,306,Sybex,,,StarOffice 5 TopTenThemen,,,1999,,,,,,,3-8155-8012-9
BOR98,1,Haar,,"Borges, Malte; M_ler, Carsten",,,,,,,,,,,,144,Markt und Technik,,,StarOffice 5.0 Training. Einf_rung,,,1998,,,,,,,3-8272-5430-2
SEE98B,1,Kaarst-B_tgen,,"Seeboerger-Weichselbaum, Michael",,,,,,,,,,,,1016,BHV,,,StarOffice 5.0. Das bhv Taschenbuch,,,1998,,,,,,,3-8287-5012-5
BOR99B,1,Haar,,"Borges, Malte; Elser, Eike; Schumacher. J_g",,,,,,,,,,,,647,Markt und Technik,,,StarOffice 5.0. f_ Linux,,,1999,,,,,,,3-8272-5545-7
STA98,1,M_chen,,"Staas, Dieter",,,,,,,,,,,,709,Carl Hanser,,,StarOffice 5.0. Praxisbuch und Referenz,,,1998,,,,,,,3-4461-9415-0
DAN1999,1,M_chen,,"Dangel, David",,,,,,,,,,,,358,Beck-DTV,,,StarOffice 5.1. Die L_ung f_ alle Office- Aufgaben,,,1999,,,,,,,3-4235-0221-5
BOR99C,1,Haar,,"Borges, Malte; Elser, Eike; Schumacher. J_g",,,,,,,,,,,,948,Markt und Technik,,,StarOffice 5.1 Kompendium,,,1999,,,,,,,3-8272-5633-X
ESS99B,1,D_seldorf,,"Esser, Heinz-Christian; M_ler, Carsten; Meseke, Bodo",,,,,,,,,,,,312,Sybex,,,StarOffice 5.x f_ Linux TopTenThemen,,,1999,,,,,,,3-8155-8002-1
MEA99,1,Bonn,,"Meadhra, Michael",,,,,,,,,,,,400,MITP,,,Staroffice f_ Dummies,,,1999,,,,,,,3-8266-2841-1
SPA00,1,K_igswinter,,"Spanik, Christian; Fette, Joachim",,,,,,,,,,,,416,More Software,,,Chip Bibliothek Staroffice 5.1 Schulung,,,2000,,,,,,,3-8982-6125-5
MIC00,1,,,"de Micheli, Fulvio",,,,,,,,,,,,240,SMARTBOOKS,,,"Das SmartBook zu StarOffice 5.x, m. CD-ROM",,,2000,,,,,,,3-9084-9059-6
GIE00,1,,,"Giersig, Jutta",,,,,,,,,,,,,GIERSIG,,,"StarOffice 5.1, Internet, drei Tage zum Erfolg",,,2000,,,,,,,3-9324-2118-3
WEL99,1,,,"Wells, Nicholas; Taylor, R. Dean",,,,,,,,,,,,505,MacMillan,,,Sams Teach Yourself Staroffice for Linux in 24 Hours,,,1999,,,,,,,0-6723-1412-6
KOC99,1,,,"Koch, Michael; Murray, Sarah; Roth, Werner",,,,,,,,,,,,1519,Que,,,Special Edition Using StarOffice,,,1999,,,,,,,0-7897-1993-2
PRO99A,1,,,"Proffitt, Brian",,,,,,,,,,,,512,Prima Publishing,,,Staroffice 5.1 for Linux Fast & Easy,,,1999,,,,,,,0-7615-2447-9
ART00,1,,,"Artymiak, Jacek; Wrightson, Kate; Merlino, Joe",,,,,,,,,,,,700,IDG Books Worldwide,,,StarOffice For Linux Bible,,,2000,,,,,,,0-7645-3363-0
MEA99A,1,,,"Meadhra, Michael",,,,,,,,,,,,404,IDG Books Worldwide,,,Staroffice for Linux for Dummies,,,1999,,,,,,,
PRO99B,1,,,"Proffitt, Brian",,,,,,,,,,,,528,Prima Publishing,,,Sun StarOffice 5.1 for Linux,,,1999,,,,,,,0-7615-2454-1
PRO99C,1,,,"Proffitt, Brian",,,,,,,,,,,,500,Prima Publishing,,,Suns Staroffice 5.1 for Windows,,,1999,,,,,,,0-7615-2693-5
BUS00,1,,,"Busch, David D.",,,,,,,,,,,,640,Sybex,,,Mastering StarOffice 5.1 for Linux,,,2000,,,,,,,0-7821-2709-6
BOR02b,1,,,"Borges, Malte; Schumacher, J_g",,,,,,,,,,,,384,Heyne Wilhelm Verlag GmbH,,,StarOffice 6.0,,,2002,,,,,,,345317335X
BUS00,1,,,"Busch, David D.; Olsen, J.W.",,,,,,,,,,,,704,Sybex,,,Mastering StarOffice 5.2 for Linux,,,2000,,,,,,,0782127096
DAN00,1,,,"Dandenell, Malin; Ek, Jesper",,,,,,,,,,,,423,Pagina,,,StarOffice 5.2 f_ Alla,,,2000,,,,,,,9163606194
FAC01,1,,,"Facundo Arena, Hector",,,,,,,,,,,,216,Mp Ediciones Sa,,,"StarOffice 5 Libros en 1 con CD-ROM: Manuales Users, en Espanol / Spanish",,,2001,,,,,,,987526086X
GAE02,1,,,"G_ler, Rene",,,,,,,,,,,,350,Computer  u.  Literatur,,,Star Office 6.0,,,2002,,,,,,,3932311949
HAB00,1,,,"Habraken, Joe",,,,,,,,,,,,366,Prentice Hall,,,StarOffice 5.2 Calc Handbook,,,2000,,,,,,,013029389X
JON00,1,,,"Jones, Floyd; Haugland, Solveig",,,,,,,,,,,,1144,Prentice Hall,,,StarOffice 5.2 Companion,,,2000,,,,,,,0130307033
