Times New Roman Normal 12pt,,,,,Normal
Albany Normal 12pt,,,,,Underline
Andale Sans Normal 12pt,,,,,Bold
Andale Sans UI normal 12pt,,,,,Italic
Arial Normal+Arial 12pt,,,,,Strikethrough
Arial Black 12pt,,,,,Shadow
Arial Narrow 12pt,,,,,Outline
Arial Unicode MS 12pt,,,,,Colour Red
AvantGarde 12pt,,,,,Bold Italic
Batang 12pt,,,,,Double underline green
Book Antiqua 12pt,,,,,SuperScript
Bookman 12pt,,,,,SubScript
Bookman OldStyle,,,,,
Broadway,,,,,
Century,,,,,
Century Gothic,,,,,
Code2001 ,,,,,
Comic Sans MS,,,,,
Courier,,,,,
Courier New,,,,,
Cumberland,,,,,
Garamond,,,,,
Georgia,,,,,
Helvetica,,,,,
Helvetica Black,,,,,
Helvetica Light,,,,,
Helvetica-Narrow,,,,,
Impact,,,,,
Imprint MT Shadow,,,,,
Kidprint,,,,,
Lucida Console,,,,,
Lucida Sans Unicode,,,,,
Marlett,,,,,
Microsoft Sans Serif,,,,,
Monotype Corsiva,,,,,
MS Mincho,,,,,
MS Reference Sans Serif,,,,,
MS Reference Specialty,,,,,
NewCenturySchlbk,,,,,
OpenSymbol,,,,,
Palace Script,,,,,
Palace Script MT,,,,,
Palatino,,,,,
Palatino Linotype,,,,,
Sheffield,,,,,
SimSun,,,,,
StarSymbol,,,,,
Symbol,,,,,
Tahoma,,,,,
Thorndale,,,,,
Times,,,,,
Times New Roman,,,,,
Trebuchet MS,,,,,
Verdana,,,,,
Webdings,,,,,
Wingdings,,,,,
Wingdings 2,,,,,
Wingdings 3,,,,,
ZapfChancery,,,,,
ZapfDingbats,,,,,
,,,,,
,,,,,
Times New Roman Normal 8pt,,,,,
Times New Roman Normal 9pt,,,,,
Times New Roman Normal 10pt,,,,,
Times New Roman Normal 10.5pt,,,,,
Times New Roman Normal 11pt,,,,,
Times New Roman Normal 12pt,,,,,
Times New Roman Normal 14pt,,,,,
Times New Roman Normal 16pt,,,,,
Times New Roman Normal 18pt,,,,,
Times New Roman Normal 20pt,,,,,
Times New Roman Normal 22pt,,,,,
Times New Roman Normal 72pt,,,,,
