Constituent Note,,,
comment,Create a new note and verify,,
findfirstname,Ccccc1,,
findlastname,Ccccc1,,
findemail,devnull+Ccccc1@convio.com,,
firstname,Ccccc1,,
lastname,Ccccc1,,
email,,,
zip,,,
subject,Note for Ccccc1,,
security,BST1 Special Members Only,,
body,Body of Note for Cccc1,,
create,nil,,
nav_to_edit_page,nil,,
verify_admin_Subject,Note for Ccccc1,,
verify_admin_Author,Site Administrator,,
verify_admin_Security_Category,BST1 Special Members Only,,
verify_admin_Text,Body of Note for Cccc1,,
