,Survey Questions,,,,,,,,,,,,,,,,,,,,
,,comment,Date Value,Multiple Choice Combo Box,Multiple Choice Multiple Response,Multiple Choice Single Response (Drop Down),Multiple Choice Single Response (Radio),Numeric Value,Rating Scale,Short Text Value (40 characters),Text Value,True/False,Yes/No,,,,,,,,
,Identify Survey,surveyname,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,SURVEY_BST1,,,,,,,,
,Identify Question Type,questiontype,Date Value,Multiple Choice Combo Box,Multiple Choice Multiple Response,Multiple Choice Single Response (Drop Down),Multiple Choice Single Response (Radio),Numeric Value,Rating Scale,Short Text Value (40 characters),Text Value,True/False,Yes/No,,,,,,,,
,Question Details,questiontext,Please update your DOB?,Please update your suffix?,Which application do you use most of the time?,Please update your gender if not updated?,What is your occupation?,What is your new phone number?,How would you rate your applications?,Please update your new email id?,How has been your association with convio?,Is your advocacy information correct?,How is look and feel of convio homepage?,,,,,,,,
[array],,responsechoices,,"[""Sr."",""Jr."",""II"",""III"",""IV""]","[""Report Writer"",""TeamRaiser"",""Surveys"",""Advocacy"",""Other""]","[""Male"",""Female""]","[""BusinessMen"",""Employee"",""Others""]",,"[""0"",""1"",""2"",""3"",""4""]",,,,,,,,,,,,
,,security,General,General,General,General,General,General,General,General,General,General,General,,,,,,,,
,,answer_required,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,,
,,update_contact,1,,,1,1,1,,1,,1,,,,,,,,,
,,contact_type,Biographical Information,,,Biographical Information,Employment,Phone,,Email,,Advocacy Information,,,,,,,,,
,,contact_field,Date of Birth,,,Gender,Occupation,Phone,,Email,,Congressional District (Manual Override),,,,,,,,,
,,interestassociation,,,,,,,,,,,,,,,,,,,
,,interestbox,,,,,,,,,,,,,,,,,,,
,,minselections,,,1,,,,,,,,,,,,,,,,
,,maxselections,,,2,,,,,,,,,,,,,,,,
,,captionbody,,,,,,,,,,,,,,,,,,,
,,create,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,,,,
,,verify,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,nil,,,,,,,,
