SurveyQuestions,,,
comment,Set up default for the CRI questions,,
surveyname,SURVEY_CRI_BST1,,
questiontype,Constituent Registration Info,,
questiontext,answer me,,
security,,,
title,Requested,,
firstname,Required,,
middlename,Requested,,
lastname,Required,,
suffix,Requested,,
email,Required,,
street1,Requested,,
street2,,,
city,Requested,,
state,Required,,
zip,Requested,,
country,,,
phone,Requested,,
occupation,Required,,
employer,Requested,,
gender,Required,,
birthdate,Requested,,
emailformat,Requested,,
emailoptin,Show,,
postaloptin,Default,,
layout,Vertical Layout,,
prompt,,,
password,,,
login,,,
existingemail,,,
create,nil,,
verify,nil,,
