Edit TeamRaiser,,,,,,
,comment,Allow teams and team gifts ,,,,
Identify TeamRaiser,teamraisername,TEAMRAISER_BST1,,,,
,isblueprint,,,,,
,adminname,,,,,
,publicname,,,,,
,security,,,,,
,month,,,,,
,day,,,,,
,year,,,,,
,fiscalyear,,,,,
,eventassociation,,,,,
,primaryeventtype,,,,,
,primaryeventtypenew,,,,,
,secondaryeventtype,,,,,
,secondaryeventtypenew,,,,,
,tertiaryeventtype,,,,,
,tertiaryeventtypenew,,,,,
Select Fundraising Options,donationform,,,,,
,eventgoal,,,,,
,goalamount,,,,,
,donationstyle,,,,,
,additionaldonation,,,,,
,multiplereg,,,,,
,taxid,,,,,
Select Event Options,personalpages,participant,,,,
,unconfirmedgifts,,,,,
,participantgoal,,,,,
,suggestedgoal,,,,,
,interestassociation,,,,,
Select Team Options,honoraryteam,,,,,
,allowteams,TRUE,,,,
,allowpassword,,,,,
,companynames,,,,,
,teamgiftsallowed,TRUE,,,,
,teamdivisions,,,,,
,maxcaptains,,,,,
,publish,,,,,
,edit,nil,,,,
,verify,nil,,,,
