Constituent,,,
,comment,The club owner should be in the owner's group,The club member should be in the member's group
,pending,Bug #43856,Bug #43856
Constituent Search ,findfirstname,Ccccc1,Aaaaa1
,findlastname,Ccccc1,Aaaaa1
,findemail,,
,findmemberid,,
,findusername,,
,findphone,,
,findzip,,
,findconstituentid,,
,firstname,,
,middlename,,
,lastname,,
,username,,
,password,,
,passwordhint,,
,email,,
,title,,
,suffix,,
,profsuffix,,
,memberid,,
,gender,,
,month,,
,day,,
,year,,
,acceptemail,,
,preferredformat,,
,emailstatus,,
,street1,,
,street2,,
,city,,
,state,,
,zip,,
,country,,
,acceptmail,,
,congressional,,
,senate,,
,house,,
,phone,,
,employer,,
,occupation,,
Groups,groupmembership,CLUB_BST1 club owners,CLUB_BST1 club members
,groupfoldername,Club Groups,Club Groups
Interests,emailinterests,,
,emailinterestfoldername,,
,webinterests,,
,webinterestfoldername,,
,verify_group_membership,TRUE,TRUE
