DESTINATION,CODES,NEW RATE USD,CONN CHARGE,EFFECTIVE DATE,STATUS
Afghanistan,93,0.1619,0,30/Jan/16,SAME
Afghanistan Mobile AT,9375,0.1263,0,30/Jan/16,SAME
Afghanistan Mobile AWCC,9370,0.0663,0,30/Jan/16,SAME
Afghanistan Mobile AWCC,93711,0.0663,0,30/Jan/16,SAME
Afghanistan Mobile Etisalat,9378,0.0453,0,30/Jan/16,SAME
Afghanistan Mobile MTN,9376,0.0504,0,30/Jan/16,SAME
Afghanistan Mobile MTN,9377,0.0504,0,30/Jan/16,SAME
Afghanistan Mobile Roshan,9372,0.0584,0,05/Feb/16,INCREASE
Afghanistan Mobile Roshan,9379,0.0584,0,05/Feb/16,INCREASE
Albania,355,0.1239,0,05/Feb/16,INCREASE
Albania AMC,35521,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35522,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35524,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35526,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35527,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35528,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35529,0.1245,0,05/Feb/16,INCREASE
Albania AMC,3553,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35546,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35547,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35548,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35549,0.1245,0,05/Feb/16,INCREASE
Albania AMC,3555,0.1245,0,05/Feb/16,INCREASE
Albania AMC,35572,0.1245,0,05/Feb/16,INCREASE
Albania AMC,3558,0.1245,0,05/Feb/16,INCREASE
Albania Mobile AMC,35568,0.2139,0,05/Feb/16,INCREASE
Albania Mobile Eagle,35567,0.2548,0,05/Feb/16,INCREASE
Albania Mobile Plus,35566,0.2468,0,05/Feb/16,INCREASE
Albania Mobile Vodafone,35569,0.1997,0,30/Jan/16,SAME
Albania Tirane,355422,0.1284,0,30/Jan/16,SAME
Albania Tirane,355423,0.1284,0,30/Jan/16,SAME
Albania Tirane,355424,0.1284,0,30/Jan/16,SAME
Albania Tirane,35543,0.1284,0,30/Jan/16,SAME
Algeria,213,0.0495,0,29/Jan/16,SAME
Algeria Alger,21320,0.037,0,13/Nov/15,SAME
Algeria Alger,21321,0.037,0,13/Nov/15,SAME
Algeria Alger,21322,0.037,0,13/Nov/15,SAME
Algeria Mobile Mobilis,21365,0.271,0,30/Jan/16,SAME
Algeria Mobile Mobilis,21366,0.271,0,30/Jan/16,SAME
Algeria Mobile Mobilis,21367,0.271,0,30/Jan/16,SAME
Algeria Mobile Mobilis,21368,0.271,0,30/Jan/16,SAME
Algeria Mobile Mobilis,21369,0.271,0,30/Jan/16,SAME
Algeria Mobile Orascom,21377,0.2587,0,30/Jan/16,SAME
Algeria Mobile Orascom,21378,0.2587,0,30/Jan/16,SAME
Algeria Mobile Orascom,21379,0.2587,0,30/Jan/16,SAME
Algeria Mobile Wataniya,2135,0.35,0,23/Sep/15,SAME
American Samoa,1684,0.0229,0,30/Jan/16,SAME
Andorra,376,0.0143,0,30/Jan/16,SAME
Andorra Mobile,3763,0.1085,0,30/Jan/16,SAME
Andorra Mobile,3764,0.1085,0,30/Jan/16,SAME
Andorra Mobile,3766,0.1085,0,30/Jan/16,SAME
Angola,244,0.0415,0,30/Jan/16,SAME
Angola Mobile Movicel,24491,0.0884,0,30/Jan/16,SAME
Angola Mobile Movicel,24499,0.0884,0,30/Jan/16,SAME
Angola Mobile Unitel,24492,0.0968,0,24/Oct/15,SAME
Angola Mobile Unitel,24493,0.0968,0,24/Oct/15,SAME
Angola Mobile Unitel,24494,0.0968,0,24/Oct/15,SAME
Anguilla,1264,0.1584,0,05/Feb/16,INCREASE
Anguilla Mobile Digicel,1264581,0.1793,0,05/Feb/16,INCREASE
Anguilla Mobile Digicel,1264582,0.1793,0,05/Feb/16,INCREASE
Anguilla Mobile Digicel,1264583,0.1793,0,05/Feb/16,INCREASE
Anguilla Mobile Digicel,1264584,0.1793,0,05/Feb/16,INCREASE
Anguilla Mobile Other,1264235,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264469,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264476,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264536,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264537,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264538,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264539,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264543,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264729,0.1789,0,30/Jan/16,SAME
Anguilla Mobile Other,1264772,0.1789,0,30/Jan/16,SAME
Antarctica & Islands,672,1.3574,0,05/Feb/16,INCREASE
Antarctica & Islands Antartic,6721,1.0187,0,30/Jan/16,SAME
Antigua & Barbuda,1268,0.1584,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268464,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268716,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268717,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268718,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268719,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,126872,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268732,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268734,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268736,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,1268764,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,126877,0.1763,0,30/Jan/16,SAME
Antigua & Barbuda Mobile,126878,0.1763,0,30/Jan/16,SAME
Argentina,54,0.022,0,30/Jan/16,SAME
Argentina Bahia Blanca,54291,0.0067,0,30/Jan/16,SAME
Argentina Buenos Aires,5411,0.0037,0,30/Jan/16,SAME
Argentina Cordoba,54351,0.006,0,30/Jan/16,SAME
Argentina Corredores On Net,54232,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,542362,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54237,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54264,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54299,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54332,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54343,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54348,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54358,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54372,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,543783,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54381,0.0162,0,30/Jan/16,SAME
Argentina Corredores On Net,54387,0.0162,0,30/Jan/16,SAME
Argentina La Plata,54221,0.006,0,30/Jan/16,SAME
Argentina Mar del Plata,54223,0.006,0,30/Jan/16,SAME
Argentina Mendoza,54261,0.0063,0,30/Jan/16,SAME
Argentina Mobile,549,0.0624,0,30/Jan/16,SAME
Argentina Rosario,54341,0.0059,0,30/Jan/16,SAME
Argentina Santa Fe,54342,0.0063,0,30/Jan/16,SAME
Armenia,374,0.141,0,30/Jan/16,SAME
Armenia Fixed Ucom,37411,0.1474,0,30/Jan/16,SAME
Armenia Mobile Armentel GSM,37443,0.1522,0,30/Jan/16,SAME
Armenia Mobile Armentel GSM,37491,0.1522,0,30/Jan/16,SAME
Armenia Mobile Armentel GSM,37496,0.1522,0,30/Jan/16,SAME
Armenia Mobile Armentel GSM,37499,0.1522,0,30/Jan/16,SAME
Armenia Mobile Nagorny Karabakh,37497,0.124,0,30/Jan/16,SAME
Armenia Mobile Orange,37441,0.1613,0,30/Jan/16,SAME
Armenia Mobile Orange,37455,0.1613,0,30/Jan/16,SAME
Armenia Mobile Orange,37495,0.1613,0,30/Jan/16,SAME
Armenia Mobile VivaCell,37449,0.1498,0,30/Jan/16,SAME
Armenia Mobile VivaCell,37477,0.1498,0,30/Jan/16,SAME
Armenia Mobile VivaCell,37493,0.1498,0,30/Jan/16,SAME
Armenia Mobile VivaCell,37494,0.1498,0,30/Jan/16,SAME
Armenia Mobile VivaCell,37498,0.1498,0,30/Jan/16,SAME
Armenia Nagorny Karabakh Region,37447,0.1156,0,30/Jan/16,SAME
Armenia Non Geographical,37460,0.1474,0,05/Feb/16,INCREASE
Armenia Yerevan,37410,0.1145,0,05/Feb/16,INCREASE
Aruba,297,0.0723,0,30/Jan/16,SAME
Aruba Mobile Digicel,29763,0.161,0,30/Jan/16,SAME
Aruba Mobile Digicel,29764,0.161,0,30/Jan/16,SAME
Aruba Mobile Digicel,29773,0.161,0,30/Jan/16,SAME
Aruba Mobile Digicel,29774,0.161,0,30/Jan/16,SAME
Aruba Mobile MIO,297600,0.1674,0,30/Jan/16,SAME
Aruba Mobile MIO,297622,0.1674,0,30/Jan/16,SAME
Aruba Mobile Setar,29756,0.1653,0,30/Jan/16,SAME
Aruba Mobile Setar,29759,0.1653,0,30/Jan/16,SAME
Aruba Mobile Setar,29766,0.1653,0,30/Jan/16,SAME
Aruba Mobile Setar,29769,0.1653,0,30/Jan/16,SAME
Aruba Mobile Setar,29796,0.1653,0,30/Jan/16,SAME
Aruba Mobile Setar,29799,0.1653,0,30/Jan/16,SAME
Ascension Island,247,2.16,0,30/Jan/16,SAME
Ascension Island Premium Rate,2470,2.16,0,30/Jan/16,SAME
Ascension Island Premium Rate,2471,2.16,0,30/Jan/16,SAME
Ascension Island Premium Rate,2475,2.16,0,30/Jan/16,SAME
Ascension Island Premium Rate,2478,2.16,0,30/Jan/16,SAME
Ascension Island Premium Rate,2479,2.16,0,30/Jan/16,SAME
Australia,61,0.013,0,30/Jan/16,SAME
Australia Adelaide,61870,0.0119,0,30/Jan/16,SAME
Australia Adelaide,61881,0.0119,0,30/Jan/16,SAME
Australia Adelaide,61882,0.0119,0,30/Jan/16,SAME
Australia Adelaide,61883,0.0119,0,30/Jan/16,SAME
Australia Adelaide,61884,0.0119,0,30/Jan/16,SAME
Australia Brisbane,6172,0.013,0,30/Jan/16,SAME
Australia Brisbane,6173,0.013,0,30/Jan/16,SAME
Australia Canberra,61261,0.0117,0,30/Jan/16,SAME
Australia Canberra,61262,0.0117,0,30/Jan/16,SAME
Australia Melbourne,6138,0.01,0,30/Jan/16,SAME
Australia Melbourne,6139,0.01,0,30/Jan/16,SAME
Australia Mobile,6116,0.0369,0,30/Jan/16,SAME
Australia Mobile,614,0.0369,0,30/Jan/16,SAME
Australia Mobile Optus,61401,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61402,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61403,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61411,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61412,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61413,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61421,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61422,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61423,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61431,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61432,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61434,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61435,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61466,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614683,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614684,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614685,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614686,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614687,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614688,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614689,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61478,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614790,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,614791,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61481,0.0384,0,30/Jan/16,SAME
Australia Mobile Optus,61482,0.0384,0,30/Jan/16,SAME
Australia Mobile Telstra,61400,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61407,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61408,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61409,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61417,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61418,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61419,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61427,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61428,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61429,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61437,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61438,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61439,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614444,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61447,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61448,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61455,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61456,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61457,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61458,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61459,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61467,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61473,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61474,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61475,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61476,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61477,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61484,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61487,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614880,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614881,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614882,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614883,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614884,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614885,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614886,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614887,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614889,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61490,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614910,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614911,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614912,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614913,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,614914,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61497,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61498,0.0386,0,30/Jan/16,SAME
Australia Mobile Telstra,61499,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61404,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61405,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61406,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61410,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61414,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61415,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61416,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614202,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614203,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614204,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614205,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614206,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614207,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614208,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,614209,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61424,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61425,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61426,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61430,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61433,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61449,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61450,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61451,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61452,0.0386,0,30/Jan/16,SAME
Australia Mobile VHA,61453,0.0386,0,30/Jan/16,SAME
Australia Perth,61861,0.0119,0,30/Jan/16,SAME
Australia Perth,61862,0.0119,0,30/Jan/16,SAME
Australia Perth,61863,0.0119,0,30/Jan/16,SAME
Australia Perth,61864,0.0119,0,30/Jan/16,SAME
Australia Perth,61865,0.0119,0,30/Jan/16,SAME
Australia Perth,61892,0.0119,0,30/Jan/16,SAME
Australia Perth,61893,0.0119,0,30/Jan/16,SAME
Australia Perth,61894,0.0119,0,30/Jan/16,SAME
Australia Satellite Services,6114,2.16,0,30/Jan/16,SAME
Australia Shared Cost Service,61000,2.16,0,30/Jan/16,SAME
Australia Shared Cost Service,61106,2.16,0,30/Jan/16,SAME
Australia Shared Cost Service,61112,2.16,0,30/Jan/16,SAME
Australia Shared Cost Service,6113,2.16,0,30/Jan/16,SAME
Australia Shared Cost Service,6118,2.16,0,30/Jan/16,SAME
Australia Sydney,6128,0.0117,0,30/Jan/16,SAME
Australia Sydney,6129,0.0117,0,30/Jan/16,SAME
Austria,43,0.0057,0,30/Jan/16,SAME
Austria Mobile Hutchison 3G,43660,0.0141,0,24/Oct/15,SAME
Austria Mobile Hutchison 3G,4367833,0.0141,0,24/Oct/15,SAME
Austria Mobile Hutchison 3G,4367890,0.0141,0,24/Oct/15,SAME
Austria Mobile Hutchison 3G,4367891,0.0141,0,24/Oct/15,SAME
Austria Mobile Hutchison 3G,4368183,0.0141,0,24/Oct/15,SAME
Austria Mobile Hutchison 3G,4368190,0.0141,0,24/Oct/15,SAME
Austria Mobile Hutchison 3G,43699,0.0141,0,24/Oct/15,SAME
Austria Mobile Mobilkom A1,43664,0.014,0,05/Feb/16,INCREASE
Austria Mobile Mobilkom A1,43680,0.014,0,05/Feb/16,INCREASE
Austria Mobile Mobilkom A1,43688,0.014,0,05/Feb/16,INCREASE
Austria Mobile Mobilkom A1,4369988,0.014,0,05/Feb/16,INCREASE
Austria Mobile Mobilkom A1,4369989,0.014,0,05/Feb/16,INCREASE
Austria Mobile One,43681,0.0134,0,30/Jan/16,SAME
Austria Mobile T-Mobile,43650,0.0137,0,30/Jan/16,SAME
Austria Mobile T-Mobile,43676,0.0137,0,30/Jan/16,SAME
Austria Mobile T-Mobile,43677,0.0137,0,30/Jan/16,SAME
Austria Mobile Truck Locator Service,4312288,0.0057,0,30/Jan/16,SAME
Austria Mobile Truck Locator Service,43123009,0.0057,0,30/Jan/16,SAME
Austria Premium numbers,43711,2.16,0,30/Jan/16,SAME
Austria Premium numbers,43730,2.16,0,30/Jan/16,SAME
Austria Premium numbers,43740,2.16,0,30/Jan/16,SAME
Austria Premium numbers,43810,2.16,0,30/Jan/16,SAME
Austria Premium numbers,43820,2.16,0,30/Jan/16,SAME
Austria Private numbers,43501,2.16,0,30/Jan/16,SAME
Austria Private numbers,43502,2.16,0,30/Jan/16,SAME
Austria Private numbers,43503,2.16,0,30/Jan/16,SAME
Austria Private numbers,43504,2.16,0,30/Jan/16,SAME
Austria Private numbers,43505,2.16,0,30/Jan/16,SAME
Austria Private numbers,43506,2.16,0,30/Jan/16,SAME
Austria Private numbers,43507,2.16,0,30/Jan/16,SAME
Austria Private numbers,43508,2.16,0,30/Jan/16,SAME
Austria Private numbers,43509,2.16,0,30/Jan/16,SAME
Austria Private numbers,43517,2.16,0,30/Jan/16,SAME
Austria Private numbers,4357,2.16,0,30/Jan/16,SAME
Austria Private numbers,4359,2.16,0,30/Jan/16,SAME
Austria Special Service,43720,2.16,0,30/Jan/16,SAME
Austria Special Service,43780,2.16,0,30/Jan/16,SAME
Austria Vienna,431,0.0057,0,30/Jan/16,SAME
Azerbaijan,994,0.1638,0,30/Jan/16,SAME
Azerbaijan Baku,99412,0.1624,0,30/Jan/16,SAME
