QMS Diversified Global Macro Strategy,,,,,,,,
Date,Daily Return,,,,,,,
2010-05-17 00:00:00,0.002552029,,,,,,,
2010-05-18 00:00:00,-0.005269256,,,,,,,
2010-05-19 00:00:00,-0.025666163,,,,,,,
2010-05-20 00:00:00,-0.030332263,,,,,,,
2010-05-21 00:00:00,0.009299737,,,,,,,
2010-05-24 00:00:00,-0.00513239,,,,,,,
2010-05-25 00:00:00,0.011045737,,,,,,,
2010-05-26 00:00:00,-0.006951063,,,,,,,
2010-05-27 00:00:00,0.010481237,,,,,,,
2010-05-28 00:00:00,-0.001131463,,,,,,,
2010-05-31 00:00:00,0.00189111,,,,,,,
2010-06-01 00:00:00,-0.004249482,,,,,,,
2010-06-02 00:00:00,0.012106844,,,,,,,
2010-06-03 00:00:00,-0.003792256,,,,,,,
2010-06-04 00:00:00,0.005179044,,,,,,,
2010-06-07 00:00:00,-0.003111767,,,,,,,
2010-06-08 00:00:00,0.007601444,,,,,,,
2010-06-09 00:00:00,-0.005545856,,,,,,,
2010-06-10 00:00:00,-8.27556E-05,,,,,,,
2010-06-11 00:00:00,0.003125344,,,,,,,
2010-06-14 00:00:00,-0.010513767,,,,,,,
2010-06-15 00:00:00,0.000249944,,,,,,,
2010-06-16 00:00:00,-0.002555356,,,,,,,
2010-06-17 00:00:00,0.009423644,,,,,,,
2010-06-18 00:00:00,-0.011251656,,,,,,,
2010-06-21 00:00:00,-0.005491167,,,,,,,
2010-06-22 00:00:00,0.010882544,,,,,,,
2010-06-23 00:00:00,0.008826544,,,,,,,
2010-06-24 00:00:00,-0.001658056,,,,,,,
2010-06-25 00:00:00,0.005235544,,,,,,,
2010-06-28 00:00:00,0.008215833,,,,,,,
2010-06-29 00:00:00,-0.004298256,,,,,,,
2010-06-30 00:00:00,-0.000132656,,,,,,,
2010-07-01 00:00:00,-0.005488856,,,,,,,
2010-07-02 00:00:00,-0.005996756,,,,,,,
2010-07-05 00:00:00,0.003996333,,,,,,,
2010-07-06 00:00:00,0.000992744,,,,,,,
2010-07-07 00:00:00,-0.001326656,,,,,,,
2010-07-08 00:00:00,-0.005880356,,,,,,,
2010-07-09 00:00:00,0.001199444,,,,,,,
2010-07-12 00:00:00,0.008371833,,,,,,,
2010-07-13 00:00:00,0.004935744,,,,,,,
2010-07-14 00:00:00,-0.002788756,,,,,,,
2010-07-15 00:00:00,0.004636944,,,,,,,
2010-07-16 00:00:00,-0.008314756,,,,,,,
2010-07-19 00:00:00,-0.006238267,,,,,,,
2010-07-20 00:00:00,0.006618344,,,,,,,
2010-07-21 00:00:00,0.006218244,,,,,,,
2010-07-22 00:00:00,0.009138744,,,,,,,
2010-07-23 00:00:00,-0.005843456,,,,,,,
2010-07-26 00:00:00,-0.007700767,,,,,,,
2010-07-27 00:00:00,0.003719444,,,,,,,
2010-07-28 00:00:00,-0.005557356,,,,,,,
2010-07-29 00:00:00,-0.001590556,,,,,,,
2010-07-30 00:00:00,0.016408244,,,,,,,
2010-08-02 00:00:00,0.011221637,,,,,,,
2010-08-03 00:00:00,0.003392404,,,,,,,
2010-08-04 00:00:00,0.003539069,,,,,,,
2010-08-05 00:00:00,-0.002338531,,,,,,,
2010-08-06 00:00:00,0.000202749,,,,,,,
2010-08-09 00:00:00,0.003728408,,,,,,,
2010-08-10 00:00:00,-0.004429251,,,,,,,
2010-08-11 00:00:00,0.006175549,,,,,,,
2010-08-12 00:00:00,-0.003753251,,,,,,,
2010-08-13 00:00:00,0.000137469,,,,,,,
2010-08-16 00:00:00,0.006965128,,,,,,,
2010-08-17 00:00:00,0.001344429,,,,,,,
2010-08-18 00:00:00,0.001192509,,,,,,,
2010-08-19 00:00:00,-0.006323731,,,,,,,
2010-08-20 00:00:00,0.002470909,,,,,,,
2010-08-23 00:00:00,0.001320968,,,,,,,
2010-08-24 00:00:00,-0.001589811,,,,,,,
2010-08-25 00:00:00,0.004578989,,,,,,,
2010-08-26 00:00:00,-0.001636451,,,,,,,
2010-08-27 00:00:00,0.000943469,,,,,,,
2010-08-30 00:00:00,-0.003553352,,,,,,,
2010-08-31 00:00:00,0.004979229,,,,,,,
2010-09-01 00:00:00,-0.002793375,,,,,,,
2010-09-02 00:00:00,-0.004187564,,,,,,,
2010-09-03 00:00:00,-0.004175164,,,,,,,
2010-09-06 00:00:00,-0.003402053,,,,,,,
2010-09-07 00:00:00,0.007454116,,,,,,,
2010-09-08 00:00:00,0.000508756,,,,,,,
2010-09-09 00:00:00,-0.003974604,,,,,,,
2010-09-10 00:00:00,-0.002524204,,,,,,,
2010-09-13 00:00:00,0.002346587,,,,,,,
2010-09-14 00:00:00,0.002001076,,,,,,,
2010-09-15 00:00:00,0.003852596,,,,,,,
2010-09-16 00:00:00,-0.000506444,,,,,,,
2010-09-17 00:00:00,-0.001569004,,,,,,,
2010-09-20 00:00:00,0.004945867,,,,,,,
2010-09-21 00:00:00,0.005748196,,,,,,,
2010-09-22 00:00:00,0.003974356,,,,,,,
2010-09-23 00:00:00,-0.001467404,,,,,,,
2010-09-24 00:00:00,0.006090356,,,,,,,
2010-09-27 00:00:00,0.002014507,,,,,,,
2010-09-28 00:00:00,0.003834516,,,,,,,
2010-09-29 00:00:00,0.001884356,,,,,,,
2010-09-30 00:00:00,-0.001141004,,,,,,,
2010-10-01 00:00:00,0.000504183,,,,,,,
2010-10-04 00:00:00,0.000156949,,,,,,,
2010-10-05 00:00:00,0.004283143,,,,,,,
2010-10-06 00:00:00,0.003076183,,,,,,,
2010-10-07 00:00:00,-0.005398217,,,,,,,
2010-10-08 00:00:00,0.006948743,,,,,,,
2010-10-11 00:00:00,-0.001553851,,,,,,,
2010-10-12 00:00:00,0.001631703,,,,,,,
2010-10-13 00:00:00,0.010264503,,,,,,,
2010-10-14 00:00:00,-0.002816457,,,,,,,
2010-10-15 00:00:00,-0.005749497,,,,,,,
2010-10-18 00:00:00,-0.000981851,,,,,,,
2010-10-19 00:00:00,-0.009620217,,,,,,,
2010-10-20 00:00:00,0.007586823,,,,,,,
2010-10-21 00:00:00,-0.000528217,,,,,,,
2010-10-22 00:00:00,0.001641143,,,,,,,
2010-10-25 00:00:00,0.002684069,,,,,,,
2010-10-26 00:00:00,-0.006902057,,,,,,,
2010-10-27 00:00:00,-0.011228297,,,,,,,
2010-10-28 00:00:00,0.003985463,,,,,,,
2010-10-29 00:00:00,0.012499463,,,,,,,
2010-11-01 00:00:00,0.006867316,,,,,,,
2010-11-02 00:00:00,0.003731476,,,,,,,
2010-11-03 00:00:00,0.003528196,,,,,,,
2010-11-04 00:00:00,0.017668916,,,,,,,
2010-11-05 00:00:00,-0.003685564,,,,,,,
2010-11-08 00:00:00,-0.007814933,,,,,,,
2010-11-09 00:00:00,-0.004324044,,,,,,,
2010-11-10 00:00:00,0.000289476,,,,,,,
2010-11-11 00:00:00,-0.003157724,,,,,,,
2010-11-12 00:00:00,-0.009386444,,,,,,,
2010-11-15 00:00:00,-0.007851653,,,,,,,
2010-11-16 00:00:00,-0.013297644,,,,,,,
2010-11-17 00:00:00,0.004518276,,,,,,,
2010-11-18 00:00:00,0.004301476,,,,,,,
2010-11-19 00:00:00,-0.003304364,,,,,,,
2010-11-22 00:00:00,-0.000239413,,,,,,,
2010-11-23 00:00:00,-0.006182124,,,,,,,
2010-11-24 00:00:00,-0.000830044,,,,,,,
2010-11-25 00:00:00,0.001738836,,,,,,,
2010-11-26 00:00:00,-0.006045484,,,,,,,
2010-11-29 00:00:00,-0.005029093,,,,,,,
2010-11-30 00:00:00,0.001505956,,,,,,,
2010-12-01 00:00:00,0.004890589,,,,,,,
2010-12-02 00:00:00,-0.000188771,,,,,,,
2010-12-03 00:00:00,-0.002218291,,,,,,,
2010-12-06 00:00:00,0.008683048,,,,,,,
2010-12-07 00:00:00,-0.009574211,,,,,,,
2010-12-08 00:00:00,-0.006333411,,,,,,,
2010-12-09 00:00:00,-0.002315251,,,,,,,
2010-12-10 00:00:00,-0.000707731,,,,,,,
2010-12-13 00:00:00,0.001177208,,,,,,,
2010-12-14 00:00:00,-0.009319651,,,,,,,
2010-12-15 00:00:00,-0.000247971,,,,,,,
2010-12-16 00:00:00,0.000621949,,,,,,,
2010-12-17 00:00:00,0.008035149,,,,,,,
2010-12-20 00:00:00,0.008503048,,,,,,,
2010-12-21 00:00:00,0.000929949,,,,,,,
2010-12-22 00:00:00,-0.001589651,,,,,,,
2010-12-23 00:00:00,-0.000994611,,,,,,,
2010-12-24 00:00:00,0.001875789,,,,,,,
2010-12-27 00:00:00,0.000290008,,,,,,,
2010-12-28 00:00:00,-0.003252451,,,,,,,
2010-12-29 00:00:00,0.000638269,,,,,,,
2010-12-30 00:00:00,0.000565149,,,,,,,
2010-12-31 00:00:00,0.005743149,,,,,,,
2011-01-03 00:00:00,0.004039229,,,,,,,
2011-01-04 00:00:00,0.003931789,,,,,,,
2011-01-05 00:00:00,0.004537709,,,,,,,
2011-01-06 00:00:00,0.001971149,,,,,,,
2011-01-07 00:00:00,0.001321789,,,,,,,
2011-01-10 00:00:00,-8.89523E-05,,,,,,,
2011-01-11 00:00:00,-0.002428211,,,,,,,
2011-01-12 00:00:00,0.007933069,,,,,,,
2011-01-13 00:00:00,0.002610269,,,,,,,
2011-01-14 00:00:00,-0.004479491,,,,,,,
2011-01-17 00:00:00,-0.000583112,,,,,,,
2011-01-18 00:00:00,0.001198429,,,,,,,
2011-01-19 00:00:00,-0.007529091,,,,,,,
2011-01-20 00:00:00,-0.006681891,,,,,,,
2011-01-21 00:00:00,0.004801789,,,,,,,
2011-01-24 00:00:00,-0.002331272,,,,,,,
2011-01-25 00:00:00,-0.001779971,,,,,,,
2011-01-26 00:00:00,-0.002675491,,,,,,,
2011-01-27 00:00:00,0.012313869,,,,,,,
2011-01-28 00:00:00,-0.012436131,,,,,,,
2011-01-31 00:00:00,-0.000197512,,,,,,,
2011-02-01 00:00:00,0.009601079,,,,,,,
2011-02-02 00:00:00,0.011392941,,,,,,,
2011-02-03 00:00:00,-0.008660979,,,,,,,
2011-02-04 00:00:00,0.006647021,,,,,,,
