CMTS Type:,acr,Version:,8.45,,OTN/Hub Name:,A1Atlanta (GA),,Cities Served:,Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,downloaded 8.45
# of Nodes:,104,Submitted date:,01/18/2015,,Facility DNS:,A1atlanta.ga,,Opt Tran:,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total HHP:,5031,Implementation Date:,01/19/2015,,CLLI Code:,ATLAGA31,,Opt Rec:,101,,MULTI-CONFIG:,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indicator City,State,Fiber Node,Corp ID (DST) or Sys Prin (CSG) or SysPrinAgent (CSG),GL,Virtual Node Indicator,Old Node ID (If Applicable),Homes Passed,Optical Transmitter,Optical Receiver,Service Delivery Type,Unit ID (DNS),Unit ID - IP,MAC Domain,Downstream Slot,Downstream Physical Port,I-CMTS Logical Downstream Port,Downstream Freq. (MHz),Downstream Modulation (64 or 256QAM),EDGE QAM Name,EDGE QAM IP,Modular RF Channel ID,EDGE QAM Input Port,EDGE QAM Output Slot,EDGE QAM Output Port,EDGE QAM Output Port Channel,Upstream Slot,Logical Upstream Port,Physical Upstream Port,Upstream Freq. (Mhz),Upstream Channel Width (MHz),"Upstream Modulation (8,16,32,64, 128QAM or QPSK)",Multiplexing Technique,Serving Group,NCP Changes (previous serving groups or notes),Modem Count,Node Group,Downstream Plant,OM-1000 Name,NC-1500 Name,EMM Multicast IP,SI Multicast IP,DSG RADD Name,DSG RADD Device IP,OM-1000 Device IP,SCTE-18 EAS Name,SCTE-18 EAS Encoder IP,SCTE-18 EAS Model,SCTE-18 EAS Multicast IP,SCTE-65 Multicast IP,XAIT Multicast IP,XAIT Device IP,SA (CA) Multicast IP,SA DNCS DBDS Interface IP,VOD Server Group,FFOArea,PlantOps,TechOps,HeadEndOps,MTA Count,MARKET DEFINED 1,MARKET DEFINED 2,MARKET DEFINED 3,MARKET DEFINED 4,MARKET DEFINED 5
Atlanta,GA,A1004,82201800,000570,TBD,,0,12,5A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,24,10,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",14,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/7/15/2/14/10,,239,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,100,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,239,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1005B,82201800,000570,TBD,,0,95,31,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,22,10,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,2,"8,9,10",11,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-10/5/15/2/11/10,,135,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,76,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,135,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1006,82201800,000570,TBD,,0,4,2C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,4,12,3,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",3,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-12/3/15/1/3/2,,276,4,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,143,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,276,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1007A,82201800,000570,TBD,,0,37,13C,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,14,11,5,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,1,"0,1,2",18,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-11/5/15/1/18/2,,96,14,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,51,
Total Node,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,96,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
Atlanta,GA,A1011A,82201800,000570,TBD,,609,32,3A,PacketCable,acr01.a1atlanta.ga.atlanta.comcast.net,68.85.11.60,31,9,6,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15","657,663,669,675,681,687,693,699,705,711,717,723,729,735,741,747","256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM,256QAM",,,,,,,,3,"4,5,6",4,"34.8,27.9,21","6.4,6.4,6.4","64QAM,64QAM,64QAM","ATDMA,ATDMA,ATDMA",acr01.a1atlanta.ga.atlanta.comcast.net-9/6/15/3/4/6,,163,,DSP-A1 (C.FULT),,,232.54.4.65,232.54.4.131,DSGVIRADD1,69.240.144.130,,VINEAS1,69.240.144.138,Trilithic EASyPlus,232.54.4.1,,232.54.7.0,76.96.0.226,,,232.54.7.131,76.96.0.226,232.54.7.3,76.96.0.226,,0,,,,98,
Total Node,,,,,,,609,,,,,,,,,,,,,,,,,,,,,,,,Total Node,,,,163,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
