TWT S.p.a. - Viale Jenner 33 - 20159 Milano,,,,,,
,,,,,,
COMUNICA IT SERVICES SA,,,,,Peak Hours,Off peak hours
Currency - EURO,,,,Mon-Fri,8.00 - 18.30,0.00 - 8.00 / 18.30 - 24:00
CARRIER wholesale,,,,Sat,8.00 - 13.00,0.00 - 8.00 / 13.00 - 24.00
,,,,Sun,,0.00 - 24.00
,,,,,,
"For Mexico all country billing increments are 60/60. For Gambia all country a minimum call duration of 60 seconds and, after the",,,,,,
"first minute, billing increments will be per second (billing increment 60/1). For all other destinations billing increments",,,,,,
"are in seconds (1/1).
With reference to the  introduction of different MTR based on originating CLI, notified from Italian",,,,,,
"mobile Operators Wind – TIM – H3G - Vodafone – Noverca, please be aware that TWT applies surcharges to calls:",,,,,,
•              originating from customers of operators belonging to countries listed in the annexes to our notifications,,,,,,
•              with missing or invalid or modified CLI,,,,,,
•              terminating onto the mobile networks of the mentioned operators,,,,,,
The surcharge will be applied as follows:,,,,,,
"•              WIND: 0.0502 Euro/min or 0.0542 USD/min;  only calls from Switzerland mobile Orange, Switzerland mobile Swisscom and calls with missing, invalid or modified CLI 0.1102 Euro/min or 0.1196 USD/min *",,,,,,
•              TIM: 0.0500 Euro/min or 0.0575 USD/min *,,,,,,
•              VODAFONE:  0.0524 Euro/min or 0.06026 USD/min *,,,,,,
"•              H3G: AREA A – no surcharge will be applied; AREA B - 0.0200 Euro/min – 0.0225 USD/min *;AREA C – 0.0800 Euro/min - 0.0900 USD/min *;AREA D – 0.1700 Euro/min - 0.1913 USD/min (calls with missing, invalid or modified CLI belongs to this Area)*",,,,,,
•              NOVERCA: 0.0500 Euro/min or 0.0575 USD/min *,,,,,,
* (depending on the currency stated in our agreement – rates in USD can be revised accordingly to exchange rate),,,,,,
,,,,,,
Destinations,Code,Peak,Off peak,Effective,Route Type,Comment
Afghanistan,93,0.146551,0.146551,19/01/2016,-,==
Afghanistan Mobile,937,0.113990,0.113990,19/01/2016,-,==
Afghanistan Mobile AT,9375,0.139579,0.139579,19/01/2016,-,==
Afghanistan Mobile AWCC,9370,0.070232,0.070232,19/01/2016,-,==
Afghanistan Mobile AWCC,93708996,0.070232,0.070232,19/01/2016,-,==
Afghanistan Mobile AWCC,93708997,0.070232,0.070232,19/01/2016,-,==
Afghanistan Mobile Etisalat,9378,0.045596,0.045596,19/01/2016,-,==
Afghanistan Mobile MTN,9376,0.072539,0.072539,19/01/2016,-,==
Afghanistan Mobile MTN,9377,0.072539,0.072539,19/01/2016,-,==
Afghanistan Mobile Roshan,9372,0.077819,0.077819,19/01/2016,-,==
Afghanistan Mobile Roshan,9379,0.077819,0.077819,19/01/2016,-,==
Afghanistan Mobile Roshan,93798002,0.077819,0.077819,19/01/2016,-,==
Afghanistan Mobile Roshan,93798009,0.077819,0.077819,19/01/2016,-,==
Albania,355,0.116970,0.116970,19/01/2016,-,==
Albania,35538,0.116970,0.116970,19/01/2016,-,==
Albania Albtelekom,355222,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355242,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355322,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355342,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355352,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355472,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355522,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355532,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355542,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355822,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355832,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355842,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,355852,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552112,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552122,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552132,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552142,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552152,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552162,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552172,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552182,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552192,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552712,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3552812,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553112,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553122,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553132,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553612,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553682,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553712,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553812,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553822,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553912,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553922,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3553932,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555112,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555122,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555132,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555142,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555542,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555612,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555632,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555712,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555732,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555772,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555812,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555822,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3555912,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558112,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558122,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558132,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558142,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558152,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558612,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558712,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558752,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558812,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558852,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558912,0.117157,0.117157,19/01/2016,-,==
Albania Albtelekom,3558932,0.117157,0.117157,19/01/2016,-,==
Albania Alternativ,355334,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,355345,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,355443,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,355445,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,355447,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,355448,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,355828,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3552244,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3552260,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3552272,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3552280,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3552614,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3552667,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553260,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553261,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553360,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553371,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553450,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553460,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553622,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553632,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553833,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553844,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553854,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553858,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553882,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553942,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553944,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553953,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553962,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3553967,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554410,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554430,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554431,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554432,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554440,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554441,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554442,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554450,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554451,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554452,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554453,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554454,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554520,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554852,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3554881,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555242,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555250,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555290,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555441,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555451,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555839,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3555863,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558250,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558633,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558655,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558662,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558667,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558673,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558679,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558742,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558747,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558819,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558822,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558827,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558829,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558836,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558843,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558849,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558917,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558919,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558923,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558934,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558942,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558952,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,3558956,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521150,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521153,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521262,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521362,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521460,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521540,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521541,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521542,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521543,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521544,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521545,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521570,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521662,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521762,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521840,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521844,0.110000,0.110000,19/01/2016,-,==
Albania Alternativ,35521962,0.110000,0.110000,19/01/2016,-,==
