ID,TOTAL,MAIN,SUB
A,DOG & CAT PRODUCTS,Dog & Cat Product,
B,BIRD PRODUCTS,Bird Product,
C,SMALL ANIMAL PRODUCTS,Small Animal Product,
D,GIFT VOUCHER,,
E,,,
F,FISH PRODUCTS,Fish Product,
G,GROOMING,Gooming,
H,,,
I,,,
J,REMAINDERED,Remaindered Stock,
K,PET KITTEN,Pet Kitten,
L,PET SMALL ANIMAL,Pet Small Animal,
M,MICROCHIPPING,Microchipping,
N,PET FISH,Pet Fish,
O,PET BIRD,Pet Bird,
P,PET PUPPY,Pet Puppy,
Q,,,
R,,,
S,PET SITTING/BOARDING,Pet Sitting/Boarding,
T,TANK RESCUE,Training - Dog fees,
U,,,
V,FOOD DOG & CAT,Dog & Cat Food,
W,FOOD BIRDS,Bird Food,
X,FOOD SMALL ANIMAL,Small Animal Food,
Y,TREATS FOR ALL,Treats For All,
Z,GIFTWARE,Giftware,
