,Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
,1,11698.24,10700.21,11499.85,12309.62,10475.61,11298.08,10002.23,9983.63,2498.95,2522.95,2518.23,2524.18,10547.07,11884.72,11258.40,11170.92,10795.25,10952.57,10247.37,10447.80,2556.52,2545.97,2539.41,2525.69,11156.42,11510.57,10988.41,10948.35,11098.03,11360.12,10656.25,11393.19,2519.78,2519.33,2536.77,2529.96,11380.44,11631.12,9602.33,10628.79,15448.12,16947.54,2499.18,2524.45,2507.35,2514.72,2522.26,2536.48,11507.29,11883.12,10022.55,10198.26,15905.60,16835.55,2491.55,2513.82,2485.35,2527.87,2510.80,2525.61,11192.54,11285.18,10232.97,10671.19,14948.73,15195.23,2492.01,2486.22,2498.48,2507.23,2513.77,2499.71,11226.80,10706.27,10325.47,10428.30,2503.35,2490.41,2511.17,2471.20,2492.16,2507.42,2510.07,2535.23,11810.04,11207.92,9605.67,9450.13,2482.86,2486.74,2484.59,2484.26,2487.97,2502.54,2501.12,2525.11
,2,11505.15,10526.53,11287.27,12208.30,10453.27,11186.45,9921.73,9895.41,2503.61,2527.87,2519.07,2524.54,10292.96,11659.47,11047.63,11099.82,10730.84,10898.32,10204.68,10375.85,2560.68,2554.82,2542.79,2532.98,10911.63,11311.08,10927.61,10887.54,11029.50,11243.40,10613.91,11297.60,2522.76,2523.80,2540.00,2532.80,11152.64,11506.96,9550.21,10610.34,15237.69,16885.76,2505.99,2528.67,2511.82,2522.05,2520.41,2541.97,11285.54,11772.44,9985.44,10106.02,15776.00,16741.26,2491.99,2517.40,2491.11,2534.73,2513.23,2526.02,10976.74,11167.40,10222.89,10605.82,14916.43,15039.03,2501.26,2493.53,2498.57,2511.81,2518.89,2502.43,11072.10,10496.43,10301.71,10292.17,2503.37,2497.35,2519.80,2475.50,2492.33,2508.38,2510.85,2539.93,11654.93,11073.58,9554.26,9335.94,2484.47,2488.61,2488.11,2490.80,2493.96,2506.58,2497.70,2524.02
,3,11371.20,10400.43,11102.50,12022.13,10395.54,11098.02,9887.66,9837.15,2505.88,2534.88,2524.32,2531.00,10089.80,11475.52,10804.64,10912.37,10666.73,10835.91,10160.68,10312.87,2562.92,2557.83,2546.70,2537.78,10776.94,11060.44,10873.35,10821.79,10966.01,11148.26,10543.55,11219.16,2531.34,2534.28,2543.02,2540.97,10940.79,11400.89,9500.58,10545.60,15158.52,16811.11,2511.79,2536.24,2516.13,2524.37,2520.64,2549.39,11074.89,11676.87,9956.21,10058.39,15677.75,16660.14,2497.02,2520.78,2493.89,2542.10,2518.77,2531.27,10766.23,11022.03,10152.72,10549.33,14802.01,14931.36,2502.66,2498.10,2509.22,2515.46,2524.51,2509.43,10922.94,10243.69,10257.97,10193.15,2509.27,2503.37,2525.46,2479.71,2504.17,2515.30,2512.97,2540.23,11493.69,10925.38,9513.70,9267.32,2487.99,2494.79,2492.55,2493.91,2496.70,2511.52,2504.37,2536.18
,4,11324.93,10323.49,10957.81,11829.62,10333.29,11035.78,9841.48,9777.29,2509.07,2535.63,2528.48,2537.81,10018.53,11425.74,10616.25,10683.93,10618.08,10793.46,10106.98,10272.95,2565.92,2562.88,2549.44,2542.62,10670.59,10897.36,10836.47,10764.06,10916.81,11091.79,10498.45,11184.64,2532.20,2535.80,2546.97,2543.61,10804.11,11296.34,9461.50,10498.47,15122.76,16718.24,2516.78,2538.92,2519.02,2531.16,2535.27,2555.06,10952.36,11545.45,9921.92,10018.73,15599.57,16573.71,2503.64,2530.98,2499.97,2545.68,2529.67,2541.86,10616.50,10871.87,10127.22,10499.64,14698.34,14860.68,2512.53,2499.44,2511.75,2524.48,2530.00,2514.28,10889.45,10038.99,10187.78,10133.92,2514.28,2505.99,2526.29,2487.25,2508.02,2520.65,2525.56,2550.07,11376.37,10754.08,9458.81,9201.68,2493.32,2503.10,2497.68,2501.93,2500.68,2519.00,2510.47,2537.82
,5,11277.89,10291.66,10881.67,11694.71,10281.84,11002.20,9803.33,9740.48,2514.85,2541.61,2533.01,2542.15,9975.17,11359.09,10563.29,10555.74,10586.81,10762.82,10081.74,10225.70,2572.77,2566.94,2558.04,2549.50,10629.64,10878.22,10795.13,10733.94,10883.77,11055.44,10464.42,11148.44,2537.53,2536.63,2547.19,2549.85,10768.53,11132.00,9434.50,10481.73,15054.17,16671.43,2518.17,2546.58,2527.01,2536.40,2535.01,2556.19,10914.69,11421.83,9889.79,9989.02,15525.53,16519.22,2506.48,2532.75,2507.30,2552.76,2528.73,2543.94,10560.91,10699.62,10077.66,10476.19,14661.21,14799.04,2514.90,2505.65,2520.30,2528.03,2535.66,2521.92,10866.46,9925.70,10145.91,10096.67,2523.27,2510.16,2535.02,2491.69,2514.76,2524.82,2533.20,2558.73,11299.63,10606.19,9416.03,9161.05,2498.15,2505.77,2503.10,2504.98,2507.64,2523.76,2515.57,2544.66
,6,11233.92,10251.63,10838.49,11616.52,10247.73,10954.05,9775.03,9703.03,2521.69,2544.88,2534.49,2546.88,9946.79,11311.79,10540.20,10517.42,10542.46,10724.54,10043.35,10199.64,2575.95,2567.88,2560.37,2556.69,10592.53,10847.74,10763.79,10703.73,10850.44,11019.60,10428.25,11111.01,2542.56,2541.65,2558.15,2557.64,10744.58,10980.25,9407.08,10441.04,15005.32,16617.43,2525.54,2550.78,2528.56,2540.07,2539.21,2568.84,10883.61,11253.13,9858.66,9959.61,15464.21,16454.41,2507.24,2533.44,2510.04,2553.18,2534.22,2551.69,10518.99,10553.87,10048.07,10447.48,14614.40,14748.50,2518.54,2512.59,2523.43,2531.03,2540.14,2527.31,10831.55,9893.56,10117.83,10062.41,2524.39,2519.09,2540.35,2498.56,2520.43,2529.97,2531.97,2560.02,11263.24,10470.17,9381.55,9134.16,2499.45,2509.28,2507.07,2511.64,2517.26,2526.15,2521.77,2550.22
,7,11204.70,10216.30,10808.16,11589.32,10213.78,10911.68,9750.83,9664.56,2521.94,2550.09,2538.20,2548.80,9912.54,11276.89,10488.89,10483.22,10509.08,10687.37,10012.42,10164.86,2578.81,2574.50,2562.70,2553.98,10562.44,10797.09,10725.85,10672.78,10809.34,10992.06,10404.37,11088.96,2548.01,2545.07,2563.05,2559.71,10705.64,10843.87,9393.04,10404.52,14955.46,16571.96,2528.53,2553.28,2534.33,2543.66,2541.95,2568.57,10852.40,11070.47,9830.62,9940.73,15401.60,16400.40,2514.90,2542.41,2516.13,2556.32,2540.39,2558.01,10482.21,10477.20,10013.32,10417.22,14559.16,14695.78,2519.25,2513.73,2525.44,2535.50,2543.87,2531.72,10786.73,9856.59,10086.99,10031.06,2529.84,2516.53,2544.20,2500.53,2522.47,2535.12,2536.43,2565.44,11220.17,10396.28,9342.11,9106.57,2504.71,2513.93,2513.72,2512.84,2515.10,2530.27,2526.45,2556.30
,8,11179.51,10198.37,10763.39,11556.36,10189.47,10897.81,9727.57,9642.08,2531.44,2552.99,2548.85,2551.62,9894.08,11249.83,10466.55,10449.64,10472.95,10657.93,9983.92,10135.36,2582.04,2573.55,2566.54,2564.52,10516.97,10784.28,10708.13,10645.85,10805.59,10947.40,10378.60,11064.43,2547.50,2552.97,2564.13,2562.36,10672.97,10782.58,9372.74,10382.78,14935.92,16543.74,2533.37,2558.05,2538.58,2546.07,2542.83,2573.28,10823.84,10995.48,9822.77,9921.34,15364.57,16364.68,2519.75,2544.59,2513.65,2560.37,2544.45,2556.16,10453.60,10469.09,9984.62,10388.32,14526.47,14656.69,2523.50,2520.27,2529.75,2543.13,2544.36,2532.29,10768.29,9838.76,10056.95,10007.54,2530.73,2523.69,2548.36,2506.87,2527.88,2532.43,2541.71,2566.99,11183.54,10381.59,9319.53,9086.61,2510.49,2517.88,2512.38,2515.57,2516.76,2534.69,2529.81,2558.37
,9,11158.47,10177.14,10724.61,11520.06,10170.81,10882.57,9708.61,9617.20,2530.00,2556.81,2550.29,2558.11,9864.45,11218.89,10447.25,10430.21,10458.83,10636.82,9969.91,10116.51,2589.09,2579.89,2569.13,2568.14,10499.34,10755.16,10674.73,10623.64,10777.24,10919.88,10359.14,11030.68,2552.68,2550.59,2571.36,2570.49,10648.59,10757.09,9344.86,10354.66,14891.55,16502.67,2534.13,2564.24,2544.56,2550.09,2548.67,2576.32,10799.02,10970.71,9806.73,9900.09,15327.07,16325.35,2518.03,2545.39,2520.32,2566.12,2542.67,2563.57,10428.38,10442.75,9963.25,10363.84,14500.87,14609.16,2530.29,2520.78,2531.91,2543.31,2551.19,2538.83,10711.09,9798.36,10041.30,9986.31,2536.23,2530.13,2555.89,2506.82,2528.84,2540.80,2541.42,2575.74,11150.53,10363.43,9293.98,9059.65,2511.20,2519.65,2514.88,2521.79,2524.01,2540.28,2534.64,2561.76
,10,11129.77,10143.17,10706.21,11489.88,10122.48,10850.75,9679.23,9586.88,2537.54,2558.65,2552.55,2560.34,9834.89,11184.25,10414.00,10400.09,10416.58,10611.13,9933.35,10082.51,2587.44,2584.12,2572.03,2569.22,10467.06,10730.71,10654.89,10603.03,10740.35,10891.10,10330.76,11005.27,2551.86,2558.85,2573.81,2569.51,10632.82,10737.91,9319.71,10335.16,14847.29,16442.80,2537.43,2567.21,2541.79,2552.65,2551.63,2579.51,10767.23,10944.58,9780.83,9878.42,15271.86,16279.82,2523.01,2548.70,2525.36,2568.35,2544.72,2565.57,10397.57,10418.87,9930.43,10347.81,14455.59,14582.75,2530.64,2526.37,2535.54,2544.79,2558.38,2543.92,10689.36,9777.02,10021.13,9950.59,2539.66,2534.15,2552.96,2512.98,2537.66,2543.40,2549.47,2582.69,11122.93,10326.85,9269.65,9043.06,2516.37,2525.43,2523.50,2522.16,2529.88,2541.08,2535.89,2570.58
