,a,b,c,d,e,f,g,h,i,j,k,l
P8.2,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P8.3,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P8.4,0,0.20001,1.10004,2.425140001,3.350000001,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P8.5,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P8.6,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P8.7,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P9,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P9.1,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P9.2,0,0.20001,1.10004,2.42514,3.35,3.6,3.9,4.9,8.15,12.4,13.3,13.5
P9.3,0,0.200150006,1.100010044,2.422510101,3.34992014,3.59992015,3.899920161,4.900110203,8.150110339,12.39992052,13.29992055,13.49992056
P9.4,0,0.20079199,1.10017104,2.421003126,3.350281712,3.600006362,3.900097733,4.900218384,8.150204159,12.40010234,13.30010328,13.50010459
P9.5,0,0.200169386,1.099981291,2.436284452,3.349981288,3.600007887,3.900001924,4.901218986,8.151215416,12.43240958,13.33301174,13.53315114
P9.6,0,0.200319371,1.099754289,2.444181554,3.350014475,3.600033288,3.900031697,4.90098834,8.150983207,12.57417065,13.47743078,13.67818061
Q0,0,0.200013989,0.900015451,2.22600997,3.152265621,3.402254373,3.70226617,4.702389091,7.952386148,12.57630466,13.48260922,13.68405822
