OBJECTID,SRNO,NAME,VALUE,REFDATE
1,1,6196,69.45120812,
2,2,6196,520362.6615,
3,3,6196,1,Aug-98
4,4,6196,1,Sep-98
5,5,6196,1,Oct-98
6,6,6196,1,Nov-98
7,7,6196,1,Dec-98
8,8,6196,1,Jan-99
9,9,6196,1,Feb-99
10,10,6196,1,Mar-99
11,11,6196,1,Apr-99
12,12,6196,1,May-99
13,13,6196,1,Jun-99
14,14,6196,1,Jul-99
15,15,6196,1,Aug-99
16,16,6196,1,Sep-99
17,17,6196,1,Oct-99
18,18,6196,1,Nov-99
19,19,6196,1,Dec-99
20,20,6196,1,Jan-00
21,21,6196,1,Feb-00
22,22,6196,1,Mar-00
23,23,6196,0.99965,Apr-00
24,24,6196,0.99874,May-00
25,25,6196,0.99492,Jun-00
26,26,6196,0.99492,Jul-00
27,27,6196,0.99492,Aug-00
28,28,6196,0.99492,Sep-00
29,29,6196,0.99332,Oct-00
30,30,6196,0.99184,Nov-00
31,31,6196,0.99062,Dec-00
32,32,6196,0.98427,Jan-01
33,33,6196,0.95502,Feb-01
34,34,6196,0.9232,Mar-01
35,35,6196,0.8931,Apr-01
36,36,6196,0.82329,May-01
37,37,6196,0.53696,Jun-01
38,38,6196,0.05227,Jul-01
