,INCMONTH,LIVES,ISSUED,LAPSED,EXPNOAGINGNOPM,EXPNOAGING,EXPOSUREORIG,EXPOSUREREMAININGVD,
,8/1/98,1333,93.116,0,2341.96,2341.96,2576.156,1449.45,
,9/1/98,1378.333,80.818,0,2422.778,2421.606,2663.767,1484.588,
,10/1/98,1411.677,72.033,63.249,2431.562,2480.189,2728.208,1521.483,
,11/1/98,1438.867,101.901,33.381,2500.082,2527.958,2780.754,1556.621,
,12/1/98,1462.516,75.547,40.409,2535.22,2569.508,2826.459,1579.461,
,1/1/99,1466.968,42.166,56.221,2521.165,2577.329,2835.062,1586.489,
,2/1/99,1457.429,47.437,28.111,2540.491,2560.569,2816.626,1607.572,
,3/1/99,1464.129,36.895,47.437,2529.949,2572.342,2829.576,1623.384,
,4/1/99,1505.933,121.227,91.359,2559.817,2645.788,2910.367,1676.091,
,5/1/99,1487.129,59.735,73.79,2545.761,2612.75,2874.026,1704.202,
,6/1/99,1470,36.895,50.95,2531.706,2582.656,2840.922,1720.014,
,7/1/99,1464.548,43.923,61.492,2514.137,2573.078,2830.386,1734.069,
,8/1/99,1530.484,187.989,47.437,2654.69,2688.921,2957.813,1858.81,
,9/1/99,1538.8,49.193,50.95,2652.933,2703.532,2973.885,1879.893,
,10/1/99,1523,24.597,49.193,2628.336,2675.773,2943.35,1893.948,
,11/1/99,1559.6,112.442,22.84,2717.938,2740.075,3014.083,1973.009,
,12/1/99,1562,33.381,79.061,2672.259,2744.292,3018.721,1990.578,
,1/1/00,1554.032,59.735,35.138,2696.855,2730.293,3003.323,2020.445,
,2/1/00,1555.448,38.652,56.221,2679.286,2732.781,3006.059,2032.744,
,3/1/00,1553.032,54.464,66.763,2666.988,2728.536,3001.39,2059.097,
,4/1/00,1566.7,86.089,56.221,2696.855,2752.549,3027.804,2087.208,
,5/1/00,1579.871,82.575,57.978,2721.452,2775.69,3053.259,2145.186,
,6/1/00,1562.4,24.597,57.978,2688.071,2744.995,3019.494,2160.998,
,7/1/00,1555.452,47.437,47.437,2688.071,2732.787,3006.066,2192.623,
,8/1/00,1545.774,33.381,49.193,2672.259,2715.785,2987.363,2208.435,
,9/1/00,1528.167,21.083,68.519,2624.822,2684.85,2953.335,2217.219,
,10/1/00,1514.677,40.409,61.492,2603.739,2661.151,2927.266,2240.059,
,11/1/00,1499.133,35.138,36.895,2601.982,2633.841,2897.225,2261.142,
,12/1/00,1493.935,24.597,31.624,2594.955,2624.709,2887.18,2269.927,
,1/1/01,1494.258,35.138,40.409,2589.684,2625.275,2887.803,2299.794,
,2/1/01,1493.857,38.652,70.276,2558.06,2624.571,2887.028,2338.446,
,3/1/01,1473.839,33.381,59.735,2531.706,2589.401,2848.341,2368.313,
,4/1/01,1453.933,28.111,45.68,2514.137,2554.429,2809.872,2394.667,
,5/1/01,1456.903,49.193,40.409,2522.921,2559.647,2815.611,2442.104,
,6/1/01,1454.267,38.652,36.895,2524.678,2555.014,2810.516,2477.242,
,7/1/01,1464.387,57.978,49.193,2533.463,2572.795,2830.074,2533.463,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
