Lev,Item,Description,Qty Per,Ref des,,,,,Mfg,Mfg p/n,Notes,,,,,
0,023-1324-V1,ASSY FILTRONIC APOLLO LNA,1,,syteline,customer,syteline,customer,,,,,,,,
1,023-1324-1,"PCB APOLLO TACLAM/NELTEC 0.5oz cu,0.8mm",1,A1,023-1324-1,023-1324-1,A1,A1,,,ECN#71 1/28/03 NEW PCB.,,,,,
1,560-0001,IC-OPAMP-LM2904M-SO8NB,4,"U13-14, U16-17",560-0001,560-0001,"U13-14, U16-17","U13-14, U16-17",MOTOROLA,LM2904D,NATIONAL SEMI,LM2904M,,,,
1,560-0005,IC-OPAMPQUAD-LM2902D-SO14,1,U3,560-0005,560-0005,U3,U3,MOTOROLA,LM2902D,TI,LM2902D,,,,
1,560-0007,IC-EEPROM-X24C02S8-S08NB,1,U5,560-0007,560-0007,U5,U5,XICOR,X24C02S8-2.7T1,,,,,,
1,560-0015,IC-INVERTOR-ICL7660AiBA-SO8,2,"U6, U8",560-0015,560-0015,"U6, U8","U6, U8",INTERSIL/HARRIS,ICL7660AiBA,MAXIM/DALLAS,ICL7660,,,,
1,560-0040,IC-LM2903-S08NB,1,U11,560-0040,560-0040,U11,U11,MOTOROLA,LM2903D,,,,,,
1,560-0091,IC-I2C-TEMP_SENSOR-MAX6626PMUT-SOT23-6,1,U4,560-0091,560-0091,U4,U4,MAXIM/DALLAS,MAX6626PMUT-T,,,,,,
1,560-0093,IC-CURRENT_SENSOR-MAX4372HEUK-SOT23-5,1,U1,560-0093,560-0093,U1,U1,MAXIM/DALLAS,MAX4372HEUK-T,,,,,,
1,560-0100-PRGM,IC-MICROCONTROLLER-PIC16F74-IL,1,U15,#N/A,#N/A,U15,U15,,Notes,,,,,,
1,563-0005,REG LM2941S VOLT REG TO263-5,1,U7,563-0005,563-0005,U7,U7,NATIONAL SEMI,LM2941S,,,,,,
1,563-0020,REG MC7805ACD2T VOLT REG D2PAK,1,U10,563-0020,563-0020,U10,U10,MOTOROLA,MC7805ACD2T,ON SEMI,MC7805ACD2T,,,,
1,564-0000,CR2 HSMP481B PIN SOT323,3,D1-3,564-0000,564-0000,D1-3,D1-3,AGILENT,HSMP481B-TR1,HEWLETT PACKARD,HSMP481B-TR1,,,,
1,564-0003,DIODE-DUALSERIAL-BAV99-SOT23,8,D23-30,564-0003,564-0003,D23-30,D23-30,MOTOROLA,BAV99LT1,PHILIPS,BAV99,,,,
1,564-0005,DIODE-BAS16-SOT23,7,"D5-9, D21-22",564-0005,564-0005,"D5-9, D21-22","D5-9, D21-22",PHILIPS,BAS16,,,,,,
1,564-0042,DIODE-PIN-BAR63-02V-SC79,10,D11-20,564-0042,564-0042,D11-20,D11-20,INFINEON,BAR63-02V,,,,,,
1,565-0003,Q2 BCW70 BJTPNP SOT23,1,Q9,565-0003,565-0003,Q9,Q9,MOTOROLA,BCW70,PHILIPS,BCW70,,,,
1,565-0007,TRANS-NPN-BCW71-SOT23,2,"Q20, Q26",565-0007,565-0007,"Q20, Q26","Q20, Q26",MOTOROLA,BCW71,PHILIPS,BCW71,,,,
1,565-0012,Q2 ATF34143 RFPHEMT SOT343,2,Q1-2,565-0012,565-0012,Q1-2,Q1-2,HEWLETT PACKARD,ATF34143,,,,,,
1,565-0013,TRANS-FETSWITCH-FDN338P-SOT23,1,Q10,565-0013,565-0013,Q10,Q10,FAIRCHILD,FDN338P,,,,,,
1,565-0022,TRANS-LP1500-1-BLUE-SOT89,2,Q13-14,565-0022,565-0022,Q13-14,Q13-14,FILTRONIC SOLID STATE,LP1500-SOT89-1,,,,,,
1,565-0045,Q2 MJF18004 NPN TO220,1,Q23,565-0045,565-0045,Q23,Q23,MOTOROLA,MJF18004,,,,,,
1,565-0046,Q2 BCX51 PNP SOT89,4,"Q6, Q8, Q28-29",565-0046,565-0046,"Q6, Q8, Q28-29","Q6, Q8, Q28-29",PHILIPS,BCX51,,,,,,
1,565-0049,Q2 UMH10NTN DUAL DIGITAL SOT 363,2,"Q7, Q12",565-0049,565-0049,"Q7, Q12","Q7, Q12",ON SEMI,MUN5235DW1T1,ROHM,UMH10TN,,,,
1,565-0053,TRANS-LP750-1-SOT89,2,Q3-4,565-0053,565-0053,Q3-4,Q3-4,FILTRONIC SOLID STATE,LP750-SOT89,,,,,,
1,565-0056,TRANS-DUAL_DIGITAL-UMT1N-SOT363,7,"Q11, Q22, Q30-34",565-0056,565-0056,"Q11, Q22, Q30-34","Q11, Q22, Q30-34",PHILIPS,PUMT1,ROHM,UMT1N,,,,
1,565-0057,TRANS-PNP-MJD32C-DPAK,2,"Q5, Q19",565-0057,565-0057,"Q5, Q19","Q5, Q19",FAIRCHILD,MJD32C,,,,,,
1,566-0080,CRYSTAL-16MHz-HC49/4HSMX,1,X1,566-0080,566-0080,X1,X1,C-MAC,A161G T&R,FARNELL,639-588,,,,
1,567-0002,IND-22nH-1206-5%-Q_MIN=30,15,"L1, L4-6, L13-16, L21, L26-31",567-0002,567-0002,"L1, L4-6, L13-16, L21, L26-31","L1, L4-6, L13-16, L21, L26-31",COILCRAFT,1206CS-220XJBC,,,,,,
1,567-0028,IND-AIRCORE-1.65nH-0906-5%-QMIN=100,2,L17-18,567-0028,567-0028,L17-18,L17-18,COILCRAFT,0906-2K,,,,,,
1,567-0037,IND2 7.15 nH 2% Q MIN=100 1606 AIRCORE,4,"L2-3, L9-10",567-0037,567-0037,"L2-3, L9-10","L2-3, L9-10",COILCRAFT,1606-7G,,,,,,
