RECORDER_ID,TRANSACTION_DATE,HOUR,INTERVAL,NET_KW,NET_KVA,POD_READING_ATI,POD_METERING_POINT_ATI,UNIT_TASK_EVENT_ATI,POD_HISTORY_ATI,RECORD_TYPE,SEGMENT,COMPANY,NET_KWH,NET_KWH_SOURCE,NET_KVAR,NET_KVARH,NET_KVARH_SOURCE,NET_KVAH,FILE_TRACKING_ATI,DUPLICATE_FLAG,MV90_READING_ATI,DATA_STATE_ID,SITE_ID,ASSET_ID,BACKED_OUT_FLAG,
ATPLAST       ,110404,1,1,10133.76,10389.12,1,40414,21662,1,GEN,919032.25,EP,2533.44,ME,2289.26,572.32,ME,2597.28,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,1,2,10053.12,10298.40,2,40415,21662,2,GEN,919032.50,EP,2513.28,ME,2234.24,558.56,ME,2574.60,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,1,3,10046.40,10291.68,3,40416,21662,3,GEN,919032.75,EP,2511.60,ME,2233.50,558.38,ME,2572.92,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,1,4,10002.72,10241.28,4,40417,21662,4,GEN,919033.00,EP,2500.68,ME,2197.59,549.40,ME,2560.32,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,2,1,10073.28,10321.92,5,40418,21662,5,GEN,919033.25,EP,2518.32,ME,2251.90,562.98,ME,2580.48,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,2,2,10019.52,10261.44,6,40419,21662,6,GEN,919033.50,EP,2504.88,ME,2215.03,553.76,ME,2565.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,2,3,10012.80,10248.00,7,40420,21662,7,GEN,919033.75,EP,2503.20,ME,2182.97,545.74,ME,2562.00,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,2,4,9965.76,10190.88,8,40421,21662,8,GEN,919034.00,EP,2491.44,ME,2130.18,532.54,ME,2547.72,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,3,1,9948.96,10174.08,9,40422,21662,9,GEN,919034.25,EP,2487.24,ME,2128.40,532.10,ME,2543.52,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,3,2,9938.88,10164.00,10,40423,21662,10,GEN,919034.50,EP,2484.72,ME,2127.34,531.83,ME,2541.00,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,3,3,9948.96,10177.44,11,40424,21662,11,GEN,919034.75,EP,2487.24,ME,2144.41,536.10,ME,2544.36,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,3,4,10147.20,10409.28,12,40425,21662,12,GEN,919035.00,EP,2536.80,ME,2321.09,580.27,ME,2602.32,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,4,1,10184.16,10442.88,13,40426,21662,13,GEN,919035.25,EP,2546.04,ME,2310.11,577.53,ME,2610.72,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,4,2,10184.16,10446.24,14,40427,21662,14,GEN,919035.50,EP,2546.04,ME,2325.26,581.31,ME,2611.56,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,4,3,10143.84,10402.56,15,40428,21662,15,GEN,919035.75,EP,2535.96,ME,2305.59,576.40,ME,2600.64,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,4,4,10214.40,10493.28,16,40429,21662,16,GEN,919036.00,EP,2553.60,ME,2403.11,600.78,ME,2623.32,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,5,1,10194.24,10469.76,17,40430,21662,17,GEN,919036.25,EP,2548.56,ME,2386.07,596.52,ME,2617.44,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,5,2,10157.28,10436.16,18,40431,21662,18,GEN,919036.50,EP,2539.32,ME,2396.48,599.12,ME,2609.04,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,5,3,10174.08,10436.16,19,40432,21662,19,GEN,919036.75,EP,2543.52,ME,2324.12,581.03,ME,2609.04,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,5,4,10164.00,10432.80,20,40433,21662,20,GEN,919037.00,EP,2541.00,ME,2352.96,588.24,ME,2608.20,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,6,1,10174.08,10439.52,21,40434,21662,21,GEN,919037.25,EP,2543.52,ME,2339.16,584.79,ME,2609.88,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,6,2,9962.40,10197.60,22,40435,21662,22,GEN,919037.50,EP,2490.60,ME,2177.53,544.38,ME,2549.40,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,6,3,9925.44,10153.92,23,40436,21662,23,GEN,919037.75,EP,2481.36,ME,2141.90,535.47,ME,2538.48,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,6,4,9959.04,10184.16,24,40437,21662,24,GEN,919038.00,EP,2489.76,ME,2129.47,532.37,ME,2546.04,1,0,1,P00,30112487205,,1,
ATPLAST       ,110404,7,1,9972.48,10194.24,25,40414,21662,25,GEN,919038.25,EP,2493.12,ME,2114.75,528.69,ME,2548.56,1,0,1,P00,30112487205,,1,
